	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
25	15	0.4813399971756929	18	297	-2.2622632760304944	-2.427312895182964	-5.223899490227498	-2.968800352350781	-2.8347414075090436	-3.143403484260156	1.0717663887682676	37
26	7	0.14638662580602993	10	129	-2.3229590071172317	-2.490981329047446	-5.229230865551411	-2.926345594609706	-2.795826561245296	-3.153068671514218	1.0598977723233278	43
27	13	0.3310409246532608	3	112	-2.085189445267014	-2.3287731604464703	-5.230715128680647	-2.7430208343151414	-2.6227987222990423	-3.0020994582016627	1.13770038792155	2
28	9	0.2888220167263865	11	210	-2.2264914641661386	-2.412362795199631	-5.225698873236878	-2.850138801819514	-2.7993836786418482	-3.1028151226128022	1.0869424045207994	20
29	7	0.4730627693599007	7	334	-2.179744615999767	-2.3632861046178775	-5.2097171920338265	-2.840602879348627	-2.6390031032997783	-3.0464707790599754	1.1050793712028868	8
30	4	0.17255924759088329	18	432	-2.4382831694249942	-2.559543130728494	-5.247038889689051	-3.000353399656974	-2.8902286988953847	-3.2270894576789795	1.0308165285546738	55
31	12	0.17103722244566993	16	187	-2.3428353421069685	-2.4919019833226614	-5.243643567546766	-3.0085219825758434	-2.8659567730287745	-3.1905719297162025	1.0545536827714541	52
32	8	0.6119706477864197	13	333	-2.301964396165686	-2.4139893374267456	-5.221271168612522	-2.877823616002558	-2.8069921515316074	-3.124408133947824	1.07140095060573	27
33	14	0.22754674549322093	2	185	-2.168688121828898	-2.3071496969583194	-5.2115982785814525	-2.75431543769659	-2.673218824724216	-3.0229940719578954	1.115956193672545	3
34	14	0.5467632009552702	20	347	-2.3237186226848525	-2.4410774176801047	-5.238301644293364	-2.9501598362705117	-2.779714921049058	-3.146594488395578	1.0698883159438641	40
35	10	0.5761228759523708	13	465	-2.2343126459225107	-2.4374399269708875	-5.21863847706044	-2.9217636590788554	-2.7496085723679213	-3.112352656280123	1.079889702428923	21
36	7	0.24660481829688163	10	330	-2.233904922486677	-2.491880325059682	-5.231082896304567	-2.9127867658661586	-2.8036726896892534	-3.134665519881268	1.075015787027507	33
37	14	0.40529453845161223	17	489	-2.357164985026949	-2.4708395920996318	-5.236440456526331	-2.946642117728573	-2.8470990486907977	-3.1716372400144563	1.055825985952727	46
38	6	0.649116298687579	2	145	-2.123783061892204	-2.2923946027293773	-5.198610122673533	-2.735482549291623	-2.610411061991311	-2.9921362797156097	1.124614407186791	1
