	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
13	0.9231341837184278	2.793599191923565	0.017510819754243925	1.3197592434732703	354	9.733970560131038	0.014641617465835241	9	median	0.31461111217307997	0.012826033060058452	-50.383503	-3111.8772	-25.541407	-93.62259	-40.429497	-664.37085	1368.4323	124
14	0.6597945213296922	0.21363280368687454	0.059576477772205726	7.270263119704716	276	1.248682226642295	0.06252413657911221	2	median	0.29095343692084435	0.011647198660569144	-45.347706	-3111.4282	-25.778652	-92.54825	-33.097294	-661.64	1369.7197	5
15	0.9904855288314907	2.8021201107788203	0.012762434870466889	4.060610363926861	323	7.070167871422788	0.19809094355792942	4	mean	0.6274442705492923	0.2904457776905933	-49.925995	-3111.8296	-25.679253	-93.24084	-40.672127	-664.26953	1368.4583	119
16	0.7595592924273598	2.777048534833632	0.04626570045581626	7.242392750635395	133	0.018360451778815387	0.2160310739587512	3	1.5*median	0.2564617705481634	0.1273851679565084	-48.457485	-3111.39	-25.20149	-91.97119	-38.62994	-663.13	1368.8475	51
17	0.8039105973752977	3.476282121874331	0.0703109063559742	7.931064890255027	108	35.13949148882107	41.47482206567529	8	mean	0.3630839842365714	0.22002094076895976	-52.681267	-3111.9834	-26.375214	-94.201645	-43.10302	-665.6689	1367.7599	149
18	0.651174548961732	4.152271793859341	0.02242444169217235	9.465090643735692	221	0.015540218131097561	0.010159218185100157	9	1.5*median	0.3926180743739865	0.08204901301921001	-46.046154	-3111.6252	-25.589918	-93.31385	-37.836685	-662.8824	1369.1294	39
19	0.8047078512454738	1.286710862344146	0.010212305036062757	7.671400767477001	188	0.26998267425888584	0.010360681065398888	2	1.5*mean	0.6619475847599167	0.05265335430160289	-48.068386	-3111.5686	-25.520931	-93.66044	-40.27083	-663.8178	1368.5708	98
20	0.8374549317635489	0.29418001194778226	0.2886242309460772	8.368704933609688	341	6.53475996413069	0.049604041908433504	6	mean	0.2723233643701186	0.10296024710439616	-47.17218	-3111.729	-26.72302	-93.44225	-40.456432	-663.90454	1368.605	108
21	0.6367619408655089	4.488488927553216	0.048176763366094257	5.003311284589408	136	0.0927579572060413	6.0603746703433234	9	1.5*median	0.46628174421304536	0.07028919620182174	-48.81354	-3111.698	-25.472654	-93.07065	-39.548206	-663.7206	1368.6945	88
22	0.9101310704519732	2.8687541496280877	0.0281049021239042	5.328327511283422	364	0.7915383129792936	2.1188610475722216	3	0.5*mean	0.33901637600819373	0.3281365242922696	-47.036846	-3111.4707	-25.114754	-93.26835	-37.651535	-662.90845	1369.0299	41
23	0.9341874244590139	0.58680281938219	0.09007321845171394	3.7944510984616824	303	1.016665823160465	0.4927702852323617	2	median	0.21487200087673305	0.08848424085478462	-45.613728	-3111.3545	-26.670874	-92.23111	-39.803932	-663.1349	1368.8198	52
24	0.7311644397186705	0.2728393479359674	0.12972934334179884	6.055665904619888	260	0.17647357757309018	44.08572151516744	8	1.5*mean	0.2136234491507886	0.17567204165316988	-48.125298	-3111.6458	-25.124115	-92.23922	-38.55714	-663.1383	1368.9885	53
25	0.7483499597157937	1.8711788852798297	0.19712616763512555	3.9456428186384795	368	2.4104172036729548	0.1648710458152589	5	1.5*median	0.6728413479091082	0.04881323206338988	-47.552067	-3111.8416	-25.701708	-92.87775	-40.91803	-663.7782	1368.7379	95
26	0.6640133845781311	1.5602649210841824	0.21319769412062034	2.484790439576519	169	12.43135845476103	0.33890278118490985	4	mean	0.2892659876874085	0.13956471061798215	-49.44811	-3111.855	-26.10886	-93.479126	-39.88016	-664.15424	1368.5387	116
27	0.8869047145790623	3.4754450543520177	0.024613937146132386	8.936313426742228	212	0.1050913267657462	13.092119467295063	10	1.5*median	0.47591555443528505	0.021595619405029	-48.12082	-3111.8525	-25.625193	-93.075935	-40.68637	-663.8722	1368.6934	103
28	0.6271650257447117	3.2235500066796186	0.2642846620621178	9.672305620708247	334	23.01952495677353	0.07470849249681401	4	1.5*mean	0.26896507297218125	0.010492458372657797	-51.733852	-3111.8179	-25.973251	-93.77084	-41.731346	-665.00543	1368.0402	137
