	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
79	0.8575447460353527	3.9446090331309027	0.002989205531767543	rbf	282	-148.27489080053687	-3109.5142776875723	-164.0511734128978	-154.69418233871588	-156.51328357009146	-746.6095615619629	1181.463057804816	118
80	0.16457643966862176	2.1466460168601302	0.0015459792144985472	rbf	97	-51.642076122390044	-3110.9595206122453	-27.450139935305977	-92.95859303368603	-42.62550636970062	-665.1271672146656	1223.1089112645461	33
81	0.9868648116204308	0.004398484445996326	0.4679542412783794	poly	203	-76776.13544924924	-3111.6517478335836	-5149472.675256342	-92.39277481201626	-109.0722622402082	-1045912.3854980955	2051989.7426792579	170
82	2.499207410665839	7.234114128690131	0.0019086322422612158	poly	277	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502387	-777.477852683688	1166.024654259812	120
83	0.6797805581727646	7.493292628069564	0.009213644589534848	rbf	104	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502387	-777.477852683688	1166.024654259812	120
84	0.13976447545344445	0.0069583319204170845	0.15861979357398967	poly	226	-156745.76621578174	-3111.6686370705065	-12512589.497905	-92.64991140074625	-129.6984230456084	-2534533.856218459	4989392.0580489235	177
85	0.14602264180229793	0.039220064946277326	0.0001060132620936345	poly	50	-53.15622473783863	-3112.130923913206	-26.65844059340125	-94.4990028083092	-43.699707879211815	-666.0288599863935	1223.2548923741722	101
86	0.3652467557886519	0.0764807233672896	7.047875247689699	rbf	269	-53.1148261747093	-3112.1105365315725	-26.617710048133194	-94.46466704801138	-43.65879500199568	-665.9933069608844	1223.2625162209993	88
87	2.658828742266472	2.2954964355274843	0.006359976904827017	rbf	37	-50.447638530039974	-3110.6688585949832	-27.973070036938502	-91.72315296233035	-41.14335038675367	-664.3912141022092	1223.3246249383296	27
88	3.6405162519351673	0.830303125306889	0.8124546162194378	poly	274	-159.27171461839376	-3111.6881057307214	-2500.8412156200493	-92.9585608463447	-40.54248374676956	-1181.0604161124559	1341.4875017421398	137
89	1.2031254808352814	0.021714629856295325	0.6910461272720758	rbf	251	-53.078741262320364	-3112.0910071030466	-26.57738876892447	-94.43408032711294	-43.62259108434257	-665.9607617091494	1223.2690785071295	84
90	1.1274340576907507	0.001233630468578464	0.003026010124018565	rbf	265	-52.53321395810989	-3112.0019747534097	-26.41027582311818	-94.17424516042212	-42.414841825821284	-665.5069103041764	1223.4528271292304	45
91	9.37033414559484	0.0022219715139996355	0.12683550555889506	rbf	202	-53.03022129834645	-3112.0658019875127	-26.521227935686344	-94.38998872508728	-43.57237753065259	-665.915923495457	1223.2789601749478	73
92	5.190602204537453	0.007898663707434195	0.005582049338980826	rbf	75	-46.999216025047986	-3111.251153961993	-24.677562732886614	-92.98068785129726	-33.78780830529441	-661.9392857753039	1224.8812665298638	9
93	7.95959207018188	9.273310772077734	0.002547760114589367	rbf	75	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502402	-777.477852683688	1166.024654259812	120
94	0.9450402488939266	0.16992434468497034	0.19209824711399912	poly	169	-139870.6653224314	-3111.7341620028023	-1635451.7134717044	-91.73857000281758	-56.843184857401674	-355716.5389421998	642122.1884138242	165
95	0.6222220975338949	2.1953358282396014	8.635246413750366	rbf	197	-52.41630119479967	-3110.9173394193463	-28.06278112071114	-93.07555020189612	-43.478195521140286	-665.5900334915787	1222.8527817468193	46
96	0.2820510615013151	0.0029511061480505503	0.3247585219346146	rbf	97	-53.141185510916365	-3112.122928916151	-26.64772506040879	-94.48740916544276	-43.68581435956071	-666.0170126024959	1223.2568190712311	97
97	0.8383644394229882	0.062218653058290614	0.0012715587793112482	rbf	85	-48.56915596291676	-3111.78403623962	-25.98705659682957	-93.69475331375997	-37.71778839085805	-663.5505581007968	1224.3315564664242	18
98	0.2754839739463636	0.029746014339928566	0.7271008302530435	rbf	49	-53.134826612217296	-3112.119960982496	-26.64026611246901	-94.4816868101175	-43.67913636586463	-666.0111753766329	1223.2582632123667	94
99	0.4453942608777147	0.0019127624820897144	1.3806468481855936	poly	298	-10744.097752968097	-3111.776562119592	-11144451.695969159	-93.36822067591302	-202.3381295945009	-2231720.655326904	4456367.205587403	176
100	1.727265900377819	0.010250563677648403	0.26503321729086193	poly	72	-645463.4558231616	-3113.265285645351	-55075480884.538864	-89.16870766137673	-2024.1243535995586	-11015226314.910606	22030127286.224865	187
101	0.3080370796132492	0.08982901792576257	5.596089145639465	poly	135	-1260708.2458236832	-3111.852834163064	-36685.6419771476	-91.19185685312401	-74.49637306012245	-260134.28577298144	500478.0877792222	164
102	0.5931065574545197	0.010149612771941076	0.005288045528544142	rbf	272	-53.042691129320154	-3112.0916821574788	-26.5719473301789	-94.43197545604727	-43.568547867956596	-665.9413687881963	1223.279225414647	78
103	5.293384471924742	0.6151865749037907	0.011353911691096123	poly	211	-379.87131990116774	-3111.7184062447222	-18795.423465170075	-92.67063462262404	-44.81338393348989	-4484.899441974416	7246.157850299706	142
104	1.0951122447575563	0.12736463185961588	0.006867173852334569	rbf	241	-52.95675750666008	-3112.0546759556846	-26.48753574080524	-94.36245138256925	-43.46799468818105	-665.8658830547799	1223.2985883719812	56
105	9.354756411530003	1.3735974289312742	1.3756294451451279	rbf	105	-52.39498870485984	-3111.695021376691	-25.996448738783144	-93.74597773376347	-42.96211523755568	-665.3589103583306	1223.3714570783247	41
106	1.7524939098090928	0.2868494037609418	0.009124207571497126	poly	171	-6670.68790235568	-3111.757221703811	-85835.87154576872	-92.15057173091806	-56.247333236385394	-19153.342914959103	33429.737915572914	146
107	0.4271910485687337	0.2001872370109972	0.31958559178000007	rbf	22	-53.07034230058418	-3112.0892524680207	-26.566771142440484	-94.42437488516984	-43.61233388701633	-665.9526149366463	1223.272278883368	82
108	2.884334773385505	1.2943921915857501	0.0017550718799650867	rbf	253	-46.38907896851812	-3111.475722643924	-25.544579628304877	-92.85346399965121	-37.43943038050477	-662.7404551241806	1224.580300938357	12
