	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
25	15	0.5347629164516537	13	0.0010415851009308225	1.5*mean	-2.5949393501430333	-2.5730167438283655	-5.2169332359957625	-2.9829713293626896	-2.9165683381885357	-3.256885799503677	0.9938290649663254	34
26	10	0.2904933654556075	10	0.0033684114157531914	0.5*median	-2.5089646837826085	-2.5676515303237117	-5.23321090656617	-2.9958454091096156	-2.897527147777341	-3.24063993551189	1.0135336094538276	28
27	14	0.2533078077629738	17	0.002888961793031356	1.5*median	-2.5200953219203988	-2.5915385911191464	-5.2367057593966875	-3.0528111023304114	-2.909008868775481	-3.262031928708425	1.0067538544136312	38
28	3	0.3809319587106196	2	0.09482970872473657	1.5*mean	-2.5109920116348783	-2.5107849090523655	-5.228460397481245	-2.838189114703668	-2.8481505359364303	-3.1873153937617174	1.0313391003616914	5
29	14	0.2620695667694257	10	0.08663211833438172	0.5*mean	-2.4244968402461033	-2.5825029299565165	-5.239906605855626	-2.8976833757889726	-2.8986457052356887	-3.2086470914165814	1.0320622688783265	10
30	3	0.16618034849860697	19	0.09422044400979789	1.5*median	-2.567613747423689	-2.5997040007365415	-5.239426154763181	-3.0755360398152387	-2.937665228266159	-3.2839890342009617	0.9968517161972313	49
31	8	0.18804361569555236	15	0.14848907716377532	median	-2.53964619059732	-2.5780572021196733	-5.238063000431409	-3.0145481648473984	-2.923416762775308	-3.2587462641542215	1.0069971046304045	36
32	4	0.15759153635511386	20	0.06048187207384712	mean	-2.6323418252281074	-2.707462973878391	-5.25801303509354	-3.1906793624460374	-3.073977704330947	-3.3724949801954045	0.9661720426950932	56
33	13	0.14618329436079053	9	0.0025587221958378228	1.5*mean	-2.5729069080821136	-2.6578546351855676	-5.243710052683751	-3.062011432146728	-2.920093833147622	-3.2913153722491564	0.99192882234732	51
34	12	0.19122022190757984	20	0.020370022829558295	1.5*mean	-2.7115385805571313	-2.7429959949564595	-5.256046625567199	-3.140295383254168	-3.047916788782525	-3.379758674623497	0.9528801587082449	59
35	10	0.4349877460030659	1	0.0014374743904118025	1.5*mean	-2.548456459134729	-2.579356317921875	-5.248835886511932	-2.876254306107802	-2.808393488449323	-3.212259291625132	1.0261434147966613	12
36	3	0.10548491763332951	10	0.00647956951977449	0.5*mean	-2.6733193395754067	-2.709407066021614	-5.2648866139131	-3.174023600628178	-3.0767490064307927	-3.379677125313818	0.9629410062082978	58
37	3	0.36877918875663757	6	0.006619298865197672	median	-2.5227416069999946	-2.5877104247753118	-5.222104171170262	-3.009258700842286	-2.923333751372472	-3.2530297310320657	1.002132568909851	33
38	14	0.8722910036138813	9	0.261938905090084	1.5*mean	-2.490194753098923	-2.6990535134733804	-5.343481816931489	-2.8111974909415496	-2.9844255148447463	-3.265670617858018	1.0512242167928223	40
39	14	0.11795496076270207	15	0.003996673612918531	mean	-2.6499799121790812	-2.682000907277351	-5.267926028597882	-3.0914763553252467	-3.0035779843089836	-3.338992237537709	0.9798906057355125	54
40	10	0.7348505678070261	19	0.14507859559057387	1.5*median	-2.5570789523884145	-2.587459525960305	-5.223330334345472	-3.008922561001322	-2.9262791945143887	-3.26061411364198	0.9975452130974599	37
41	6	0.35183288999717616	4	0.052255175057892664	0.5*mean	-2.353912799592293	-2.4085734600582485	-5.224544642543613	-2.8541765882834005	-2.852693103191577	-3.138780118733826	1.0641876781677893	3
42	3	0.2107651989885687	5	0.0028330177630692542	1.5*median	-2.5265683050352026	-2.5314226058516396	-5.220978634592925	-2.967208306510368	-2.8351837641817395	-3.2162723232343753	1.0169384973721483	13
43	14	0.3363063470842054	15	0.04085810845348296	1.5*mean	-2.534622284469531	-2.583339412669052	-5.233608285333294	-2.999489557791387	-2.964152655838207	-3.263042439220294	1.0034457737154268	39
44	3	0.48869418091009226	1	0.08084933683089568	median	-2.534880503545528	-2.5884870569485745	-5.224128662713686	-2.98561067902897	-2.9243191620948354	-3.2514852128663185	1.0022113486602935	32
45	11	0.9090545612280351	2	0.18869226557597132	mean	-2.493099860538437	-2.5179165749612284	-5.233961920225424	-2.6573111986536144	-2.669518367020975	-3.1143615842799357	1.06218632128362	2
46	8	0.12790182585157672	5	0.002074502236312459	1.5*mean	-2.555675229736104	-2.6225272000842628	-5.250743571612892	-3.0354424903921937	-2.939144971526814	-3.280706692670454	1.001672112956011	47
47	14	0.1727571045805199	19	0.19293005146866093	0.5*mean	-2.5472032548408645	-2.8663501999084118	-5.268772008856324	-3.2067867041880582	-2.9866250673273997	-3.3751474470242115	0.9705127700829315	57
48	8	0.4468156011104356	6	0.021564832482610093	1.5*median	-2.4661789138849874	-2.5306848419797756	-5.2151278309816	-2.9692707072228695	-2.821401863555526	-3.2005328315249515	1.02408861709295	7
49	3	0.5556786024227276	15	0.0010358586762288984	1.5*median	-2.488968705804755	-2.569825042930624	-5.218834747282733	-3.080313578093802	-2.927170782954334	-3.2570225714132497	1.0050753670932397	35
50	5	0.47029376216108043	17	0.25787961972019113	1.5*median	-2.5173099952138744	-2.603111810088721	-5.22969999883113	-3.051068179477558	-2.9422000515396665	-3.2686780070301893	1.000707889095276	41
51	11	0.2658431858088703	13	0.032298119226092534	0.5*mean	-2.5362700662011117	-2.609153450234565	-5.233809885780828	-2.9955689099375986	-2.9840137865312397	-3.2717632197370685	0.9988705660242213	43
52	8	0.4330144032570849	15	0.0028708424074736223	1.5*mean	-2.614410575039693	-2.6071848411769007	-5.239495011954284	-2.9730203617578113	-2.92471432275707	-3.2717650225371515	0.9955335814441485	44
53	3	0.17635738245593457	7	0.04824403206585336	1.5*mean	-2.5752358294904	-2.6504329619336944	-5.238334312287641	-3.0580034666394993	-2.974855620707282	-3.299372438211704	0.9867765265107861	53
54	4	0.24528054567592952	12	0.01264311719366095	1.5*mean	-2.550371789895336	-2.6218986514120033	-5.237586308173174	-3.01450159032754	-2.9857602438076554	-3.282023716723142	0.995454150270801	48
55	11	0.48406539530408055	8	0.036263699781200566	1.5*median	-2.509134104941747	-2.556212081590701	-5.224557348898579	-3.0015454371818775	-2.8721098273407724	-3.2327117599907353	1.013127525087048	21
56	6	0.5961117415001431	14	0.11201180045291592	median	-2.536829760827408	-2.5721845644673933	-5.211592232674469	-3.0245815308813238	-2.8951378971899304	-3.248065197208105	0.9992608791399702	31
57	4	0.20655218988298837	16	0.03611945399305185	0.5*median	-2.539897337494659	-2.6108574734136782	-5.234085435353106	-3.0256501675142755	-2.9544333164314	-3.2729847460414234	0.9984382799540304	45
58	14	0.7029210683938333	8	0.048291322228006785	1.5*median	-2.509423418858865	-2.552502777641295	-5.203471887903437	-3.0182757382490424	-2.8989886267542637	-3.2365324898813803	1.0026970343079438	24
59	11	0.12378020257583978	3	0.03988869153896019	mean	-2.482874039118797	-2.5058630686203194	-5.252219261679005	-2.9930806387387703	-2.989720272641292	-3.244751456159637	1.028077754155013	29
