	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
10	relu	0.00155429493108744	62	invscaling	0.0006757772157031922	0.7016542958762255	0.642430263069812	0.0939196211296335	1.5*mean	-54.79688977355701	-226.31416695098562	-2.45648256370811	-180.02509569129126	-0.5135389769215386	-92.82123479129271	93.33512335471326	44
11	relu	0.0024093000436241044	69	adaptive	0.00595083493209499	0.8037134464400544	0.6603353342989244	0.2119789296243593	median	-7164.90048741634	-224.90951621291475	-2.5759204664053867	-179.16366018644334	-0.6469799372716117	-1514.439312843875	2826.6891514529	56
12	relu	0.0014378415197380937	64	invscaling	0.002719471204265781	0.5662164073737619	0.5611237812679017	0.0014843823254308104	mean	-37.58778096038827	-226.31175750341845	-2.5683959653900135	-180.13597069916517	-0.8657804514774005	-89.49393711596787	94.91084567380467	20
13	tanh	0.002646696027090028	40	constant	0.0028597137681187854	0.8695524237379517	0.6323605839861981	0.0010415851009308225	1.5*mean	-37.84701236800071	-226.2835275935499	-2.523860074513862	-179.96295880656757	-0.4447441276627011	-89.41242059405894	94.92835259536439	9
14	tanh	0.002451368799078093	51	adaptive	0.001210275562360821	0.7734968381497402	0.6799172364972876	0.21526615621039805	0.5*median	-38.03548573004433	-226.4751314362993	-2.4148344422435897	-180.07005167006588	-0.5296746098823853	-89.5050355777071	94.98764325322782	24
15	tanh	0.000491238077704279	43	invscaling	0.0002806449771906939	0.7586881644151171	0.2186666064963464	0.08663211833438172	0.5*mean	-38.13430509331865	-226.51043906398888	-2.404018890442581	-180.08753421088798	-0.9344319075078279	-89.61414583322917	94.91670138683509	34
16	tanh	0.00012618932390649897	28	invscaling	0.0011096402788580812	0.7193986164287952	0.284122038769504	0.020237219407433046	mean	-38.14556601481338	-226.49588896209846	-2.565398183163503	-180.118461837516	-1.4792580095528631	-89.76091460142884	94.78585626527455	40
17	tanh	0.00741771859443994	43	invscaling	0.006606109881020125	0.9331337696344058	0.5095698618724399	0.0025613664026650604	1.5*mean	-38.07523051317873	-226.4370670907589	-2.2428314130163343	-180.2207645131841	-0.4948988583053054	-89.49415847768867	95.03919791590414	22
18	relu	0.0681812230103854	18	invscaling	0.00011777621946639623	0.6266902180318221	0.665509592517486	0.0012908965978812505	median	-37.99979584781196	-226.52413828992334	-2.5144024228387765	-180.26712809177022	-2.605988206814677	-89.9822905718318	94.63874206077824	42
19	tanh	0.038785212233704174	58	constant	0.0010853258668695306	0.6474274900817361	0.16914126574201463	0.025348315696689463	1.5*median	-37.91781242057883	-226.26502349405882	-2.4716846607300837	-179.8820987394938	-0.6384096313548535	-89.43500578924328	94.87318513865105	10
20	tanh	0.00010848566608612372	21	adaptive	0.0001196616145802746	0.9392962199354269	0.4860171586826886	0.0015053925043824613	1.5*median	-38.11538472636548	-226.4232192624172	-2.521664015864772	-179.96683838381824	-0.5703856526008689	-89.51949840821331	94.91712263314132	25
21	relu	0.000535435524891306	17	constant	0.0005025775698361402	0.5844392317733335	0.738856880491466	0.13588410700284587	1.5*median	-96.27418767869167	-226.44968639040195	-41.13999957163893	-178.94879818253747	-1.001275242161782	-108.76278941308638	83.80648228241779	46
22	tanh	0.004355212069155894	34	invscaling	0.00026772699905856833	0.6457095062889372	0.617925042305487	0.0028330177630692542	1.5*median	-38.124300819597764	-226.50476615988185	-2.5670483943113553	-180.2218793644707	-0.793218375204179	-89.64224262269316	94.93825133054466	36
23	tanh	0.003803690670932992	53	constant	0.0029797245498353847	0.5720910847786262	0.23475575327189876	0.007553822539821014	mean	-37.13026119103126	-226.19058130970353	-2.4233081478928393	-179.61834576418792	-0.48973769554904895	-89.17044682167291	94.92402734598366	3
24	relu	0.00041577423150450035	32	constant	0.0008953701288089249	0.8555735570659389	0.18955546068303106	0.11183172359343317	median	-4297.840063052426	-223.57367659477745	-2.424953977011234	-178.50203299911118	-0.5568774744879743	-940.5795208195628	1681.0612355186781	51
25	relu	0.06632799680929793	60	invscaling	0.00012691680988757728	0.5008345916312765	0.22388071206908505	0.021564832482610093	1.5*median	-38.15415381139864	-226.52753279566403	-2.606782056136519	-178.7034112336368	-1.4102958382271105	-89.48043514701263	94.53085700514798	17
26	relu	0.017158172158085745	56	constant	0.0016110874083804206	0.6294109739539551	0.5706584529005004	0.05805387107721781	0.5*median	-6606.384586054146	-225.3022253270195	-2.569724601268759	-179.88996862225892	-0.6167774696458939	-1402.9526564148678	2603.3080876297886	54
27	tanh	0.00027592493383422266	15	constant	0.0007067259944100958	0.7671367982339925	0.12774000170682603	0.28116879735570255	0.5*mean	-38.1133346152224	-226.37967455849252	-2.434428525738127	-180.10771281790687	-0.3032331987061283	-89.46767674321322	94.99775158252723	15
28	tanh	0.008119083862628836	56	invscaling	0.00023771679001045222	0.6384445655417832	0.2724755510000046	0.02995614639583781	mean	-38.044949472685	-226.50071011921935	-2.4791108093177354	-180.20998386227527	-0.6386614162003226	-89.57468313593952	94.98848638947867	32
