	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
20	9	0.8811467095660294	14	59	-50.486051949201645	-3112.013882383479	-24.26440682372371	-94.05016836135341	-41.030860516618425	-664.3690740068753	1224.0396758461047	21
21	6	0.6895513801502724	13	156	-50.45622434678626	-3111.987937609687	-24.31241895237414	-93.99910654922151	-41.15084599347211	-664.3813066903082	1224.0198093886609	22
22	9	0.5518832341484469	7	169	-50.186582390880794	-3111.9356234340194	-24.459630290440575	-93.77347414690567	-38.506148073586566	-663.7722916671667	1224.3012866881531	14
23	15	0.4813399971756929	18	217	-51.748666640467896	-3111.9843575203913	-25.445734048896423	-94.22204644532763	-42.327585701945345	-665.1456780714058	1223.6296502287207	43
24	7	0.14638662580602993	10	49	-51.52154215051853	-3111.9797804847776	-25.372100563044942	-94.04178991619204	-42.07500221587623	-664.9980430660819	1223.70082492349	35
25	13	0.3310409246532608	3	32	-45.11873691655445	-3111.8229242944076	-23.91625355719783	-93.21276272450605	-38.66852994093735	-662.5478414867206	1224.857972404827	1
26	9	0.2888220167263865	11	130	-51.52603067036559	-3112.003989477075	-25.17631527751091	-94.08007359758041	-41.713354357461455	-664.8999526759987	1223.7637793337387	33
27	7	0.4730627693599007	7	254	-50.06664632691765	-3111.9847437814187	-24.676721434877635	-93.82829635888581	-40.07089824883414	-664.1254612301867	1224.14549298656	18
28	4	0.17255924759088329	18	125	-52.357622544317564	-3112.014759272156	-26.00323885796889	-94.29699833457002	-42.814608834749514	-665.4974455687524	1223.4659059678975	57
29	11	0.29906424906941165	16	107	-51.98106352298189	-3111.9996299125924	-25.516105682071338	-94.24789557716396	-42.510785414052805	-665.2510960217725	1223.584041093759	48
30	8	0.6119706477864197	13	253	-51.21906118635621	-3112.0079816506077	-24.698030753737342	-94.00216323993986	-41.09557368834069	-664.6045621037963	1223.916353010587	26
31	14	0.22754674549322093	2	105	-45.740478354757265	-3111.911703184935	-24.96297775258997	-93.5889316100215	-40.49910457221451	-663.3406390949037	1224.500293038319	5
32	14	0.5467632009552702	20	267	-51.88559074964732	-3111.9724361800186	-25.80636546587437	-94.2437684935108	-42.371284218403005	-665.2558890214908	1223.5669782081814	49
33	10	0.5761228759523708	13	219	-51.01509158341962	-3111.9976602984634	-24.5460751441496	-94.06149799618136	-41.19163081082853	-664.5623911666086	1223.933245252052	24
34	8	0.8701472595303302	7	83	-49.121212727584386	-3111.9647213217468	-25.472227165096424	-93.72053882532263	-37.57407717948671	-663.5705554438474	1224.4143167295158	8
35	15	0.8745995875304564	4	97	-47.06681383479576	-3111.8350888424234	-25.496169491985345	-93.38927041689887	-37.106984699168	-662.9788654570542	1224.6449741621534	3
36	3	0.3809319587106196	2	65	-47.37002145006414	-3111.8937495002697	-25.389457184448954	-93.47394455559322	-40.63440029401358	-663.7523145968779	1224.2813491009017	13
37	11	0.3501642892173135	15	65	-51.69216446566345	-3111.9765987122905	-25.426417340146124	-94.18599233750635	-42.404010279166876	-665.1370366269547	1223.629817164876	42
38	12	0.6056617559343601	3	115	-46.63918318213209	-3111.904542738052	-25.14709981247428	-93.53579995319467	-36.95285920617592	-662.8358969784058	1224.7542448353593	2
39	3	0.16618034849860697	19	285	-52.428534143270596	-3112.0301622414345	-26.146101880883208	-94.31358465370872	-43.05450325363166	-665.5945772345857	1223.4240586825683	59
40	12	0.9443645612957102	12	21	-49.66663995385828	-3111.9519491972783	-23.585285511114893	-93.76201287556833	-39.04330576693011	-663.60183866095	1224.3975390650219	10
41	3	0.9648631773837126	18	181	-51.657226031092414	-3112.005811313974	-25.322462402703966	-94.1969561974909	-41.679454363391606	-664.9723820617305	1223.7286271640417	34
42	8	0.8127797906579691	19	84	-51.60216995406909	-3112.0142485657075	-25.597576471455397	-94.20243306569941	-41.874107044841665	-665.0581070203547	1223.6884255242408	38
43	13	0.14618329436079053	9	267	-51.84556842492538	-3111.96360299985	-25.555630129822525	-94.14588011603746	-42.120849854003076	-665.1263063049277	1223.6283026829274	41
44	4	0.10852475269098574	13	274	-52.36642815161932	-3112.02786902174	-26.03020832225121	-94.25738976594516	-42.87532949440195	-665.5114449511915	1223.4649651469617	58
45	6	0.3376234130253512	8	261	-50.670932997304746	-3111.9606334166974	-25.23965125277332	-93.9807275008468	-41.093023514869735	-664.5889937364984	1223.8980290960646	25
46	3	0.1157769983230333	13	196	-52.36519447757229	-3112.0406930096187	-25.943955301145152	-94.2862020748411	-42.84203209139398	-665.4956153909143	1223.4799331783001	56
47	3	0.3294428428224735	15	196	-51.96128631024489	-3112.0305768987364	-25.670721670932082	-94.19655206790607	-42.35720481067529	-665.2432683516988	1223.6026614521077	47
48	14	0.16413754630057806	17	31	-52.08356859349048	-3111.999592271792	-25.66679605562793	-94.19824493487491	-42.65394517729305	-665.3204294066156	1223.548057437547	50
49	13	0.10938995135764273	5	89	-50.170724927050856	-3111.964948881406	-25.706372903020462	-94.0561560340451	-42.07802112212624	-664.7952447735298	1223.7938793192225	31
50	15	0.10246602928020082	18	243	-52.436001203882796	-3111.9826743486637	-26.145015988664234	-94.28995091081131	-43.130211683253584	-665.5967708270553	1223.3989345144248	60
51	10	0.7348505678070261	19	196	-51.52453479079907	-3111.955152048591	-25.37718204813835	-94.22436530364686	-42.20293920370924	-665.0568346789769	1223.6600834990156	37
52	6	0.35183288999717616	4	69	-47.48432551405122	-3111.9590485415133	-24.90735395175659	-93.52526988186479	-39.43194192839482	-663.4615879635162	1224.4639413135178	6
53	13	0.47050151862071626	12	88	-51.144752788588534	-3111.9858871193674	-24.826960981948048	-94.03287216721472	-41.51877852034456	-664.7018503154927	1223.8555115954791	27
54	9	0.26187831789050386	18	81	-52.051350602887524	-3112.0082553807706	-25.86080392065352	-94.28174052135446	-42.681599170303855	-665.3767499191939	1223.523859569187	51
55	15	0.20751231812349685	17	142	-52.23723859863899	-3112.004023356717	-25.88148653755914	-94.27687100518476	-42.957628889074925	-665.471449677435	1223.4737313434698	54
56	13	0.15577875154546264	12	28	-51.84356919117727	-3111.9830219369915	-25.66178131037543	-94.11810962968623	-42.23611967103963	-665.1685203478539	1223.6160278099462	44
57	7	0.16079993042461135	16	204	-52.213144190859	-3112.0144883448634	-26.00491531879192	-94.27470928005778	-42.872024819164075	-665.4758563907473	1223.4763420550737	55
58	8	0.12790182585157672	5	64	-49.12128054471914	-3111.970038742508	-25.53271645257692	-93.93298254812629	-41.6691449546209	-664.4452326485103	1223.9726082513303	23
59	10	0.6714199535327054	18	294	-51.6934378778826	-3111.9822582617116	-25.386825392501542	-94.22062856099924	-42.1886346549662	-665.0943569496122	1223.6547852779554	40
