	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	10	0.9505818372837345	15	0.004504432298629789	median	-46.39703361825623	-3111.977564416139	-24.36650190166104	-93.31240311033899	-37.622788347573916	-662.7352582787938	1224.8414867664203	31
1	0.1393484899105758	0.0021988464387221393	poly	9	0.4777822332794518	8	0.008782888669095604	0.5*median	-45.522280071554476	-3111.888046149857	-24.478438144209175	-92.94899386765809	-36.24236566468596	-662.216024779593	1225.056846913058	22
2	2.2318286374355	0.22992509055725158	rbf	15	0.22180581936443286	17	0.030734948372823923	mean	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	51
3	5.041841313149236	0.0007417607011378456	rbf	7	0.8662222513716047	4	0.008970643837740922	0.5*median	-43.14582769456764	-3111.059574907329	-24.947555379968684	-92.41561360029098	-35.253011076835385	-661.3643165317984	1225.0669570361201	8
4	2.1778425655735942	0.021815456171712117	rbf	15	0.23571362637191573	8	0.00730990664913502	median	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	51
5	4.74062921511504	0.69700763054668	poly	3	0.18882045870195982	4	0.02267606864625301	0.5*median	-44.19986868512598	-3111.883530865469	-24.521045996957298	-92.76672416703092	-35.62688761401704	-661.7996114657201	1225.2636721386268	14
6	2.064424124701711	0.007108130866776099	rbf	4	0.26227519927176973	6	0.0924206694245133	median	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	51
7	3.0355524819139754	0.012938091500262379	rbf	6	0.18160833253971903	16	0.0010081718249147745	1.5*median	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	51
8	0.7568374719544936	0.8103592012653911	poly	17	0.5453489294234646	16	0.002403424871263923	mean	-47.668158403277296	-3111.3866861431643	-24.55754293627494	-93.07736584944591	-38.57395004341665	-663.0527406751157	1224.3822195720647	34
9	1.5317552398482512	0.0014983112357752873	rbf	14	0.28048158131317685	14	0.014791213653102797	0.5*median	-49.05715627776896	-3111.9819088131326	-25.176410213727916	-94.01180715363392	-38.10656527119103	-663.6667695458909	1224.3769258032598	45
10	4.754811058671458	0.04600319237966473	poly	11	0.12462304343612073	7	0.009925789646676326	0.5*median	-44.67397635273861	-3111.924994210122	-24.33111049704324	-92.70306937407327	-36.414032484074795	-662.0094365836103	1225.17772644586	18
11	0.4864890386724805	0.004189197622268239	poly	7	0.14638662580602993	10	0.00435496655835953	mean	-47.89965017276733	-3111.9552258251174	-24.423396226357827	-92.95582235414638	-38.24965204166955	-663.0967493240116	1224.6447266273306	35
12	3.5465064303622706	0.9592979224337108	rbf	9	0.2888220167263865	11	0.15773291220128657	median	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	51
13	5.6513241670087355	0.0021921604850980744	poly	18	0.23582668163905976	13	0.004842618591782449	1.5*mean	-48.16686168178428	-3111.964304815321	-23.892607137061578	-94.07074741346305	-38.61463117582701	-663.3418304446914	1224.5359294733648	40
14	0.22467708037163794	0.009829443927692565	poly	7	0.45577264839036097	10	0.01693145938127174	mean	-45.46761410320189	-3111.9243429868948	-24.352330690936704	-93.98865654088749	-35.94313839568081	-662.3352165435203	1225.0240436664146	25
15	4.223369705026789	0.01375701355313925	poly	15	0.10165840122017848	5	0.0093548190368415	0.5*mean	-45.48443577314271	-3111.912721317263	-24.754540583653476	-92.76160578456916	-37.096712436227264	-662.4020031789712	1224.9719359052324	26
16	0.12912163189837986	0.050957798888884236	poly	19	0.1534613052673549	14	0.003722242995367467	median	-47.77384645405956	-3111.988463910769	-24.645652989567893	-93.28254987778394	-38.622830337949814	-663.262668714026	1224.5789861594687	38
17	3.9460520935166965	0.05264525903138367	rbf	16	0.1045097148979419	1	0.13268827197285404	mean	-46.93544074214845	-3110.789254509416	-24.60045658290776	-91.04545073015844	-35.67504235526667	-661.8091289839793	1224.697780739888	15
18	0.2761590822711846	0.056586812342162965	poly	16	0.30729286812485007	2	0.0026235167314890683	mean	-44.30315512735424	-3111.0206179974593	-24.8713067827425	-91.87041750213756	-34.72771175957409	-661.3586418338535	1225.0469835067624	7
19	9.309609510709942	0.13095354387586228	poly	3	0.38468017298941365	11	0.04438219239517538	0.5*mean	-46.54435050539953	-3111.1770758847138	-24.7547069246521	-92.82717707977568	-37.52645860520411	-662.5659537999489	1224.5210389221836	29
20	7.746577286361522	0.0052114179718890895	poly	7	0.2903265795237295	20	0.020370022829558295	1.5*mean	-49.33302309666803	-3112.0033554596953	-25.054404233333113	-93.92435413521152	-40.48967926869203	-664.16096323872	1224.1355012994127	48
21	0.1038563391669398	0.0064281090913621995	rbf	10	0.1410867740146216	1	0.019169201993877328	mean	-43.4667440806007	-3110.9367698555197	-23.62755289436076	-92.19028970321625	-34.8964361127791	-661.0235585292953	1225.1800921702174	5
