	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
125	0.13676678657678498	0.001979714002532629	0.060374904037699025	poly	982	-2.88190138026675	-2.6731148235059736	-5.354206726559018	-3.2200325479331484	-3.084660309405527	-3.442783157534083	0.9734872963864998	50
126	7.269968450452219	0.2488070659475931	0.13137223732783596	poly	550	-2.932728636276149	-2.4935975033297124	-5.342296227747642	-2.981131874516568	-2.8589718585549067	-3.3217452200849955	1.0246917149204444	19
127	1.3101487226387907	0.0036670984578121985	0.0007200095354886108	rbf	761	-2.5733693249856104	-2.486043261187817	-5.268735283348449	-3.131997819668318	-2.8902184460647624	-3.270072827050991	1.0254856217976835	7
128	4.212073318966985	0.35926765671790734	0.0001617530348053352	rbf	888	-2.527441959847753	-2.425268322563931	-5.282909459324687	-3.012759961455067	-2.8341911721291377	-3.2165141750641153	1.054378171799181	6
129	0.6992415902924091	0.016126225824197704	0.00010000751106313931	poly	810	-3.5096276436094724	-3.5597496011749414	-5.516097607573487	-4.136838779891516	-3.938430935327148	-4.132148913515313	0.7304842697769983	163
130	0.12690531246426065	0.26505119707091673	0.010311856623770651	poly	942	-2.9331888901790264	-2.7385690208262434	-5.358763508700746	-3.2821975318029883	-3.1461860295625925	-3.4917809962143194	0.9516657220109113	61
131	1.1387946783560914	0.054440340968323904	0.021625372753356027	poly	512	-2.9307462814676035	-2.458999256575775	-5.382765120263344	-2.9393489553663747	-2.738193754922171	-3.2900106737190535	1.0608239821084102	11
132	1.4816524723264466	0.15069188443226547	9.753989585314262	rbf	771	-3.4041012386681277	-3.434594726522558	-5.449659333404236	-4.012307729599434	-3.8235049034715853	-4.024833586333189	0.7489337893585257	126
133	1.1844572681107477	1.9885138150541912	0.000427042744527592	poly	928	-4.214949200667554	-3.941540981006509	-6.061357483393344	-4.263502514375867	-4.299414319108023	-4.55615289971026	0.7630684845280558	174
134	0.5511645290843916	0.05314165845793435	0.06347604578382715	rbf	962	-3.464776111002354	-3.5094884176948073	-5.488649666862434	-4.087107490446644	-3.892631079318223	-4.088530553064892	0.7379798859412562	146
135	0.9498836223243123	0.06328364676838943	1.7497464555369122	poly	740	-2.8769141495027832	-2.5807099357249967	-5.363974335029753	-3.142166641516982	-3.0288658022263126	-3.398526172800166	1.0006256020846531	38
136	0.6210225982678288	5.1443284311641735	0.002077061663171515	rbf	742	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	178
137	2.9852671531269968	0.7443821589533264	1.3357705342380355	poly	800	-3.042742645128515	-2.8684256331675426	-5.387689820636304	-3.3921604761031867	-3.277412382759072	-3.593686191558924	0.9152739946242344	72
138	0.35145300658730344	0.16906812981378716	4.707358210429273	poly	949	-2.9129825459733354	-2.709808621927092	-5.356201357456323	-3.2579338053810103	-3.119884773747895	-3.471362220897131	0.9605684151148931	60
139	0.1356550257503221	0.032991559539326615	0.0004389509658581016	poly	795	-3.5052254218614864	-3.554523463162505	-5.513333269224079	-4.131752667115101	-3.933726937313843	-4.127712351735402	0.7312492696729509	162
140	2.1375178277449045	1.5136114800533265	0.00018384666428532335	rbf	916	-3.341604830847086	-3.154170967154559	-5.496745602691962	-3.63429226094756	-3.6059223962312306	-3.8465472115744803	0.8438553036585144	96
141	0.22780323152002072	0.4712500671232905	7.527203847883942	poly	928	-2.9690995762391186	-2.8010021421081333	-5.361437470845817	-3.329674073996136	-3.209452362090914	-3.534133125056024	0.9319877920862426	69
142	1.342787614871376	7.650000308302373	0.008263808827499969	poly	987	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	178
143	0.46765314159947396	0.06808197460907248	4.970183439034937	poly	584	-3.007583130322941	-2.4530145481982695	-5.350419520944959	-2.9618319227149628	-2.8722815031613487	-3.3290261250684963	1.0295824760025571	23
144	0.8107077603773178	0.001149900517172347	0.04519725692077694	poly	847	-2.8871417970244484	-2.64956234412128	-5.366760064909397	-3.18991080199612	-3.0546424220659976	-3.4296034860234483	0.98522615276627	44
145	4.102118472906977	0.02431219068613245	0.3785505135891199	poly	738	-2.8679533127406027	-2.569416625130975	-5.369800421867743	-3.1372433432764977	-3.0164364784381084	-3.3921700362907856	1.0068675797829514	37
146	6.794362817953099	0.014488865189905399	1.1521636389080703	poly	658	-2.8706523422796635	-2.4924337001326324	-5.356346878874456	-3.0337971125539513	-2.930492155061529	-3.336744437780447	1.0262275071683482	29
147	0.11625267677503545	1.4869774329699583	0.00034895537028961665	poly	732	-3.5024800020257514	-3.371873914572476	-5.532959124871348	-3.8669595759039774	-3.772372669825895	-4.009329057439889	0.7824462927801994	116
148	0.11716652371947381	0.24920080003409595	0.00039810429496284124	poly	865	-3.4523262475414342	-3.489577881959872	-5.479912275395601	-4.068583052094996	-3.8749506445119293	-4.073070020300767	0.7408457946957757	140
149	0.2887425822285867	0.46929067601796887	0.012506300091910248	rbf	645	-3.0815414253413684	-3.0958661877395266	-5.352416853907185	-3.6786600513783645	-3.534392307141644	-3.7485753651016176	0.8359466013602713	86
150	0.3365485899717051	0.206244280089453	0.0003074324331538429	rbf	645	-3.246473788620204	-3.304551221305372	-5.425118744987895	-3.873864973932862	-3.677547355834258	-3.905511216936118	0.7946897878098196	99
151	0.5196691217748152	2.9508437969849735	0.003913558101848574	rbf	905	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	192
152	7.861904458359206	0.6190832880337581	0.026153969345801897	rbf	637	-3.2603123706502553	-3.221568627507172	-5.3873312811182945	-3.807858103782459	-3.65607144247686	-3.866628365107008	0.792974989549521	97
153	0.12840610353765933	0.001977870797618376	7.337316423976689	rbf	621	-3.5039687566684767	-3.5542051748212575	-5.512818554441699	-4.131213049711954	-3.93333198503099	-4.127107504134875	0.7313384852143181	160
154	0.9628722797128835	0.23187322786397035	0.04204785149348592	rbf	732	-3.4069199765426275	-3.436557526386145	-5.451723266664965	-4.014980578389442	-3.8264058344559304	-4.027317436487822	0.7487776597403515	127
