	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__alpha	param_regressor__regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	0.7760820991426709	0.022177281935498117	-2.1770778059083864	-2.240896569942416	-5.334813101219832	-2.7840958006701015	-2.6805976345386653	-3.04349618245588	1.1699541937692193	2
1	0.41307178405732536	0.0020861916134275686	poly	0.0016325125214692508	0.006209174227818484	-2.140870539016485	-3.1520706602010446	-5.557097226508715	-3.3006692079057127	-3.3656766076205993	-3.503276848250511	1.1187187820235331	31
2	0.9994590426751936	0.24897169764256202	poly	0.009492473080776375	0.014482611326903276	-2.261973011248516	-2.28571086382731	-5.35824510549799	-2.920229111615667	-2.7943059444825393	-3.1240928073344043	1.1478581008760023	13
3	2.2318286374355	0.22992509055725158	rbf	0.0042696481004083795	0.02166126560194832	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	34
4	7.284706174508087	0.00013319751967982531	poly	0.005662638988777596	0.32728843155883136	-3.5859971300627205	-3.5941916776079927	-6.888319844812402	-3.8294073223175182	-4.610380287402768	-4.50165925244068	1.2507458755405203	51
5	0.22289766972186587	0.8991197923004112	rbf	0.0024740862612179474	0.03517934068104829	-8.166684254003583	-6.8985557631843095	-31.87117647328393	-5.025888421993309	-6.918517406202095	-11.776164463733446	10.097444065300055	56
6	3.168252003710077	0.22134321023770606	rbf	0.0019807263461956636	0.02665793187226654	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	34
7	1.6881340876442121	5.70481702253633	poly	0.012048387628070626	0.29882226839951503	-2.2056331323269713	-2.5312964856010414	-5.620926129016319	-2.8983134059470976	-3.3056927725268204	-3.3123723850836497	1.2112688535909801	22
8	3.4458392459817504	0.003715124617986915	poly	0.002640079019149757	0.0017648312243200336	-2.146111281172252	-2.9292312807408125	-5.492451975562955	-3.233690097582407	-2.8499297240491903	-3.330282871821523	1.1382573767468602	25
9	1.2429974934909387	0.0035566916037075296	poly	0.012419580099367496	0.022712868739643684	-2.283582908639582	-2.215502377619792	-5.369925919358528	-2.8733279684703352	-2.9358645233597773	-3.135640739489603	1.1552840294447229	15
