	param_regressor__regressor__alpha	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.002196046158480499	125	-2.4148986271771604	-2.2675892360661396	-5.2753143177736534	-2.8758382975927317	-2.7395587648136397	-3.114639848684665	1.102121470534804	22
1	0.026796454274089585	311	-2.4946403021606027	-2.3362035463884476	-5.283142253343212	-2.9458934112058737	-2.78206140872455	-3.168388184364537	1.0786477232515588	63
2	1.7339689834274716	448	-3.3305176195508506	-3.3648440048074004	-5.428796868948743	-3.9467710549653847	-3.75924571124703	-3.9660350519038814	0.767869539482493	143
3	0.0239337360822717	123	-2.4846305443899395	-2.346895299482382	-5.269967824430369	-2.9400995007847133	-2.7939635388091757	-3.1671113415793157	1.0725030014211843	61
4	0.1752173384130308	466	-2.7500611271885522	-2.746928110696885	-5.33807222523335	-3.232068356261493	-3.132726851838693	-3.4399713342437948	0.9691950078390758	97
5	0.07543627532102296	492	-2.606865085319532	-2.5343559120466193	-5.307410715783822	-3.0663707404142198	-2.938519648892458	-3.2907044204913305	1.0277318032823743	82
6	0.1729954055957588	168	-2.747839212871137	-2.7434431275073514	-5.337854243696041	-3.2289435104806805	-3.129242168857854	-3.437464452682613	0.9702795358610894	96
7	7.757637369788903	491	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
8	0.05075976981784486	175	-2.555128593969856	-2.4439655398773343	-5.290850218875902	-3.011223513880811	-2.8692167240855806	-3.234076918137897	1.0486514986942967	78
9	1.0448623233301233	106	-3.2166987712587187	-3.2238522092533812	-5.4041396106553545	-3.8477870480209693	-3.638902711579502	-3.866276070153585	0.8064395627233069	133
10	11.813008490495449	144	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
11	0.035396700925460406	412	-2.5172384377057075	-2.3837307359821227	-5.287100805061272	-2.9724135523830952	-2.8136660572284056	-3.194829917672121	1.0667112533890493	71
12	14.761220350075702	212	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
13	0.4883490226394251	390	-3.000486171590529	-3.005910213115062	-5.358218655947158	-3.5537698551042225	-3.439363381859805	-3.671549655523355	0.8724719973515312	118
14	0.010742216839705858	138	-2.4528124319840363	-2.29660879095859	-5.276234234216294	-2.8851722514244833	-2.7359286856512237	-3.1293512788469253	1.093130918122284	36
15	11.756497896152519	237	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
16	0.1021992028080577	295	-2.6551506958268387	-2.6085509273263967	-5.323315816591745	-3.1168929924722937	-2.999622426757464	-3.340706571794948	1.0102681898031292	86
17	2.2891588474871623	357	-3.394002278201736	-3.4192076336740893	-5.436716124798823	-3.985497470907555	-3.8094145468708374	-4.008967610890608	0.7489776075335208	146
18	0.12421849705402561	474	-2.690229654618891	-2.65856938091889	-5.3305522687161595	-3.1552154811037476	-3.0437310239194555	-3.3756595618554286	0.9964346569346059	92
19	0.1448184630754893	192	-2.7172239764004926	-2.6977271859740823	-5.334768744871121	-3.1874324772138887	-3.081307852849408	-3.4036920474617984	0.9848230074667209	95
20	18.149061773315008	379	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
21	0.043464593580939084	391	-2.539035397249981	-2.420019495140093	-5.288621777953188	-2.991621523644877	-2.845623368741632	-3.2169843125459545	1.0559495042109885	74
22	0.09978402840566011	491	-2.6511538713344267	-2.6028645565338135	-5.3224041748553805	-3.112540868115728	-2.994470380330341	-3.336686770233938	1.0118179135363117	85
23	0.025456121972313724	347	-2.4887189541321164	-2.333302940946132	-5.290700017717901	-2.9470512453551523	-2.7804240820599944	-3.168039448042259	1.0828694031556647	62
24	0.004354674548523004	456	-2.3940283639189506	-2.2716748465260093	-5.303392738118997	-2.9467087264375347	-2.7074226569374265	-3.1246454663877836	1.1148126532286318	33
25	0.10652038276778598	167	-2.663189102808312	-2.6197540075268493	-5.324994899454087	-3.1246753209135165	-3.008715907737587	-3.34826584768807	1.0072541166070865	87
26	0.024481858895230777	119	-2.4877795142139627	-2.379201545123409	-5.275706305688206	-2.9400085325851246	-2.8017755391453587	-3.176894287351212	1.0689278465772465	66
27	13.286168437615048	375	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
28	1.6615037197879037	386	-3.3217318458853837	-3.3551023265357025	-5.427316922622273	-3.9403312960453682	-3.7498725809884252	-3.95887099441543	0.7708229887854627	142
29	26.027988559029865	429	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	155
30	0.006425453422567465	483	-2.425135015346482	-2.2516296879613926	-5.285855057940578	-2.9784309272896494	-2.7105242761160526	-3.1303149929308307	1.1058944482306512	39
31	0.0221133459976255	183	-2.473498782124961	-2.3318019865506896	-5.279405733028323	-2.930370441516002	-2.773170324903833	-3.1576494536247615	1.081796269095237	57
32	0.08114922086726113	121	-2.613517233939715	-2.551886038032739	-5.320101691771576	-3.0772611547280926	-2.9466367687243045	-3.3018805774392854	1.0282221955238715	83
