	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
10	relu	0.016218974639259566	40	invscaling	0.008090638785890258	0.569182623840747	0.5543831967921278	-44.98374986815025	-3111.856454655769	-671969.5912519542	-93.04053969519558	-42.35472895096509	-135052.36534502485	268461.2153609848	59
11	tanh	0.0005074125701038109	74	invscaling	0.0008803350483943914	0.8786645217042788	0.19177744964353974	-45.972122391963026	-3111.921812971072	-25.66377839058577	-93.62990031548965	-41.26886058705778	-663.6912949312336	1224.3258094031523	15
12	tanh	0.00013150379242419	74	adaptive	0.003960864043837765	0.6810748179375696	0.5777163657581476	-48.876580381586045	-3111.639117024581	-25.80564537420544	-92.96642771183227	-37.415358525311184	-663.3406258035031	1224.360370362309	12
13	tanh	0.0009403261396688386	89	constant	0.00021429044214874655	0.6867057976579634	0.4136844602519063	-46.97010458007788	-3111.6784673227917	-26.11551163988976	-93.63937187556495	-39.31518914374853	-663.5437289124146	1224.2788660955064	13
14	relu	0.040207830653704965	118	constant	0.00016596291809140316	0.8595509693041155	0.4485433781229128	-52.21336765353232	-3111.4211629928113	-1693.7907852943674	-94.24193857762003	-40.35127701212315	-998.4037063060908	1231.1827710250052	50
15	relu	0.010586595256946048	37	invscaling	0.00012059008988512184	0.8940522761915375	0.293594150715794	-51.77621862725691	-3110.605334913411	-665228.0259222612	-94.30804604033385	-43.491960408707804	-133705.6414964502	265763.81355046324	58
16	relu	0.0003367736915912925	57	invscaling	0.004822356140496858	0.8540287665757292	0.5485467422640058	-60.25091249866866	-3111.503851424901	-39.659693632789285	-158.99622707213396	-43.43731893818762	-682.7696007133361	1215.150545718219	38
17	tanh	0.0011781806480761514	117	invscaling	0.0007168192605234181	0.7699344968945508	0.6097128982029936	-51.71806179545206	-3111.7990031383165	-24.83552912810086	-94.31558997955219	-43.45134999884958	-665.2239068080543	1223.4993924592386	24
18	tanh	0.018764675963637012	32	constant	0.0002274319680681338	0.6764007010192521	0.7577149297211292	-51.270832083719306	-3112.174742882584	-26.274310986396138	-93.91132205330966	-42.97074531708981	-665.3203906646197	1223.6306941286607	27
19	relu	0.004210429465293307	79	adaptive	0.004538437823448572	0.9238141706861518	0.189703497801913	-56.86882158264433	-3112.0621226798007	-510.489425276086	-167.83409803740184	-39.46933437805703	-777.3447603907979	1179.5902595300076	44
20	relu	0.005527671546651409	115	invscaling	0.003946052093516697	0.7449223340204967	0.392891613533099	-35.53937791862896	-3111.2100391853073	-48.57895218467171	-102.05003666386078	-39.310159727016405	-667.337713135897	1222.1712033654908	31
21	tanh	0.022217257776388315	54	constant	0.0002761590822711846	0.7477443706887075	0.46581377448586947	-49.40459005166069	-3112.022299017047	-26.245282905900318	-93.35894427339059	-41.627731949804286	-664.5317696395606	1223.9484314475042	18
22	tanh	0.000664929773242728	51	adaptive	0.005667634827500586	0.9091321086923819	0.2382730226270098	-47.20462784335582	-3111.7365624589343	-25.089520575063858	-93.09329523766483	-31.857995081764898	-661.7964002393567	1225.1996663153514	4
23	tanh	0.053693126061590796	102	constant	0.001479788354911653	0.574203985178739	0.37411532450828555	-44.04622140241956	-3111.5492724022833	-25.60711292084101	-93.56667968544885	-41.41868531361131	-663.2375943449208	1224.367948512001	10
24	tanh	0.004458023591506548	117	constant	0.000842895227779485	0.6740558111186465	0.469902789081159	-50.56477725035242	-3111.5870199643928	-59.73157252061804	-93.710433753566	-39.30530961951894	-670.9798226216897	1220.438886728578	34
25	relu	0.00010583992297406652	35	constant	0.00013404313340691673	0.5672688364959036	0.1162332576695535	-94.60548681864454	-3107.580050096591	-27.18493822093146	-133.04081889760397	-42.37587037124853	-680.9574328810039	1213.8964892991355	36
26	tanh	0.0009612800602632719	118	constant	0.0013599809006000386	0.5968435715817716	0.10825355062814125	-47.69664883464615	-3112.019482875001	-24.558186327941485	-93.22859405990906	-36.143914175332945	-662.7293652545661	1224.8665422851636	5
27	tanh	0.06637188930314548	60	constant	0.0003042326590786118	0.5047609581222556	0.6814482281956632	-50.92604137940318	-3111.6636973662708	-26.195668790940164	-94.39152001091696	-43.32827539526557	-665.3010405885593	1223.387948748778	26
28	relu	0.000535435524891306	115	constant	0.0005025775698361402	0.5844392317733335	0.738856880491466	-44.89019368117329	-3109.3163883947745	-3328.060623193473	-95.59685953172448	-42.13287128603267	-1323.9993872174357	1548.6699516626772	51
