	split 0	split 1	split 2	split 3	split 4	mean
RMSE	1.5437547434735284	1.6827759196075043	0.16610784658670774	0.04236355655732982	0.024434543550690482	0.6918873219551521
pearsonr	0.5412199909061043	0.38292146315895087		-0.015858448422384697	-0.008930005239638245	0.22483825010075806
