	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	-28083.53737057165	-226.0419379588036	-2.618908907364289	-179.03030136360073	-0.9048268382752427	-5698.426669127938	11192.925383572157	119
1	0.019731821954529112	0.13718024761746403	-20654.290700048386	-225.82879996095159	-2.5697571679168885	-179.01543123871744	-0.5891503032057837	-4212.458767743836	8221.419975827277	70
2	0.7748509861975081	0.038980498747312416	-851.8844478321477	-225.90153581360178	-2.4966661100945253	-179.3546970517845	-0.34163768700893804	-251.9957968989275	313.49758068607525	8
3	0.03022952868785433	0.0016325125214692508	-21882.11062579475	-225.92139914295137	-2.591925612025493	-178.91250424649596	-0.6669723532266031	-4458.040685429889	8712.510418937534	73
4	0.006209174227818484	0.029976031307006615	-25860.36354437433	-226.03089272753473	-2.6156714981383247	-178.9990522039357	-0.8582315954257869	-5253.773478479873	10303.69702616268	90
5	0.10153368026448513	0.236831806096408	-7540.144954678537	-225.87699014194175	-2.510450451733491	-179.16470604466642	-0.39340494443478596	-1589.6181012522627	2976.6586724754497	32
6	0.013347271330883557	0.0015660007255856795	-24510.663394722622	-226.00793027488584	-2.609502056655111	-178.97069585573632	-0.7887133065309498	-4983.808047243286	9763.851948044407	81
7	0.007099895856262438	0.4865862874958168	-21477.789170013173	-225.8479450190999	-2.568588444017246	-179.03857355445032	-0.6017750915714699	-4377.169210424463	8550.794643925969	72
8	0.0042696481004083795	0.02166126560194832	-26663.198007886636	-226.0524646735017	-2.621720288218136	-179.01860034391106	-0.9002587629838551	-5414.35821039105	10624.80972926633	94
9	0.5636485685665003	0.0011845635270101222	-3651.955886023336	-225.56167907274096	-2.534476749117075	-179.02455931267886	-0.38352746787547326	-811.8920257251496	1422.9457418221523	17
10	0.05945209197180284	0.6410810795593402	-7104.787440407991	-225.92473642854847	-2.490836753400933	-179.42415382607012	-0.38060158682815365	-1502.601553800568	2802.576985154611	30
11	0.004790386505402572	0.04172268369255274	-26219.455328268083	-226.03721138606684	-2.6174279518845096	-179.00786325043993	-0.8776968665707762	-5325.599105544609	10447.324564724458	93
12	0.4850490871909631	0.0024740862612179474	-4360.713323077177	-225.56592298816844	-2.535715215828793	-179.00275325249825	-0.38980877417948523	-953.6415046615703	1705.965336229602	21
13	0.03517934068104829	0.1647755254623533	-14437.636031635702	-225.76688203170823	-2.549927428772111	-179.0535102051021	-0.5173629221904903	-2969.104742844695	5734.988350928093	49
14	0.09471687384144818	0.024091030761663128	-14587.747437577109	-225.68891941990387	-2.5556729341310276	-178.88996017305385	-0.4929006095459896	-2999.0749781427485	5795.050742841561	51
15	0.004028783136467884	0.028173542095451424	-26915.088186284396	-226.0516532137026	-2.6214334906397547	-179.01782051841977	-0.9010170530342915	-5464.736022112039	10725.562246636306	98
16	0.012592578859234416	0.025725201531656458	-24406.476744968273	-225.99084484130873	-2.6037859319192656	-178.97256828789781	-0.7679840866947552	-4962.962385623218	9722.183286780546	80
17	0.012048387628070626	0.29882226839951503	-20109.90879365076	-225.82387890676586	-2.565704329458168	-179.0392530641831	-0.582869758360504	-4103.584099941906	8003.680125585607	67
18	0.1865396418233756	0.008464794577241827	-10213.4615311271	-225.61852458564346	-2.5491589612890637	-178.8790717719331	-0.44642660970669484	-2124.1909426111347	4045.658630752713	40
19	0.04916704412122075	0.0065390676934270016	-19293.686244246695	-225.83810109289868	-2.577929163378261	-178.88792605873667	-0.588750421604975	-3940.3157901966624	7677.224719772232	65
20	0.02176746432835194	0.011035288550905548	-23407.543881305035	-225.94373385954262	-2.59605823349975	-178.94586486957547	-0.6998484217511215	-4763.145877337881	9322.64336692064	78
21	0.08752204137105632	0.012419580099367496	-15241.54171334212	-225.7207564454199	-2.562029931602989	-178.8879497378597	-0.5110026474100227	-3129.8446904208827	6056.532216579742	52
22	0.022712868739643684	0.13336992310608964	-19535.52521307282	-225.8400511896088	-2.5663458060171744	-179.02707649450886	-0.5724449803260051	-3988.7062263086564	7773.942627628534	66
23	0.016598850660723606	0.47620522178355656	-14523.01609933296	-225.7199953914812	-2.545166781505911	-179.0729111915285	-0.5144234596507719	-2986.1737192314245	5769.139495291992	50
24	0.003412697893154653	0.1546838165234765	-27770.063153335195	-225.99666694606842	-2.6121949732899763	-179.01423078344578	-0.8453917321292724	-5635.706327554026	11067.552634748174	118
