	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
24	11	0.12462304343612073	7	171	-38.03310047814488	-226.27857897280282	-2.4459162471347993	-180.01417531212283	-0.32714752069107167	-89.41978370617927	94.95284754942759	14
25	15	0.4813399971756929	18	219	-38.0928280559705	-226.3886941755817	-2.443666955821131	-180.1087970350087	-0.3232972112792945	-89.47145668673225	94.99731721503878	45
26	7	0.14638662580602993	10	179	-38.077101023336894	-226.32927159753905	-2.454230134602824	-180.0544379991227	-0.3192893100834211	-89.44686601293698	94.97033372683234	24
27	13	0.3310409246532608	3	162	-37.39246532803599	-225.68166042078704	-2.473279963703258	-179.8065494932203	-0.34926283393892676	-89.14064360793711	94.80165709350172	5
28	9	0.2888220167263865	11	243	-38.06754467378796	-226.3107818681424	-2.444485438015886	-180.05635696300814	-0.32248859318800877	-89.44033150722848	94.96758882627879	20
29	9	0.185427639181401	6	229	-38.03025217703261	-226.22256762921538	-2.462820517342979	-180.01503415058778	-0.32081375660265726	-89.4102976461563	94.93526687815934	13
30	4	0.7510549709056645	10	242	-38.05723629530828	-226.29533655131985	-2.4472121700310883	-179.99731245021823	-0.34695653305346447	-89.42881079998617	94.94789443621788	16
31	9	0.6262690606472394	10	237	-38.062104076692194	-226.24307182225178	-2.4431606060333975	-180.0329775705614	-0.3562827795800827	-89.42751937102376	94.93810003800111	15
32	8	0.6119706477864197	13	225	-38.08970431309646	-226.3455928125382	-2.442247267969166	-180.084916680066	-0.3337427235310378	-89.45924075944016	94.97897382645358	36
33	9	0.2972047925629157	12	242	-38.084688972748076	-226.3560604190443	-2.438877765250246	-180.07034694625477	-0.32806870483526296	-89.45560856162655	94.98143577573434	33
34	11	0.11004568081776996	13	226	-38.09354988776137	-226.40214945137384	-2.446790174830689	-180.11472933073145	-0.31861396754380716	-89.47516656244824	95.00255647219913	51
35	7	0.24660481829688163	10	165	-38.07944520262117	-226.34785193594413	-2.4495662944001144	-180.04412168658308	-0.3227859082214041	-89.448754205554	94.97366624279996	26
36	14	0.40529453845161223	17	155	-38.08870533524927	-226.383451793301	-2.449333936969499	-180.0871386507099	-0.3229560750952334	-89.46631715826499	94.9911450982777	39
37	6	0.649116298687579	2	195	-38.1586206167418	-224.51105463846977	-2.4769902794016243	-179.71011587021727	-0.48374029057389406	-89.06810433908088	94.3374296459929	1
38	11	0.3501642892173135	15	195	-38.08955188542465	-226.4109351681358	-2.444014678701842	-180.10329657471257	-0.3281653353943531	-89.47519272847384	95.00205607761391	52
39	12	0.6056617559343601	3	245	-37.364404364309124	-225.62387349414806	-2.498806655711236	-179.80816870737388	-0.3348168266873627	-89.12601400964594	94.78642604157454	4
40	3	0.16618034849860697	19	159	-38.10040610419917	-226.38864423420569	-2.4435749935714792	-180.1039664457712	-0.31453032573182876	-89.47022442069587	94.99722376115285	43
41	12	0.9443645612957102	12	151	-38.08283856667882	-226.27962475475562	-2.449384302096999	-180.00544929676389	-0.35494412476926773	-89.43444820901291	94.94025045839784	19
42	3	0.9648631773837126	18	183	-38.0932096377006	-226.421904628141	-2.452290211580668	-180.1110923690381	-0.3360689985718735	-89.48291316900644	95.00331050431751	58
43	8	0.8127797906579691	19	214	-38.09824843397323	-226.42127374879877	-2.448300552414241	-180.1143887681691	-0.33134650828585077	-89.48271160232824	95.00482973899025	57
44	13	0.14618329436079053	9	247	-38.05985568610361	-226.35199135884997	-2.455090772970129	-180.08341713006666	-0.3231492895342113	-89.45470084750492	94.98339655938756	31
45	7	0.2903265795237295	20	204	-38.100922654161444	-226.42162853425083	-2.439803518037868	-180.11374502277292	-0.320210210997385	-89.4792619880441	95.00816687789509	55
46	13	0.6632693345690645	18	165	-38.09402846021736	-226.42460568521935	-2.4540453295958446	-180.1054106141429	-0.32733360148301355	-89.48108473813168	95.00423448744459	56
47	3	0.1157769983230333	13	198	-38.085625711799	-226.39712953792346	-2.448223733814508	-180.10181995207688	-0.31742319383115597	-89.470044425889	94.99946421743957	42
48	3	0.3294428428224735	15	206	-38.096936883705546	-226.4104536078081	-2.4378054310345827	-180.09858179908423	-0.3260187355529476	-89.47395929143708	95.0017594531414	48
49	5	0.26733356690634685	12	155	-38.08772463864243	-226.37532504893616	-2.457426302921584	-180.0256289235297	-0.33177310404373495	-89.45557560361473	94.97403709754543	32
50	8	0.10275211894245509	12	182	-38.091008535957805	-226.39603454709444	-2.4474573806711124	-180.09594938022136	-0.3158805191816461	-89.46926607262526	94.9978761271644	41
51	11	0.9467031498147964	12	243	-38.08019399348655	-226.31601147093556	-2.4512750278798325	-180.02989015640975	-0.35295801849730957	-89.4460657334418	94.95571549421588	21
52	4	0.21881032853740434	11	202	-38.0702827828223	-226.36566921105452	-2.4463288760894524	-180.04955501602512	-0.3223646653608407	-89.45084011027045	94.98150278004964	27
53	3	0.5908025274640991	16	208	-38.092288978708574	-226.41361983038024	-2.4428841465602065	-180.09418585968479	-0.3316037535882116	-89.4749165137844	95.0003576025433	49
54	5	0.7458082500051022	16	212	-38.0958068238592	-226.38279739964364	-2.448358372130485	-180.09413687500015	-0.3428798958858814	-89.47279587330385	94.98796303870512	47
55	6	0.35183288999717616	4	157	-37.74815487360834	-225.62010156931052	-2.46794074929001	-179.83656645365508	-0.3652382272958659	-89.20760037463197	94.74891911768948	7
56	4	0.16362365325910813	2	225	-37.21955281292823	-225.61358000642323	-2.5171429164188974	-179.6825736161234	-0.35391910162132767	-89.07735369070302	94.76834536987745	2
57	14	0.22949883949495972	18	211	-38.09830004345738	-226.40366996809792	-2.431700583705382	-180.10790807772256	-0.31838818448416867	-89.47199337149347	95.00398659296357	46
58	15	0.20751231812349685	17	176	-38.09644282491469	-226.4052520104791	-2.4473319163810214	-180.1219993459203	-0.3234889181847433	-89.47890300317597	95.00351089043238	54
59	3	0.5890041044218075	2	158	-44.01843486626145	-225.52434484185574	-2.5307731711767274	-179.92571042981447	-0.41133032813945236	-90.48211872744957	94.06765539391147	59
