	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	217	-38938.5304446964	-225.28550862526978	-2.565066307096921	-178.51040686406034	-0.6110944726029927	-7869.100504193086	15534.980308618651	113
1	0.7760820991426709	0.022177281935498117	207	-104.96618120918342	-225.8751921447616	-2.5117144882411138	-179.5839934314633	-0.36708106068821245	-102.66083246686753	91.21197636833477	10
2	0.038980498747312416	0.03022952868785433	192	-11572.81096521671	-225.0484583662654	-2.55467603702527	-178.84826574064454	-0.5688243532718896	-2395.966237942783	4589.320710748681	58
3	0.006209174227818484	0.029976031307006615	218	-33470.7098403569	-225.2729260917253	-2.565878888304491	-178.52235093847509	-0.6085050647765662	-6775.535900268036	13347.895778835606	106
4	0.36868052741771135	0.009492473080776375	150	-352.3319829902904	-225.6962003298647	-2.537862113704275	-179.34098615733055	-0.43172962997772285	-152.06775224423353	135.36869000519002	23
5	0.0015660007255856795	0.007099895856262438	169	-34424.76153147575	-225.5110324012034	-2.560316259098726	-178.8442039878582	-0.6953051360330329	-6966.474477851989	13729.444422553013	109
6	0.11228909535577349	0.010521749436786671	206	-4368.715791611906	-224.86328510884107	-2.548356217866576	-178.95908668311088	-0.4859774880791628	-955.1144994219609	1709.2136036691759	43
7	0.5636485685665003	0.0011845635270101222	211	-368.33073183513727	-225.61788765194234	-2.525166287100633	-179.2132029126254	-0.41425948160234066	-155.22024963368162	140.16294084737063	25
8	0.6410810795593402	0.004790386505402572	228	-287.84049173955503	-225.64054463526148	-2.531038308250799	-179.28068957439208	-0.3859362858924303	-139.13574010867038	117.57563858744982	19
9	0.21682391449152674	0.5888225603932989	237	-122.30038936176919	-226.19741995443587	-2.4512048517901577	-179.80960087760653	-0.3403094856067911	-106.21978490624171	91.70284759807417	11
10	0.03517934068104829	0.1647755254623533	198	-9624.677914941956	-225.23158622893752	-2.5500765712132902	-178.90094189371678	-0.49468531407355676	-2006.3710409899795	3810.2373353324097	56
11	0.0037257988306592066	0.0019807263461956636	181	-29048.471019717403	-225.18103393034983	-2.563125820844906	-178.73766486939505	-0.7279875453546952	-5891.136166376668	11579.023298014998	95
12	0.028173542095451424	0.012592578859234416	221	-18817.73563186235	-225.132156523682	-2.5610902976488386	-178.58180026506506	-0.5530304586657215	-3844.9127418814824	7486.961829200975	72
13	0.01072286678033	0.00655981368083364	214	-22914.49681451755	-225.36099743330985	-2.564363622560157	-178.57855880591686	-0.6037209003891144	-4664.320891055945	9125.540008241698	83
14	0.1865396418233756	0.008464794577241827	246	-4306.820867301359	-225.2041600646619	-2.5468937187038314	-178.761648207797	-0.44565121471155184	-942.7558441014468	1684.484633407992	42
