	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	77	-9785.721239028624	-225.41975350561916	-2.5341091560459166	-178.84734557721657	-0.35987503578769653	-2038.5764644606584	3874.640038770598	95
1	0.7760820991426709	0.022177281935498117	195	-1349.0405807641498	-225.47885663900448	-2.4979143341062957	-179.18554356263718	-0.3467375821155284	-351.3099265764027	507.10387488342656	8
2	0.038980498747312416	0.03022952868785433	120	-9044.089473452523	-225.39466498721345	-2.5220797366607974	-178.96559198541084	-0.4129334168467855	-1890.2769487157307	3578.0625388359003	83
3	0.017335134327422393	0.001114302396878279	78	-8108.868302691169	-225.4970874170877	-2.530748599730828	-178.98113042003723	-0.3688806668517438	-1703.2492299589758	3204.101907738011	65
4	0.36868052741771135	0.009492473080776375	10	-185.67440035704604	-225.37230627718387	-2.4819421828542545	-178.878067318964	-0.33194182267160655	-118.54773159174397	96.95717533740867	4
5	0.0015660007255856795	0.007099895856262438	29	-6479.179408721067	-225.21965882195192	-2.5116857276490867	-178.78981871844	-0.34713907722240533	-1377.209542213266	2552.6038203233456	47
6	0.11228909535577349	0.010521749436786671	66	-6976.995948035058	-225.51974976429423	-2.532329788510619	-178.92884617348204	-0.3523795840030661	-1476.8658506690695	2751.5700965422448	51
7	0.5636485685665003	0.0011845635270101222	199	-3237.042515988624	-225.32272165574338	-2.5265465852069955	-179.07281918927126	-0.3695417449574133	-728.8668290327607	1257.3825115263928	27
8	0.6410810795593402	0.004790386505402572	48	-1928.0734557892156	-225.63126923367443	-2.5187202343607398	-179.06615163559823	-0.34457277264715064	-467.12683393309925	736.1264123799333	15
9	0.4850490871909631	0.0024740862612179474	82	-2890.4939610291212	-225.68919178985223	-2.5313529455202146	-179.09516121125216	-0.34859989542810355	-659.6316533742348	1119.1427938747895	24
10	0.01137806873879027	0.0037257988306592066	154	-11458.011928894985	-225.18841087796002	-2.5322913956933673	-178.83127735019013	-0.42083261615752726	-2372.9969482269967	4543.416375745873	106
11	0.004028783136467884	0.028173542095451424	102	-9231.39137948061	-225.60119525349165	-2.539148915131136	-178.7978747917943	-0.40424331506624356	-1927.746768351219	3652.9555151062495	89
12	0.6459788432970658	0.01072286678033	45	-1842.6005622834518	-225.61802008324517	-2.5142587835536028	-179.13038518009932	-0.3412142649571575	-450.0408881190614	702.2094347184157	13
13	0.020849070399617496	0.6759420403486655	102	-5964.276534444722	-225.32801456752392	-2.522790463011666	-178.89118017796028	-0.36631133040825753	-1274.2769661967252	2346.7623191785065	43
14	0.04916704412122075	0.0065390676934270016	173	-9848.845820765107	-225.34453109808626	-2.5420682389417864	-178.88360713625926	-0.42483953861569707	-2051.2081733554014	3899.878851815778	96
15	0.04136807129075096	0.008249608320262312	29	-5424.375717211036	-225.23449193354335	-2.5142336626776114	-178.7591058985559	-0.3462548918804319	-1166.245960719539	2131.004249294549	40
16	0.5258214121416745	0.019063289466904138	133	-2438.4734934612648	-225.4766737549456	-2.502269402930844	-179.0750434497098	-0.35761461521335824	-569.1770189368128	939.0691747383348	20
17	0.016598850660723606	0.47620522178355656	137	-8794.3508066711	-225.28300103881338	-2.4876259248129884	-178.96429209435846	-0.4085054237139892	-1840.2988462305598	3478.2148840222703	75
18	0.007713908193362454	0.03081808927583822	156	-10927.338016738584	-225.0915718813363	-2.5461540931974955	-178.95852255793545	-0.42823868839959883	-2266.87250079189	4331.185992142224	104
19	0.07483624274817327	0.03505837059252771	196	-10260.636237267518	-225.20399539242896	-2.535437630747371	-178.8142612988	-0.41567582260758984	-2133.5211214824203	4064.5735839146573	102
20	0.01574186860211494	0.09359445546892536	117	-9715.246681989434	-225.361694870361	-2.490252076322985	-178.91796676517066	-0.4101101073632758	-2024.4853411617303	3846.456018490397	93
21	0.12465883787843703	0.03540332497610842	120	-6714.110041225808	-225.53775164047278	-2.463404699928308	-178.8621553771641	-0.3948235057033005	-1424.2736352898153	2646.4830200502106	48
22	0.1500773041524775	0.02791732654801522	153	-6909.374401074529	-225.21244464362127	-2.5314419088822917	-179.02636174694928	-0.3916774113023598	-1463.3072653570566	2724.5510270509635	49
23	0.002845658457975523	0.08272837769950037	53	-9027.628668578427	-225.3356902679699	-2.528590709782072	-178.88443330411994	-0.35648258799878046	-1886.9467730896595	3571.498875542581	82
24	0.004949971540048182	0.7091830501837787	53	-8105.451228356298	-225.3633953693862	-2.53589221552049	-178.87396874161166	-0.35214926416820874	-1702.515326789397	3202.7593895552886	64
25	0.021048350292659126	0.08862068415207149	49	-7480.157241338901	-225.45133353487205	-2.5303134460531633	-178.95656796436177	-0.3485901066589145	-1577.4888092781694	2952.7362875535277	57
26	0.30614437330868366	0.002439678691746349	89	-4301.432013785112	-225.6479525671375	-2.537058919551807	-179.01341899425827	-0.36469538621471587	-941.7990279304547	1682.2817657283294	36
27	0.001309556292979108	0.0019161112392231206	127	-11490.55926696149	-225.39868660097258	-2.5110223255667266	-179.01668072175679	-0.4219160483545098	-2379.5815145316287	4556.397027678685	107
28	0.02724241112942528	0.002537261611459781	145	-13159.197428086809	-225.10431940012364	-2.5383388107957976	-179.07157171130524	-0.4274086343378961	-2713.2678133286745	5223.755565211479	116
29	0.03039510917945343	0.014905946933599663	110	-9953.598887675467	-225.36794369936146	-2.5283184790962188	-178.9104997617211	-0.4009241998832768	-2072.161314763106	3941.767991012086	99
30	0.003082700072440592	0.016815913076835276	36	-6939.3539739467815	-225.3930577451941	-2.517218496556064	-178.8109358202017	-0.353856041783641	-1469.2858084101033	2736.5456869786044	50
31	0.034344450941939934	0.3669343776726532	22	-3362.2855284753787	-225.2102699005525	-2.507843214141776	-178.73181998313206	-0.34238100204761696	-753.8155685150506	1307.397839524153	31
32	0.0021134063911857365	0.2293222153053011	116	-9215.646781890213	-225.42858405167456	-2.5309157765705934	-178.89724381255903	-0.41287019481483683	-1924.5832791451667	3646.6661613886563	88
33	0.4180870730813556	0.09859927472103723	27	-1323.835202588189	-225.46872538429918	-2.5002837350379656	-179.0769990590537	-0.33472206524252984	-346.24318656636444	497.19794922537517	7
34	0.0050115609450177125	0.01261043018402481	86	-8939.529059145745	-225.34215688915896	-2.539826125744239	-178.92707517683382	-0.3760216355378162	-1869.3428277946045	3536.2626412128216	79
35	0.006561972185260496	0.02544038671605283	185	-13622.658635946353	-225.21945547970995	-2.5364372547798024	-178.82667062217956	-0.4678384942698145	-2805.941807559458	5409.12175141423	119
36	0.015041208963047647	0.3064630085700708	14	-3195.344130389815	-225.3036327138333	-2.495546776933971	-178.67203706543884	-0.3342820449755494	-720.4299257981994	1240.7916412460243	26
37	0.08832875511239692	0.0016017229896728702	16	-2696.014975551179	-225.20734063926503	-2.4971694840771086	-178.69911357700317	-0.3353376093563472	-620.550787372176	1041.7042207491384	22
38	0.02497592481363183	0.025177017176222404	168	-11887.886139279977	-225.19972423361415	-2.541750347310895	-178.9097868628394	-0.4199966509708105	-2458.991479474943	4715.323353585742	110
39	0.059171895127924194	0.14163318332713004	193	-8389.22095051262	-225.1524586504271	-2.5286826483097977	-178.88222815752894	-0.4106598102848292	-1759.2389959558338	3316.2363599757405	73
40	0.17650056360237415	0.0010497912956349033	174	-8289.232539195627	-225.06057600485443	-2.5345373946458074	-179.0008965647146	-0.41057833186609893	-1739.2478254983416	3276.252776348401	71
41	0.014390227698142655	0.5967396064462919	153	-9069.456334603881	-225.10304340614795	-2.516977166917483	-178.99906285322314	-0.39897113204423645	-1895.294877832443	3588.2319706117682	84
