	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	10	0.9505818372837345	15	0.004504432298629789	median	-2.166625808848013	-2.2822890332183663	-5.292037033903597	-2.7448537061890597	-2.6963177061687693	-3.036424657665561	1.1501081799121546	30
1	0.1393484899105758	0.0021988464387221393	poly	9	0.4777822332794518	8	0.008782888669095604	0.5*median	-2.3313983872541537	-2.3350082837282637	-5.353610232055569	-2.7384989168730494	-2.823556437388508	-3.116414451459909	1.1367037211545576	35
2	2.2318286374355	0.22992509055725158	rbf	15	0.22180581936443286	17	0.030734948372823923	mean	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
3	5.041841313149236	0.0007417607011378456	rbf	7	0.8662222513716047	4	0.008970643837740922	0.5*median	-2.143940237544343	-2.29615568709331	-5.24214186263923	-2.6869875771839062	-2.5700806934459473	-2.987861211581347	1.1434601787530512	13
4	2.1778425655735942	0.021815456171712117	rbf	15	0.23571362637191573	8	0.00730990664913502	median	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
5	4.74062921511504	0.69700763054668	poly	3	0.18882045870195982	4	0.02267606864625301	0.5*median	-2.1166601514908647	-2.2064383473734384	-5.293934330677277	-2.701774814971851	-2.6786993275304147	-2.9995013944087687	1.1716940930140556	18
6	2.064424124701711	0.007108130866776099	rbf	4	0.26227519927176973	6	0.0924206694245133	median	-3.486012059686726	-3.494306041942278	-5.497483212042047	-4.134940578303197	-3.942722693900398	-4.111092917174929	0.7378546497225567	51
7	3.0355524819139754	0.012938091500262379	rbf	6	0.18160833253971903	16	0.0010081718249147745	1.5*median	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
8	0.7568374719544936	0.8103592012653911	poly	17	0.5453489294234646	16	0.002403424871263923	mean	-2.1516274176467363	-2.2991283008383196	-5.290712304780811	-2.7340722895451597	-2.57726825643002	-3.0105617138482095	1.158203951440432	23
9	1.5317552398482512	0.0014983112357752873	rbf	14	0.28048158131317685	14	0.014791213653102797	0.5*median	-2.2727494291595898	-2.3914039441006794	-5.240156961898068	-2.712520503989955	-2.63201900411916	-3.0497699686534903	1.1066395068893111	31
10	4.754811058671458	0.04600319237966473	poly	11	0.12462304343612073	7	0.009925789646676326	0.5*median	-2.159270524565148	-2.2239126527742785	-5.2925888683509985	-2.6998277463781175	-2.633134222902377	-3.0017468029941843	1.1653136886111062	19
11	0.4864890386724805	0.004189197622268239	poly	7	0.14638662580602993	10	0.00435496655835953	mean	-2.422978419148633	-2.48113723245341	-5.425743293055275	-2.817337331562208	-2.8154036085372707	-3.192519976951359	1.128585377423621	39
12	3.5465064303622706	0.9592979224337108	rbf	9	0.2888220167263865	11	0.15773291220128657	median	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
13	5.6513241670087355	0.0021921604850980744	poly	18	0.23582668163905976	13	0.004842618591782449	1.5*mean	-2.2467695417057665	-2.46087254043426	-5.359289569154518	-2.825917647010972	-2.727578998819485	-3.124085659425	1.1359395604707991	36
14	0.22467708037163794	0.009829443927692565	poly	7	0.45577264839036097	10	0.01693145938127174	mean	-2.1928724242476174	-2.1629751874890895	-5.271886516022107	-2.724220988100314	-2.6573755420333813	-3.0018661315785016	1.158184956934587	20
15	4.223369705026789	0.01375701355313925	poly	15	0.10165840122017848	5	0.0093548190368415	0.5*mean	-2.1892731151547515	-2.1754019653921275	-5.275700638402166	-2.7487069279670355	-2.5697800162533864	-2.991772532633893	1.1630952138569288	15
16	0.12912163189837986	0.050957798888884236	poly	19	0.1534613052673549	14	0.003722242995367467	median	-2.1679294226925103	-2.219563847474223	-5.295336135918943	-2.7343381379512093	-2.686716368256347	-3.0207767824586464	1.160737222291455	27
17	3.9460520935166965	0.05264525903138367	rbf	16	0.1045097148979419	1	0.13268827197285404	mean	-2.1766915094791783	-2.1777920622037374	-5.231640476731885	-2.6707379725653766	-2.633999559998297	-2.978172316195695	1.1466533518738316	9
18	0.2761590822711846	0.056586812342162965	poly	16	0.30729286812485007	2	0.0026235167314890683	mean	-2.167772026405735	-2.223485028106218	-5.2488622525745905	-2.7009728178927666	-2.5565253128884295	-2.979523487573548	1.1521242075926383	10
19	9.309609510709942	0.13095354387586228	poly	3	0.38468017298941365	11	0.04438219239517538	0.5*mean	-2.1776257953560485	-2.2510144547086224	-5.278393374324945	-2.6877458290702054	-2.662828846826352	-3.0115216600572348	1.1522914872748242	24
