	split 0	split 1	split 2	split 3	split 4	mean
RMSE	0.3277537121643618	0.22931960841144017	0.33674125617644457	0.28556825451035195	0.539621597420816	0.3438008857366829
pearsonr	0.8619488269289911	0.8524263334860714	0.8356109823628883	0.8056670800573951	0.7888208045019162	0.8288948054674524
