	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
21	relu	0.00010758202651941427	69	invscaling	0.007132238797440273	0.7063715658955863	0.6400096411945775	0.1398556571205765	0.5*mean	-4.259359951890469	-3.2404397503649607	-5.577602298722618	-3.7205339497322365	-3.8110415391439902	-4.121795497970854	0.7965756997243452	44
22	relu	0.04148408824593879	67	adaptive	0.000349293448999843	0.6247488122124328	0.18444269981431072	0.18028004366029093	median	-4.247479143102653	-3.275484840798449	-7.36848702608919	-3.200499011391853	-2.9129600374636158	-4.200982011769152	1.6463147847709745	46
23	relu	0.010415571116059813	95	constant	0.00023181472837610013	0.8132098721834415	0.4687145446591814	0.003102318717634362	1.5*mean	-3.59848634919851	-9.1044897365262	-4.725884535807437	-4.084791267989555	-3.5466621855130804	-5.012062815006956	2.089750514629804	53
24	tanh	0.003383214085910962	46	constant	0.0034692583502573563	0.6768717134018932	0.7710129651755101	0.2646994729237075	mean	-2.8989091810259824	-2.933963361695738	-5.368515202439031	-3.3332520433467407	-3.276173514403055	-3.5621626605821093	0.919960749722824	20
25	tanh	0.00020923302443652317	24	constant	0.00029197266320758866	0.7029853713277441	0.2934220303475553	0.017499938230245406	median	-2.5330402163672354	-2.8648924260941686	-5.692395402357867	-3.8807020480888927	-3.083792653700493	-3.6109645493217313	1.1315093815234119	23
26	relu	0.0014045377515794577	25	invscaling	0.0031908553894847325	0.5277493985764409	0.6213765715772667	0.2208209185212824	1.5*median	-3.5500782659470094	-3.340770930635517	-5.294422563432591	-4.263537391808674	-3.8290025165281847	-4.055562333670395	0.6922136284431741	41
27	relu	0.01040177978871509	108	invscaling	0.002055419976422855	0.5661186420620946	0.7814328977887905	0.23259515010515125	1.5*median	-3.5494027907946415	-4.88187470567606	-6.380330822829206	-4.124485047761894	-3.8862354097167753	-4.564465755355715	1.008171278289335	50
28	tanh	0.00603826248810954	59	adaptive	0.009490053682737176	0.8684352466804846	0.545551639700767	0.07678903264233254	0.5*median	-2.442633354881997	-2.3729224719837347	-5.3991216526275005	-2.989496525009556	-2.6866769766708973	-3.1781701962347375	1.1313025283400138	1
29	tanh	0.0008374594166594711	119	invscaling	0.001556317641012455	0.5413571834736975	0.7269269896504593	0.013967335391597687	0.5*median	-3.4188254897150316	-3.521627992026147	-5.523720992843543	-3.9641138072357185	-3.6391058161045082	-4.013478819584989	0.7770396761251909	37
30	relu	0.0006089157309564449	63	invscaling	0.007498536250614156	0.8040580847033126	0.44893023557807876	0.0832876610229756	1.5*median	-2.569360024807821	-2.980967178856424	-6.922779226527176	-2.960365858085203	-2.9940986169468746	-3.6855141810446996	1.6264050618494574	28
31	relu	0.0008155794813745746	101	invscaling	0.00042663807145458104	0.5171099944634969	0.498264415420686	0.27660324965987904	0.5*mean	-3.500516156757571	-3.291167534462316	-5.500331842083304	-3.870296830707751	-3.9162198463535245	-4.015706442072894	0.777885823869554	38
32	tanh	0.010947264655383442	33	constant	0.00015321538549715953	0.7848290580571766	0.296616166214244	0.00470218091431778	0.5*median	-3.2121874112534425	-3.1933555447133033	-5.5710406475381005	-3.3549617409008134	-3.389033964563741	-3.7441158617938806	0.9166747579900109	32
33	tanh	0.0004078743695443895	74	constant	0.0012429680962546233	0.8223307889013955	0.46284795201970463	0.06564056571655053	mean	-2.5788617408590393	-2.457979871427224	-5.474489420719448	-2.99775556627938	-3.106342750964849	-3.323085870049988	1.103053268648301	8
34	relu	0.005737112582285398	77	constant	0.0015722530835168788	0.6516654257436206	0.7896537587656826	0.0019348073754138955	0.5*median	-3.8232899527492608	-3.140145870579088	-5.628578906433675	-3.0043573214448167	-2.771855958512802	-3.673645601943929	1.038263067195458	25
35	tanh	0.01577123592040779	99	constant	0.0005283602746460414	0.8944394704203075	0.3291055525607706	0.15926947501717736	0.5*mean	-2.648605340775882	-2.805843570143915	-5.347372911641676	-3.105536803351693	-3.060247686381031	-3.3935212624588393	0.9911415027769528	13
36	relu	0.0009708421685516911	79	invscaling	0.008646222401511638	0.6823704381052798	0.21202342301172947	0.005472867751179711	1.5*median	-2.4594907579915826	-2.581115635228646	-9.396404192846092	-3.1325753443123574	-2.8535488451197852	-4.084626955099693	2.6660287678135286	43
37	tanh	0.00031255765977960685	89	constant	0.00018609266817535574	0.9326271710470656	0.4711437702640936	0.0012791962130050936	0.5*mean	-2.882058446381885	-2.9313490973215517	-5.3805737105691005	-3.5668850252434754	-2.8108939616440174	-3.5143520482320056	0.9716052620222728	18
38	relu	0.011657327907811474	24	constant	0.005802634368143608	0.622516740096559	0.2933232255612124	0.1222911517231956	mean	-2.980373106369508	-2.4024056602715023	-5.401653465224424	-2.945548764077079	-2.963616579174812	-3.3387195150234654	1.0541420889016264	11
