	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	87	-49.896240741989004	-3111.702272245388	-66.57506777271543	-93.27009352744467	-36.25973094864739	-671.540681047237	1220.2288762780847	78
1	0.7760820991426709	0.022177281935498117	205	-44.84275465620075	-3111.6825362631816	-52.889654706132774	-93.24950073609685	-37.659064645782294	-668.0647022014788	1221.9605425385166	36
2	0.038980498747312416	0.03022952868785433	62	-59.28725332839721	-3111.6292489169095	-80.0655398922024	-93.30815238676031	-36.715320018838455	-676.2011029086216	1217.8650844779484	107
3	0.006209174227818484	0.029976031307006615	88	-53.69833437713575	-3111.635459674697	-66.10544914976654	-93.37127100380934	-36.582424336241225	-672.27858770833	1219.8190559251634	86
4	0.36868052741771135	0.009492473080776375	20	-47.325798309980414	-3111.7296488936277	-124.93785659646136	-94.3909450130913	-39.30428178201141	-683.5377061190344	1214.4995764210676	116
5	0.0015660007255856795	0.007099895856262438	295	-47.85939850287673	-3111.8175584549085	-52.01470231650566	-94.80364377559813	-36.67811899948945	-668.6346844098757	1221.7508647590473	46
6	0.11228909535577349	0.010521749436786671	172	-58.58734302274125	-3111.6756494462975	-59.01560972402873	-93.05533283220933	-35.82795170420049	-671.6323773458955	1220.1584611767387	79
7	0.005966726560955354	0.1651715198956968	209	-52.52465154749497	-3111.791375485486	-49.18433574816886	-92.84983467054967	-36.299989860357954	-668.5300374624114	1221.7774125071855	43
8	0.6410810795593402	0.004790386505402572	58	-50.92383647084558	-3111.720683537143	-45.3909577538097	-93.35414281433683	-37.11528945378957	-667.700982005985	1222.1643688434576	29
9	0.4850490871909631	0.0024740862612179474	215	-47.50624942270587	-3111.7340557733696	-53.43363533574631	-93.18271569353918	-35.988001778499545	-668.368931600772	1221.8341820484018	40
10	0.1647755254623533	0.09471687384144818	212	-44.462424013906215	-3111.6911466027036	-47.098299874517565	-93.10782834799757	-36.851268298586774	-666.6421934275422	1222.6843388406821	20
11	0.0019807263461956636	0.02665793187226654	112	-58.73531091550791	-3111.665379364078	-81.38512669219142	-93.12276868291177	-35.32594822729723	-676.0469067763972	1217.9702361374593	105
12	0.6459788432970658	0.01072286678033	253	-44.815232096420374	-3111.741555591155	-44.949232103165194	-93.18231877259927	-37.175050433793096	-666.3726777994266	1222.8463965360556	16
13	0.29882226839951503	0.1865396418233756	171	-44.18355332120976	-3111.662014597618	-63.11486901721778	-93.39737288285382	-39.32945077237826	-670.3374521182554	1220.809939553439	64
14	0.0033924518386098017	0.002640079019149757	87	-54.442223964475176	-3111.5733674961075	-54.35545242984792	-93.26861502468644	-36.56686417003488	-670.0413046170304	1220.9067706348023	59
15	0.008249608320262312	0.006842623344352976	24	-44.644901544620396	-3111.7333982795835	-128.94609498951306	-94.59299366237289	-38.97047165569462	-683.7775720263569	1214.4309528907238	117
16	0.019063289466904138	0.01726276653964019	205	-51.54031061846324	-3111.7085117828974	-59.365339581285625	-92.86155622358358	-35.32251549184898	-670.1596467396158	1220.91864574168	61
17	0.47620522178355656	0.003412697893154653	150	-48.08759404038396	-3111.5721339563656	-54.301582595001236	-93.0715291726506	-36.43629646336595	-668.6938272455534	1221.5870794706088	48
18	0.03081808927583822	0.06938232500067018	139	-52.56390695764682	-3111.6292590791636	-58.46061096841669	-93.04140526540334	-36.55349831519622	-670.4497361171653	1220.7289520071156	65
19	0.03505837059252771	0.016814106506939704	292	-51.96745009272114	-3111.797215280865	-71.63019691247239	-94.68102002358616	-37.58238755057912	-673.5316539720449	1219.2838797346355	94
20	0.09359445546892536	0.019878950961872335	130	-53.967615798982656	-3111.671245806951	-127.26534308776766	-93.03193786827067	-35.672589099508805	-684.3217463322961	1214.0883926344266	118
21	0.1500773041524775	0.02791732654801522	55	-56.338778319000745	-3111.725108913038	-50.51114931545846	-93.3210588179174	-36.3979206166016	-669.6588031964033	1221.177927473259	56
22	0.08272837769950037	0.044333777635835604	270	-49.2879681034928	-3111.7404294453167	-46.05947006894547	-93.28855980936231	-37.20548480456382	-667.5163824463361	1222.2663930704268	28
23	0.0026565132692193357	0.021048350292659126	59	-61.18475248170656	-3111.6934214915464	-67.59072509279073	-93.33484271600572	-36.189656602216075	-673.9986796768532	1218.9830197740807	98
24	0.30614437330868366	0.002439678691746349	156	-50.873934668269285	-3111.6305879763217	-62.64340434991432	-93.04611046935334	-36.8466000293183	-671.0081274986353	1220.4518002877555	71
25	0.0019161112392231206	0.22915507213224862	169	-51.26098562010782	-3111.7163522140545	-43.55605082554166	-92.96268200222038	-34.95877534601509	-666.890969201588	1222.575136918151	25
26	0.002537261611459781	0.010348805378385954	217	-47.29134971241366	-3111.8353596160127	-47.01801853280234	-93.15573631343679	-35.07040003259273	-666.8741728414516	1222.6421048968161	24
27	0.20964913710588354	0.6463647571489167	49	-48.62962838426942	-3111.817118574433	-61.463990245198325	-93.65519377682057	-40.24502019123883	-671.162190234392	1220.4626967897852	73
28	0.02107934421689857	0.19464516971874074	234	-48.65635116365449	-3111.756991995564	-45.1705609409216	-93.28548195737696	-36.57198451457192	-667.0882741144177	1222.4929661317606	27
29	0.022754392285271194	0.0021134063911857365	126	-54.47360874083528	-3111.673861004163	-101.16873096098186	-93.02286988165699	-36.672819240731435	-679.4023779656736	1216.3697544328438	114
30	0.4180870730813556	0.09859927472103723	254	-44.87555681209083	-3111.7657714463485	-52.3566146317306	-93.40876587772034	-38.56567341361609	-668.1944764363013	1221.9357154980542	37
31	0.5947886633510258	0.0013185819320254328	125	-50.091740767431915	-3111.663390650511	-69.32323913921421	-93.2102468340077	-37.008852316348346	-672.2594939415027	1219.8489758969922	85
32	0.004882095416456996	0.0033059397465291587	107	-56.96397432111367	-3111.720157620561	-56.864151293283236	-93.16712576090747	-35.137011630799755	-670.770484125333	1220.61707971461	67
33	0.0027208814023874732	0.08832875511239692	253	-49.4638370934289	-3111.7151296743123	-49.405141024965495	-92.93541830379189	-36.186906310595404	-667.9412864814187	1222.0374184627158	31
34	0.029198105495086113	0.02497592481363183	105	-54.13339879981673	-3111.68634419737	-86.82545882621865	-93.17089517597186	-35.410849024277816	-676.245389204731	1217.904479149627	110
35	0.6131346907257668	0.15123001270015599	267	-46.546499960587134	-3111.7569447369933	-65.6289633333907	-93.59541478440356	-40.000186294359715	-671.5056018219468	1220.2676977439562	77
36	0.1732474861832994	0.03286329185447855	219	-49.81785237696081	-3111.6895693290066	-41.64870353436923	-93.2807396774475	-36.50709384632786	-666.5887917528223	1222.7149616027377	17
37	0.023346226948924284	0.0014586765169147654	83	-51.412331179549525	-3111.683874605822	-75.76858074406886	-93.32425218498899	-36.22013925994797	-673.6818355948756	1219.1592084374117	96
38	0.054114778481869706	0.0035439355971222217	97	-53.357812726751256	-3111.6042544526567	-65.31379047054651	-93.20994684235468	-36.30267337840225	-671.9576955741422	1219.9642813468517	83
39	0.004794552669337795	0.0885755294748095	181	-52.25419191916968	-3111.6859440970397	-43.18489035957345	-92.79156368477308	-35.184024400773126	-667.0201228922658	1222.4936660913718	26
40	0.22789039383421245	0.04054254859580731	65	-48.37908798784176	-3111.6886128187252	-73.73463657831414	-93.41285354638241	-36.7946449468421	-672.8019671756211	1219.602453905297	89
41	0.001139182823628078	0.10472090957261454	115	-56.584065030403394	-3111.6556281105723	-80.03946294517557	-93.11503629290708	-36.24788720991843	-675.5284159177954	1218.220007695252	103
42	0.001257424061085266	0.037459495598682224	285	-49.997811351753455	-3111.7880509483425	-47.961915173103385	-94.71123787220434	-36.76660386542713	-668.2451238421662	1221.9320173002134	39
43	0.034983307025656996	0.02756438230939599	21	-45.407278921599314	-3111.7278755372377	-133.6248456932177	-94.47641439267423	-39.0675523691757	-684.8607933827809	1213.923253481969	120
44	0.0031591158302996347	0.3890336393933337	173	-55.33198191093107	-3111.6665366481575	-44.71030274524072	-92.84140330787234	-35.587132419851834	-668.0274714064108	1221.9747732325354	33
45	0.06946148453130607	0.07242089022586799	275	-46.71243489433203	-3111.6967174374295	-44.00576333722184	-93.77241438257121	-37.2736995002376	-666.6922059103583	1222.6663590168002	21
46	0.6974546720592854	0.0535213068629241	286	-44.99555202194095	-3111.7210778466742	-53.985282827423916	-93.42577951506435	-38.65493816721077	-668.5565260756628	1221.7307816789998	44
47	0.0921466556534323	0.24352404813234524	176	-45.324777078211625	-3111.563441270844	-61.72801762866895	-93.12909884629572	-37.55158304264694	-669.8593835733335	1221.0009757789312	58
48	0.01033857839047198	0.12104555801947782	274	-51.13142846818442	-3111.7618197711913	-39.773947534766464	-93.10324355648426	-37.213021056877935	-666.596692077501	1222.7473399127882	18
49	0.243582675667691	0.001355970966762103	27	-44.5173941766334	-3111.64189221155	-103.88892673783107	-94.0983959420231	-38.804802949122184	-678.590282403432	1216.8012522049626	113
50	0.07695130009352391	0.35414617019075423	251	-46.196572996176606	-3111.6918888872683	-56.096129574657574	-93.38059811438723	-38.370295924310206	-669.1470970993599	1221.4180560649725	52
51	0.0027645139887526255	0.001170873484855368	29	-44.786781225495645	-3111.614905518364	-79.95536511197786	-93.43348141233464	-37.89188759081493	-673.5364841717974	1219.217344813326	95
