	param_regressor__regressor__alpha	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.002196046158480499	35	-7704.367545546603	-225.2456954856141	-2.5184702048761065	-178.8144918198719	-0.35597695980196903	-1622.2604360033536	3042.4119175744167	152
1	0.026796454274089585	161	-4882.460144957701	-225.3029814764682	-2.5049289062099453	-179.0367118886713	-0.3591653384602565	-1057.9327865135024	1914.425770017418	132
2	0.10957434891817563	195	-763.5376461814466	-225.61660818516737	-2.4811213550630407	-179.10614130563084	-0.3346780495796085	-234.21523901537748	279.8906850597566	101
3	0.2575795066186247	82	-84.45149111484223	-225.9456376447243	-2.464381980910922	-179.4723137427807	-0.3280875834279308	-98.53238241333722	91.49516470519963	81
4	0.0024454616324727247	52	-8440.912016708962	-225.32919268558675	-2.5289501441222453	-178.97342703824887	-0.34791206395523294	-1769.618299728175	3336.8866414504214	168
5	0.015915997542206003	177	-6783.370145905198	-225.23934977460172	-2.5103722655716387	-178.87810254587598	-0.37871305154513657	-1438.0753367085583	2674.1931026670654	144
6	0.23060407656600168	186	-115.99903175301992	-225.90210585610615	-2.46607593234104	-179.4126109383057	-0.32917776110402047	-104.82180044817535	91.37238357849526	83
7	3.9667709290156945	182	-38.11705200990158	-226.46939273711226	-2.455894485284221	-180.17648602773235	-0.3045908591389963	-89.50468322383388	95.03214636770406	27
8	0.057444753131642476	65	-2168.7060358614995	-225.37460321927324	-2.5006329851982327	-178.97411030651404	-0.337208834809414	-515.1785182414588	831.7539482931419	111
9	0.019501265143891947	29	-3964.548539416378	-225.3062508628573	-2.508907348577468	-178.86501411900883	-0.34291139915882635	-874.3143246291962	1547.7906474899946	126
10	1.2801578325817873	79	-38.10283072399993	-226.45580847930333	-2.428379854383662	-180.16611644132615	-0.3091178476669893	-89.49245066933601	95.03198131712232	19
11	14.5080960307318	193	-38.11705200990158	-226.46939273711226	-2.455894485284221	-180.17648602773235	-0.3045908591389963	-89.50468322383388	95.03214636770406	27
12	0.0012926378275314337	199	-12329.99624640136	-224.9546541379087	-2.5290940604438688	-178.81009879439236	-0.4616642043058709	-2547.3503515196826	4892.165627339986	196
13	17.940931211225134	66	-38.11705200990158	-226.46939273711226	-2.455894485284221	-180.17648602773235	-0.3045908591389963	-89.50468322383388	95.03214636770406	27
14	0.006015272822813326	48	-7755.676231281019	-225.30694681143382	-2.5242141343281594	-178.94112870334857	-0.35462025975690636	-1632.5606282379772	3062.9081744423574	155
15	11.756497896152519	147	-38.11705200990158	-226.46939273711226	-2.455894485284221	-180.17648602773235	-0.3045908591389963	-89.50468322383388	95.03214636770406	27
16	0.1021992028080577	82	-869.0918516993087	-225.58093813559526	-2.483763586870591	-179.0796447390694	-0.33497371317591407	-255.314234374804	320.1113604410572	102
17	0.039852906447226236	11	-225.14495819500402	-225.38920148534044	-2.481595690320574	-178.84789199043183	-0.33331374722423474	-126.4393922216642	103.48795360287666	88
18	0.12421849705402561	128	-592.4320086989756	-225.65822399945668	-2.4773280427451847	-179.1443537992145	-0.33342297332839654	-200.00906750274407	216.3229675260371	96
19	0.1448184630754893	182	-413.48683580182507	-225.7116898317603	-2.47277670340326	-179.19497382747087	-0.3322743924178601	-164.23971011137547	154.3766705799135	94
20	0.04647414490559472	81	-2824.75286532035	-225.33442133227626	-2.4981473985076863	-179.00102651150493	-0.3400405622283615	-646.3853002249733	1092.9759643924667	116
21	0.036427098673757506	45	-3413.8826622730444	-225.3642552010046	-2.5122309672340437	-178.934013600845	-0.34126895498998633	-764.2068861994237	1327.9568414455298	121
22	0.09978402840566011	145	-914.6079900368	-225.57711963533646	-2.4842936702808998	-179.07760313161265	-0.3356879248050315	-264.416538879767	337.60549596271085	104
23	0.025456121972313724	159	-5159.7729018472	-225.18903028076195	-2.492993057425478	-179.01100660830238	-0.35838785190014955	-1113.3648639291182	2025.2462161810895	136
24	0.0023652436733754257	77	-8839.580972190877	-225.39141979588942	-2.538050483296137	-178.98069758159647	-0.3620051233594135	-1849.3706290350037	3496.28874955158	170
25	0.024481858895230777	29	-3671.7113047005137	-225.29157460991414	-2.50809536737091	-178.87431498689818	-0.34080685511503506	-815.7452193039625	1430.8753482971974	124
26	13.286168437615048	29	-38.11705200990158	-226.46939273711226	-2.455894485284221	-180.17648602773235	-0.3045908591389963	-89.50468322383388	95.03214636770406	27
27	1.6615037197879037	40	-38.11536800829067	-226.46614732263038	-2.445955653114052	-180.17648602773235	-0.3054869025787716	-89.50188878286924	95.03304564377967	24
28	26.027988559029865	83	-38.11705200990158	-226.46939273711226	-2.455894485284221	-180.17648602773235	-0.3045908591389963	-89.50468322383388	95.03214636770406	27
29	0.006425453422567465	137	-9136.32685199958	-225.08404130298194	-2.5189684885924954	-179.02050132040392	-0.4026856210643617	-1908.6706097465242	3614.9707754535984	174
30	0.0221133459976255	93	-5124.58331869362	-225.40674971613313	-2.517158439856422	-178.96927423566964	-0.3575761353183521	-1106.3668154441195	2011.1668854940126	135
31	0.08114922086726113	31	-1282.329796077391	-225.52158071578506	-2.481667053738726	-179.01141468462447	-0.3364885600926816	-337.93618941832636	480.89015526767474	107
32	0.8736645554251913	196	-37.937510359922165	-226.38386011936967	-2.436527684799142	-180.11910865066173	-0.3124193092265136	-89.43788522479585	95.01805914827898	10
33	0.06518164499502335	22	-1527.5746661935823	-225.43525892870952	-2.4891370149053236	-178.9464080183406	-0.3354051009817414	-386.9561750513039	577.5219710028942	108
