	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
11	tanh	0.014181647843079237	41	constant	0.0020772870702076367	0.5311634315044259	0.34994943984701526	4	0.2980126425536631	12	-46.76618389294462	-3111.074584206673	-23.939971041140435	-93.6621197997837	-40.8377730271526	-663.2561263935389	1224.1276189241446	52
12	relu	0.015292688748561498	75	invscaling	0.0010636579819389216	0.580291589640942	0.3744010904743921	12	0.1632745803333744	12	-53.26151517420182	-3111.1459654010887	-26.844076563205235	-93.25067261412732	-38.34817976089625	-664.5700819027039	1223.4938425271935	93
13	tanh	0.001625345634238879	48	constant	0.00023550372214360294	0.865545131293638	0.506593186865828	4	0.628176097405552	15	-48.55129289942156	-3111.320004126113	-24.619504447340567	-94.01403994947908	-41.099530070033	-663.9208742984774	1223.915739791762	78
14	tanh	0.00011414844219315596	116	adaptive	0.0009466639576437899	0.5992608494288486	0.4853801321824338	12	0.9443645612957102	12	-46.16105688468221	-3111.3100728413287	-23.925493453019254	-93.31809998244283	-35.79338370989424	-662.1016213742735	1224.8306242695862	16
15	tanh	0.0003215904845843358	100	constant	0.006582106841335654	0.5888898002602205	0.4090708198918478	3	0.38468017298941365	11	-46.05123988655958	-3111.2923576386943	-23.686295053218547	-93.4726374394549	-36.39637651719345	-662.1797813070241	1224.7835244061507	17
16	relu	0.0014954777716186544	47	constant	0.0004861635141021066	0.8172816661446389	0.42402075824941443	13	0.6632693345690645	18	-53.12619039681746	-3111.3644983921017	-25.357516879344423	-93.5307075965494	-38.91890842849006	-664.4595643386606	1223.665358593947	92
17	tanh	0.038785212233704174	68	constant	0.0010853258668695306	0.6474274900817361	0.16914126574201463	14	0.16413754630057806	17	-48.35051179971596	-3112.0555436509558	-24.16500191726088	-93.32083750685509	-39.19765690033014	-663.4179103550235	1224.5358338732215	61
18	tanh	0.0007900343443589473	52	constant	0.008962468538692573	0.7481538877245855	0.15020134733206197	17	0.17494534618645616	17	-48.50647684062332	-3111.21995000333	-23.681657900404858	-92.85666475636872	-38.689141241303936	-662.9907781484061	1224.3315422552541	42
19	tanh	0.02046405779254475	78	adaptive	0.005562299457756733	0.5107563617640489	0.2901166541816947	12	0.13201778087821908	4	-43.18970177008734	-3110.8149221115295	-23.329005444371223	-93.30214251116924	-35.68809588263795	-661.264773543959	1225.0063264163136	3
20	tanh	0.0001234007502143831	52	invscaling	0.00013889268531057565	0.6623512222033495	0.39266967987429613	20	0.3319052356706517	15	-51.950033354865475	-3111.1287800835175	-25.342295631808387	-94.0240741388676	-38.41306241720453	-664.1716491252527	1223.6960011825297	85
21	relu	0.000893576308607207	36	invscaling	0.00020912445455836134	0.5866286985319349	0.3481577126319242	11	0.9090545612280351	2	-50.66007199425262	-3111.8273206448976	-25.290810657695662	-94.531761435806	-38.67815813769457	-664.1976245740692	1224.0355528250057	86
22	tanh	0.00041748745080022925	73	adaptive	0.0038047569611662255	0.5575713675819486	0.6788959705513343	20	0.18893707439144922	19	-48.588648102569415	-3112.0034019413333	-24.97329988939557	-94.03311277936525	-39.49077907808832	-663.8178483581504	1224.31048064314	73
23	tanh	0.00014298112869190447	89	invscaling	0.0011935803962069584	0.7421072835307523	0.4582387396795792	17	0.10143240654984023	7	-45.49063975143859	-3111.917419689484	-24.207690685172825	-94.1437551597644	-40.77801445310592	-663.3075039477933	1224.526611118862	54
24	tanh	0.002234156305718611	74	constant	0.0005941697224201799	0.5018720717438954	0.20269711525315712	8	0.18715258994527748	10	-46.4593372267313	-3110.992557607251	-25.46251158828958	-93.33309422336082	-37.29656397116596	-662.7088129233597	1224.358505465581	31
25	relu	0.006725726953971518	98	adaptive	0.00026024990412581506	0.8245741720231328	0.28731157059043133	12	0.15418066999804228	1	-47.429740093700374	-3111.80073148631	-24.78792489689771	-92.45792997037387	-35.299117177522724	-662.3550887249609	1224.9400795658087	24
26	tanh	0.00024491135595303696	104	constant	0.0007928569183996296	0.6753483966590775	0.5632920228791881	14	0.1272656803589481	14	-47.82797299719445	-3111.1247542675287	-24.879094285164022	-92.522319413047	-38.89959475913042	-663.0507471444131	1224.2463651216478	44
27	tanh	0.02822812182257846	73	invscaling	0.0009929869254451831	0.8488974542584697	0.49553630708972674	6	0.3808073924901341	2	-46.759227358254975	-3111.8468445578865	-25.128523200245738	-93.44008678960051	-40.66423015760067	-663.5677824127176	1224.3514423693173	67
28	relu	0.0034652151105415085	94	adaptive	0.00032898719706645656	0.8811079522069883	0.39487759601949135	11	0.13246293367538706	13	-48.845953030587175	-3112.0159808698763	-24.64189396002184	-93.61432797757502	-38.370305230604664	-663.497692213733	1224.4775702409852	66
29	tanh	0.007922466054666004	116	adaptive	0.0032218579891206208	0.7441842458514791	0.42031921225620184	19	0.3525575266895634	20	-48.83797532304511	-3111.1916972110225	-23.880040853556896	-93.58349365286708	-41.669214079804206	-663.8324842240592	1223.8950558859613	74
30	tanh	0.0035897371661615407	86	constant	0.003213934617013521	0.7527832952309944	0.7259017358693508	13	0.5190176246294469	14	-47.40101545790683	-3111.260988603348	-24.096162709621748	-93.85770302122742	-37.41943446573687	-662.807060851568	1224.4521961634546	35
31	relu	0.00022240377361746987	87	invscaling	0.002919065357563089	0.6668937046802679	0.35302555503997557	12	0.36557024674865646	5	-53.20895461513827	-3112.118585665323	-26.76642156663186	-91.91241635819365	-36.07368428697044	-664.0160124984515	1224.2542713117539	82
32	relu	0.01188718545321504	56	adaptive	0.00022899974552548097	0.7776727185420633	0.39607656730628926	17	0.8019048324390964	20	-48.3733956621638	-3112.123478135586	-24.722062281345856	-93.13637320013541	-38.88685560159926	-663.448432976166	1224.551441499529	62
33	relu	0.0004622843081529739	77	adaptive	0.007192950166458389	0.8764651683024249	0.38955427909624274	5	0.33900443986028334	20	-48.354745459866415	-3111.2082014140346	-24.860980853932443	-93.97974634772768	-39.61103742378055	-663.6029422998683	1224.020393963076	69
34	relu	0.0620674686032257	94	constant	0.002902970067180564	0.7356686066598868	0.16480726220147007	19	0.1888756780849716	11	-46.41456087294598	-3112.010727982583	-24.443127239290803	-93.06401999200958	-38.088523273645485	-662.8041918720949	1224.8205756448644	34
35	relu	0.00014396846671362864	20	constant	0.007885996720273347	0.5410813054953264	0.4558461731218727	19	0.1639788556153613	11	-48.503395350725874	-3111.015756894924	-24.377805429599395	-92.69250967888593	-37.62510432678018	-662.8429143361831	1224.3014172012017	36
36	relu	0.06522355452165918	84	adaptive	0.00010263226366395223	0.9496437356287962	0.13344124888015507	3	0.7134124464618375	10	-49.02290829545342	-3111.9250629618946	-23.92278285186618	-93.3230676521647	-36.246229976902136	-662.8880103476562	1224.7427121969488	38
37	tanh	0.00673224516569129	65	constant	0.0046661364905886075	0.8910762738375515	0.7103334351421897	14	0.12525277138106686	5	-44.45671321946701	-3110.826464892362	-23.666677902235907	-92.3677240101013	-35.240499411262086	-661.3116158870856	1224.980508283257	5
38	relu	0.0010451587509585616	74	adaptive	0.00029900162416813614	0.7990658399969861	0.3619399282231158	10	0.24985075379050917	5	-44.13153034801431	-3111.0642359952035	-25.628060185583276	-92.92757699681871	-36.39246530500098	-662.028773766124	1224.734626729745	14
39	relu	0.00020449172623939247	107	adaptive	0.0023360441406204465	0.5509965513038609	0.551644398771317	3	0.11270855844205549	12	-47.18117144823453	-3111.1870471877082	-24.658729807865537	-93.83827264603124	-38.46388625777604	-663.0658214695231	1224.2812285122654	45
40	relu	0.00010626673373480599	85	invscaling	0.00021450027311528368	0.654293857156736	0.7669259763567436	9	0.4543875099860724	6	-45.33605460571409	-3111.1674984989304	-24.18122871769397	-92.59709421834981	-39.44136137621162	-662.54464748338	1224.5248945355183	28
41	tanh	0.00021368986741874543	49	adaptive	0.0067272857834775055	0.569939293557234	0.4823669002263413	6	0.32400675036819465	8	-44.834972905295515	-3110.8975512901775	-23.98636922828881	-92.85530712444708	-35.56879681822924	-661.6285994732876	1224.85871221874	6
42	relu	0.04977404930808188	43	constant	0.0016643068806744886	0.6987462971261347	0.14295079546465034	17	0.1729182095719084	9	-48.310442827104644	-3111.0724243177606	-25.17887880177968	-93.74550129367877	-36.87037807069066	-663.0355250622029	1224.239078815374	43
43	tanh	0.0031001770403105266	46	adaptive	0.00010121589219075183	0.886053098473739	0.4133909082069429	18	0.19084010146073652	1	-44.3219351123259	-3110.4579846381494	-24.015634174573375	-93.04692192525657	-36.82747887309708	-661.7339909446803	1224.5852095985945	8
44	tanh	0.0017723647720554357	78	constant	0.0006106221896334783	0.8790329151387294	0.6075147672904995	11	0.10098581567225016	20	-49.316172260870374	-3110.960959074348	-24.666185331408478	-93.76381949255749	-40.34455957964441	-663.8103391477657	1223.7905948295406	72
45	tanh	0.0006724400155480357	98	adaptive	0.007206928741976737	0.5805524330756248	0.5462385046047666	17	0.18437433273346765	13	-47.12399512235608	-3111.1667097035784	-23.99177265998801	-92.81811248592108	-38.62894159976056	-662.7459063143208	1224.4265014358405	32
46	tanh	0.0001550033021644269	107	adaptive	0.008392132794100223	0.9232148634500699	0.16833656469347902	5	0.9770440269180681	12	-45.680211576440904	-3111.27481363176	-23.61765985983613	-92.56410941148003	-36.405128028582176	-661.9083845016198	1224.9045139811074	12
47	tanh	0.003183873555240304	101	constant	0.0007041413810564999	0.820547025279617	0.29236166833422195	6	0.3483075094983197	6	-43.36871791431894	-3110.7981701201397	-24.3016658693605	-93.73219998197422	-36.007382538893616	-661.6416272849374	1224.8077983103985	7
48	relu	0.0020492266976313463	20	adaptive	0.004112544763771687	0.7180110284173985	0.34619117371823094	15	0.12209127292864788	1	-42.84610950087395	-3110.54278126525	-24.066106242917936	-93.47353493174953	-35.527773330835295	-661.2912610543253	1224.855928289266	4
49	relu	0.03739612650684661	85	constant	0.0004997093417004104	0.756301949026445	0.6616748926181727	7	0.9813156015652795	15	-47.89353784562299	-3111.9938025378015	-25.272963670120557	-93.38906988653737	-43.72257442819666	-664.4543896736559	1223.9749133703415	91
50	tanh	0.0029051961369212	46	invscaling	0.00016412784401149621	0.790860208709819	0.7449653564748366	20	0.9710798599310109	13	-52.97190534470479	-3111.3907518992914	-25.285927140184803	-92.87431247711257	-43.66662092937672	-665.2379035581341	1223.2761652154436	97
51	tanh	0.00047368715467469843	101	adaptive	0.0067926053275795765	0.6220457635514465	0.3244660148263089	18	0.280853701011141	9	-45.68165059061043	-3111.0430109652384	-23.58422182807498	-93.35047570396908	-36.2982234511857	-661.9915165078157	1224.7530099978408	13
52	tanh	0.018088214834563007	65	invscaling	0.0005453990680220182	0.847543517649594	0.26446986568180025	15	0.1772890309336007	6	-53.086005424770754	-3111.9647859009965	-25.235958853957257	-94.16502008256167	-35.236159713553384	-663.9375859951679	1224.2404056191026	79
53	relu	0.0004469160697639161	42	invscaling	0.00028007704771363897	0.7587160234011487	0.7552172349843317	13	0.12567921606258767	8	-51.46029124310612	-3112.1364320889447	-23.602167280101902	-93.06368506727216	-36.57832931440321	-663.3681809987656	1224.606916659883	57
54	relu	0.0039010971105322956	91	constant	0.0003185845691796932	0.6550965667079321	0.24280951057085373	5	0.8573294768866562	3	-45.06661957211497	-3111.005348184798	-24.70361216363148	-93.70255085973588	-34.19678688115283	-661.7349835322867	1224.86564089342	9
55	tanh	0.0006315605187164603	83	constant	0.00021575985618792738	0.6412818038114162	0.19526256651992235	18	0.7369726073588811	15	-48.73881620965283	-3112.072614477436	-24.670391160546853	-93.88983620456523	-40.20080407916049	-663.9144924262723	1224.2956503973144	77
