	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	18	0.16878703329718756	4	9.045775271452959	0.06642623740593294	0.0034678781225883117	poly	-10321745241.18071	-224.0443216443804	-2.5782290783226562	-178.90508947527113	-1.2739003094024894	-2064349129.5964503	4128698055.792131	57
1	11	0.12210780650989218	11	0.34425317961148044	0.09989183779852141	0.24897169764256202	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
2	10	0.2404036920490297	12	2.2318286374355	0.4889552267823676	0.295228226143896	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
3	8	0.8502138809685273	17	1.5889046459932465	6.317103633551272	0.0014174716941154197	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
4	9	0.8112008085909854	10	0.7900445668189262	0.03456195192645972	0.006128810667082614	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
5	3	0.12603001028548488	13	0.555609136573991	0.08120908540703026	0.006752303101068003	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
6	3	0.587012712467264	1	0.3565316562441852	0.06476967683745716	0.005819582506376546	poly	-5769092893.129744	-224.08543003604763	-2.110566212806419	-178.9443049708639	-2.100451351014206	-1153818660.0740993	2307637116.527824	55
7	4	0.23461246524642448	5	0.7356721717486377	0.047318274864140156	8.533274731577373	poly	-10773143977.854233	-223.7669132560671	-2.691841353730895	-178.93289120750714	-1.358020709172589	-2154628876.9207797	4309257550.466727	59
8	20	0.5509584813680587	3	1.0183809993279098	0.31118832517471035	0.1926910648169127	poly	-5934339452.694507	-223.78407341745404	-2.7310661291890455	-178.82059296103463	-1.7419638092272192	-1186867971.9544406	2373735740.3700347	56
9	18	0.10032909171299549	12	2.6229426046971573	0.12513603414901658	0.30255359494091405	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
10	18	0.14247516352026016	17	1.5317552398482512	0.008719300172377112	6.6812080802976785	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
11	18	0.7053438448376642	19	2.105812010532415	2.2608228203664384	0.04600319237966473	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
12	11	0.12462304343612073	7	0.6379357909256033	0.5367941872050799	0.032330873999382885	poly	-3308703488.882641	-223.72544752423522	-2.800439783151919	-178.71519393658957	-1.8450174188864283	-661740779.1937479	1323481354.8444495	53
13	8	0.6106842129979629	10	0.6757772157031918	0.06201298405203427	0.7490345993658044	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
14	5	0.33295851660208664	9	3.962819651860829	0.09810168037076332	0.0009680044476852044	poly	-38.12159523720332	-223.89047537328545	-2.1670483423178397	-180.18088860196747	-0.30360972474651554	-88.93272345590412	94.3451062585239	1
15	9	0.185427639181401	6	0.1205900898851218	3.1819027317917037	0.002414434133743	rbf	-43.62861138359104	-223.7784899952742	-13.105516399397908	-177.85472370401382	-35.98146086523243	-98.86976046950187	85.09153126987938	42
16	18	0.25032590210394023	5	2.0772870702076363	0.001892379697457004	0.006100327370063372	poly	-11938227658.721046	-223.8238187176924	-2.7329713466662526	-178.94125480647085	-1.3331719438363219	-2387645613.1104527	4775291022.805298	60
17	14	0.5467632009552702	20	4.389905956682511	1.1016927207690121	0.00010857163459957925	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
18	10	0.2904933654556075	10	0.26658588583039516	1.7913691127021907	0.010429005146226399	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
19	19	0.1534613052673549	14	0.2889757162366467	0.43314528203892083	0.00045958933708565853	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
20	17	0.147748718790585	11	2.3310277857272985	0.08961726487018026	0.0012673551296474546	rbf	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
21	12	0.33311263543403463	12	0.33578629602543053	0.12857104212291368	8.362356196246699	poly	-38.12159523720332	-226.4736128338545	-2.4599923583366765	-180.18088860196747	-0.30360972474651554	-89.5079397512217	95.03314505957252	4
