	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
17	tanh	0.038785212233704174	68	constant	0.0010853258668695306	0.6474274900817361	0.16914126574201463	14	0.16413754630057806	17	-2.393332551979189	-2.583564291531787	-5.426621405585128	-3.15891846211109	-2.986651926064964	-3.309817727454432	1.0932020549991512	56
18	tanh	0.0007900343443589473	52	constant	0.008962468538692573	0.7481538877245855	0.15020134733206197	17	0.17494534618645616	17	-2.1835036857496535	-2.324030008280609	-5.301606331014765	-2.820834823901482	-2.6836611776301957	-3.0627272053153414	1.143108941727614	12
19	tanh	0.02046405779254475	78	adaptive	0.005562299457756733	0.5107563617640489	0.2901166541816947	12	0.13201778087821908	4	-2.434923275311822	-2.271248585023816	-5.345985123582991	-2.7516507962887786	-2.8490386686232267	-3.1305692897661266	1.1272321396315579	25
20	tanh	0.0001234007502143831	52	invscaling	0.00013889268531057565	0.6623512222033495	0.39266967987429613	20	0.3319052356706517	15	-3.2509347222817024	-3.3705144551068362	-5.686202299548342	-3.8444254920701995	-3.2667921171904815	-3.883773817239512	0.9268099735815316	89
21	relu	0.000893576308607207	36	invscaling	0.00020912445455836134	0.5866286985319349	0.3481577126319242	11	0.9090545612280351	2	-3.6804247587263994	-3.228993648890016	-5.472065702529074	-3.9479131351925743	-3.764955054989523	-4.018870460065518	0.764164283017003	98
22	tanh	0.00041748745080022925	73	adaptive	0.0038047569611662255	0.5575713675819486	0.6788959705513343	20	0.18893707439144922	19	-2.3354575856946087	-2.3166652636421827	-5.355844412344919	-2.867151234582199	-2.843554861241665	-3.1437346715011145	1.1311402631378045	28
23	tanh	0.00014298112869190447	89	invscaling	0.0011935803962069584	0.7421072835307523	0.4582387396795792	17	0.10143240654984023	7	-2.968596931052541	-3.415437897693873	-5.714010754091213	-3.760727493006295	-3.622635706496731	-3.89628175646813	0.9475448041791709	91
24	tanh	0.002234156305718611	74	constant	0.0005941697224201799	0.5018720717438954	0.20269711525315712	8	0.18715258994527748	10	-2.369535842534804	-2.466407266216469	-5.3291782739576155	-2.9368846841844065	-3.443631783859489	-3.3091275701505567	1.0798399067339544	55
25	relu	0.006725726953971518	98	adaptive	0.00026024990412581506	0.8245741720231328	0.28731157059043133	12	0.15418066999804228	1	-2.182505055976049	-3.0492550493163897	-5.36852887700477	-2.9975382582821712	-2.6943638611750886	-3.258438220350894	1.0991015444835621	48
26	tanh	0.00024491135595303696	104	constant	0.0007928569183996296	0.6753483966590775	0.5632920228791881	14	0.1272656803589481	14	-2.595160360118418	-2.5275505164030063	-5.424115892594209	-2.9594033798630894	-3.0062269766007867	-3.302491425115902	1.0777405122532244	53
27	tanh	0.02822812182257846	73	invscaling	0.0009929869254451831	0.8488974542584697	0.49553630708972674	6	0.3808073924901341	2	-2.7345101363020468	-3.349505942695752	-5.579963461406717	-3.2135595264100183	-3.76108540170257	-3.727724893703421	0.9824247339442028	85
28	relu	0.0034652151105415085	94	adaptive	0.00032898719706645656	0.8811079522069883	0.39487759601949135	11	0.13246293367538706	13	-2.3007712777495946	-2.1907783916819445	-5.319964832546389	-2.8106799055404563	-3.13905403610988	-3.152249688725653	1.1371258088866083	31
29	tanh	0.007922466054666004	116	adaptive	0.0032218579891206208	0.7441842458514791	0.42031921225620184	19	0.3525575266895634	20	-2.211210915153552	-2.3070734765924734	-5.358119371678153	-2.850171655083671	-2.7346286587749	-3.0922408154565497	1.158739919032898	17
30	tanh	0.0035897371661615407	86	constant	0.003213934617013521	0.7527832952309944	0.7259017358693508	13	0.5190176246294469	14	-2.2835589618301793	-2.3848801646387137	-5.4451971870113125	-2.867309155086149	-2.781714821762115	-3.1525320580656944	1.16786768018216	32
31	relu	0.00022240377361746987	87	invscaling	0.002919065357563089	0.6668937046802679	0.35302555503997557	12	0.36557024674865646	5	-2.5384973704637366	-3.0771766584582525	-5.469544791745124	-2.9772903332385634	-3.3381657023985296	-3.480134971260841	1.0276007211188591	70
32	relu	0.01188718545321504	56	adaptive	0.00022899974552548097	0.7776727185420633	0.39607656730628926	17	0.8019048324390964	20	-2.358301895636276	-2.7124667291791744	-5.360099388401678	-2.9822475245333546	-2.8104336866041657	-3.24470984487093	1.0771589445186631	45
33	relu	0.0004622843081529739	77	adaptive	0.007192950166458389	0.8764651683024249	0.38955427909624274	5	0.33900443986028334	20	-2.316727823817108	-2.384841513547238	-5.242591608315539	-2.7579836047953985	-2.6531828736950396	-3.0710654848340644	1.098007330655	13
34	relu	0.0620674686032257	94	constant	0.002902970067180564	0.7356686066598868	0.16480726220147007	19	0.1888756780849716	11	-2.3298109728888896	-2.555281367587903	-5.264635061693628	-2.6899469423443585	-2.7039608549770704	-3.10872703989837	1.0862931634369182	22
35	relu	0.00014396846671362864	20	constant	0.007885996720273347	0.5410813054953264	0.4558461731218727	19	0.1639788556153613	11	-2.206472382609258	-2.218751443219558	-5.259171830796757	-2.7189492724373903	-2.7192613714115286	-3.024521260094898	1.140060522618069	6
36	relu	0.06522355452165918	84	adaptive	0.00010263226366395223	0.9496437356287962	0.13344124888015507	3	0.7134124464618375	10	-2.2253336049412025	-2.6585944109052893	-5.318149996410087	-2.724154957116261	-2.753054059712501	-3.1358574058170676	1.1077248590950621	27
37	tanh	0.00673224516569129	65	constant	0.0046661364905886075	0.8910762738375515	0.7103334351421897	14	0.12525277138106686	5	-2.2879761216116665	-2.2468705464295886	-5.2925039066098165	-2.7791533770353403	-2.7620605997264898	-3.0737129102825804	1.1320756655292503	14
38	relu	0.0010451587509585616	74	adaptive	0.00029900162416813614	0.7990658399969861	0.3619399282231158	10	0.24985075379050917	5	-2.4935811134076684	-2.770975466734744	-5.46338327970854	-2.7478883504431244	-2.930969357434465	-3.2813595135457083	1.0999708307427338	51
39	relu	0.00020449172623939247	107	adaptive	0.0023360441406204465	0.5509965513038609	0.551644398771317	3	0.11270855844205549	12	-2.24236994995325	-2.4932555881007037	-5.272102210086518	-2.7742548076432567	-2.7321415354295837	-3.102824818242662	1.1011889917254047	20
40	relu	0.00010626673373480599	85	invscaling	0.00021450027311528368	0.654293857156736	0.7669259763567436	9	0.4543875099860724	6	-3.3450591250991275	-3.556554807038093	-5.5807514314666795	-3.3571831043642444	-3.631383347472804	-3.8941863630881897	0.850585145169315	90
41	tanh	0.00021368986741874543	49	adaptive	0.0067272857834775055	0.569939293557234	0.4823669002263413	6	0.32400675036819465	8	-2.2492164476609298	-2.246504007653804	-5.178155434875127	-2.705098717766525	-2.7210185804060627	-3.01999863767249	1.09896232170339	4
42	relu	0.04977404930808188	43	constant	0.0016643068806744886	0.6987462971261347	0.14295079546465034	17	0.1729182095719084	9	-2.212912596014414	-2.680926526160454	-5.388353058693841	-2.7315430540073398	-2.717559296744931	-3.1462589063241957	1.1375788623655247	29
43	tanh	0.0031001770403105266	46	adaptive	0.00010121589219075183	0.886053098473739	0.4133909082069429	18	0.19084010146073652	1	-2.7764542483563583	-2.6082613602868445	-5.383211655340978	-3.602695348452019	-2.8126142153937534	-3.436647365565991	1.0322964850385685	66
44	tanh	0.0017723647720554357	78	constant	0.0006106221896334783	0.8790329151387294	0.6075147672904995	11	0.10098581567225016	20	-2.4531262961962743	-2.845602345430377	-5.458081544558472	-2.8393399710653933	-2.9991724498834125	-3.319064521426786	1.0846083024684545	57
45	tanh	0.0006724400155480357	98	adaptive	0.007206928741976737	0.5805524330756248	0.5462385046047666	17	0.18437433273346765	13	-2.333395929895865	-2.2761653209126878	-5.366200413765364	-2.8106105130540495	-2.6953601870114037	-3.0963464729278742	1.153209660575854	18
46	tanh	0.0001550033021644269	107	adaptive	0.008392132794100223	0.9232148634500699	0.16833656469347902	5	0.9770440269180681	12	-2.183929239412123	-2.3270295800318612	-5.260837870502174	-2.746681209631213	-2.710867011686415	-3.045868982252757	1.1284943088873691	10
47	tanh	0.003183873555240304	101	constant	0.0007041413810564999	0.820547025279617	0.29236166833422195	6	0.3483075094983197	6	-2.4915706607382657	-2.547156116431036	-5.48159554957787	-2.924918738735404	-2.7827594143244974	-3.2456000959614144	1.1289923011047571	46
48	relu	0.0020492266976313463	20	adaptive	0.004112544763771687	0.7180110284173985	0.34619117371823094	15	0.12209127292864788	1	-2.229871831376875	-2.2547309650261216	-5.073616732744454	-2.69959605827917	-2.6969987398642097	-2.990962865458166	1.0611365254063345	2
49	relu	0.03739612650684661	85	constant	0.0004997093417004104	0.756301949026445	0.6616748926181727	7	0.9813156015652795	15	-2.3738180332083147	-2.5640169353811584	-5.080422395931243	-3.315778021696719	-3.0390899969221095	-3.274625076627909	0.9627555823721278	50
50	tanh	0.0029051961369212	46	invscaling	0.00016412784401149621	0.790860208709819	0.7449653564748366	20	0.9710798599310109	13	-3.527301587353102	-2.9704267440978476	-5.556413413369687	-3.7820927985074912	-4.1066704505994975	-3.988580998785525	0.8676517455125242	96
51	tanh	0.00047368715467469843	101	adaptive	0.0067926053275795765	0.6220457635514465	0.3244660148263089	18	0.280853701011141	9	-2.2435685035962214	-2.1854324228578856	-5.346952028685531	-2.8511829012883356	-2.9150957432146463	-3.108446319928524	1.158830877358124	21
52	tanh	0.018088214834563007	65	invscaling	0.0005453990680220182	0.847543517649594	0.26446986568180025	15	0.1772890309336007	6	-2.9912606721697026	-2.6356653834210246	-5.797001754924769	-3.108961744438652	-3.4360245050366913	-3.5937828119981683	1.1309407409198997	76
53	relu	0.0004469160697639161	42	invscaling	0.00028007704771363897	0.7587160234011487	0.7552172349843317	13	0.12567921606258767	8	-3.545296026858005	-3.2208368257629947	-5.714963647477907	-4.065647594845177	-4.000801725761297	-4.109509164141076	0.8601511764530344	99
54	relu	0.0039010971105322956	91	constant	0.0003185845691796932	0.6550965667079321	0.24280951057085373	5	0.8573294768866562	3	-2.5323923778549977	-2.652580694351659	-5.296049467551187	-2.903489869320697	-3.3101261832119295	-3.3389277184580948	1.0141333918976003	60
55	tanh	0.0006315605187164603	83	constant	0.00021575985618792738	0.6412818038114162	0.19526256651992235	18	0.7369726073588811	15	-2.806878648289024	-3.3630211375540475	-5.490177600005917	-3.275287947405002	-3.2720277317086173	-3.641478612992522	0.944708756023769	79
56	tanh	0.01713785215398509	94	constant	0.0005417536934052397	0.5400081368273949	0.37669391836544364	16	0.14065873841063256	8	-2.589995271849745	-2.5626082495346756	-5.696210464959366	-3.327691300281593	-3.209155366595654	-3.4771321306442067	1.1525466148514505	69
57	tanh	0.0008829441140093175	103	adaptive	0.0025225215000964133	0.9232508396639826	0.6110159830384618	8	0.12517411423798178	19	-2.288010748766806	-2.257213773137555	-5.369925772207599	-2.857142473873301	-2.7345409324580694	-3.101366740088666	1.1588536532101188	19
58	relu	0.07593361480302722	116	adaptive	0.000256158019671427	0.6142158296184287	0.7726144943950551	6	0.29278194494894083	5	-2.459710672959757	-2.8928124569827283	-5.364664437817746	-2.74839657793891	-2.9019408344247366	-3.2735049960247755	1.0577272424841102	49
59	tanh	0.005632897388145838	40	adaptive	0.001073733520678275	0.8692998505423388	0.1792473745426843	3	0.4483863090922514	18	-2.3234160068455982	-2.3969109737980148	-5.347652334911506	-2.84331234246265	-2.8585978822754323	-3.15397790805864	1.1188345149309988	33
60	tanh	0.0030556823044670975	31	constant	0.0067293007422524935	0.9407833614828787	0.14759322505510658	14	0.7992151437468702	2	-2.115007173034633	-2.3118677754759194	-5.295919068882047	-2.7046413797554716	-2.722495501288908	-3.0299861796873957	1.1565234316313042	8
61	relu	0.0619867389500712	25	adaptive	0.0007008973295480156	0.7513971344957787	0.19875644983332597	19	0.5053225358060224	18	-2.3795458108288132	-2.8155737624966584	-5.151089957604959	-2.764177034749536	-2.766289789920385	-3.1753352711200704	1.0002684730001095	36
62	tanh	0.008252083066985176	22	adaptive	0.0053385683413508	0.6690752155024366	0.18187679573896942	20	0.2103824164956055	17	-2.2697045086181133	-2.3673591309244815	-5.3771443072358585	-2.812654381258429	-2.814597177520255	-3.128291901111427	1.1464344341803752	24
