	param_regressor__regressor__alpha	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.002196046158480499	-2.7469336510223	-3.2809917010129066	-9.772571931511633	-12.65671282948519	-2.7541478414598726	-6.242271590898381	4.165612802212692	181
1	3.103065920527592	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
2	0.09179336450318797	-2.8955528811580917	-2.805971235076902	-5.476933235427087	-3.3143543903278134	-3.165678462965048	-3.531698040990989	0.9895967478580168	66
3	1.7339689834274716	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
4	23.909892915173646	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
5	0.2575795066186247	-3.1401901767939973	-3.1670283426614483	-5.4463217497675185	-3.6988251673123944	-3.530646656726916	-3.796602418652455	0.8519515570802509	95
6	0.1752173384130308	-3.051914199593886	-3.0396352268892435	-5.47490549960123	-3.555353719452486	-3.399679524089882	-3.7042976339253455	0.9074589750736587	85
7	0.002101752925466284	-2.751739479002848	-3.377104981294734	-10.721045120963444	-13.207260153590795	-2.7629193611423517	-6.564013819198834	4.484457018823097	182
8	0.015915997542206003	-2.652380466981011	-2.3690464657583785	-5.370053859838226	-2.9525630303421373	-2.8093560719312	-3.2306799789701905	1.0870718569214999	7
9	0.1729954055957588	-3.0493540904562	-3.034852787122648	-5.474795287595771	-3.550334909790624	-3.395015809022484	-3.700870576797546	0.908963193284583	84
10	1.0989933195254442	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
11	3.9667709290156945	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
12	0.05075976981784486	-2.770655693483997	-2.5761640175326947	-5.443431848802837	-3.12080349307405	-3.0012130043931	-3.3824536114573354	1.0474575009463762	49
13	0.00197335409022739	-2.754948270527526	-3.544436954017579	-12.131117349507297	-13.664889634799877	-2.7684952550341775	-6.972777492777292	4.870573402204405	185
14	0.019501265143891947	-2.6583503898300735	-2.3882147577623636	-5.359472520532529	-2.9652238514430898	-2.827566057635291	-3.239765515440669	1.0771835077564447	16
15	11.813008490495449	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
16	0.009023023780308717	-2.6680219240560463	-2.340401089236838	-5.418321870285197	-2.961479387690654	-2.784285100776446	-3.234501874409036	1.110551389544856	13
17	0.10573378989390388	-2.92879046481721	-2.856910995645748	-5.472856758997725	-3.3667879593595105	-3.214108632524657	-3.56789096226897	0.9704062036186272	70
18	14.761220350075702	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
19	0.0012926378275314337	-2.7440671507962504	-6.246202801134844	-29.73011590387515	-38.522855368659414	-2.844260563499565	-16.017500357593043	15.097836672842222	194
20	0.4883490226394251	-3.328711900994408	-3.361305462289191	-5.417650277083247	-3.9341794181850966	-3.740161150644963	-3.9564016418393813	0.765589344875628	105
21	17.940931211225134	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
22	0.010742216839705858	-2.6522874072258595	-2.332977479340629	-5.39967743010381	-2.9491773929884184	-2.7904360888549937	-3.2249111597027413	1.10615095536132	5
23	0.28553271536325664	-3.1631875884089946	-3.196216878788024	-5.434633184749011	-3.7366153088264524	-3.560405245551019	-3.8182116412647007	0.8368840660146881	97
24	11.756497896152519	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
25	0.003946533158671876	-2.7051213701906556	-2.5168520867248327	-5.768871912879095	-3.4895744989817286	-2.7046064090235418	-3.4370052555599706	1.2131866780557001	53
26	0.22048629001508635	-3.103913597958885	-3.1206903651006663	-5.463661860352527	-3.6428917690409794	-3.4828068671654346	-3.7627928919236977	0.8754588831076778	90
27	2.2891588474871623	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
28	0.9891300600669719	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	109
29	0.12421849705402561	-2.9668988327519785	-2.917547410415839	-5.474394714761809	-3.4274839401707102	-3.2727417216747314	-3.611813323955013	0.9503763644204384	77
30	0.008262932712491556	-2.685975020452778	-2.3464610039560005	-5.437692427769195	-2.971329925158395	-2.7818775932716213	-3.244667194121598	1.1150926829322152	18
31	0.15747745703716373	-3.031048285326223	-3.0010529312444185	-5.4746564356677405	-3.5144005431968295	-3.3618378001475966	-3.6765991991165614	0.9199447494832125	83
32	0.04647414490559472	-2.7572031893039552	-2.5427980523649953	-5.433230162124989	-3.0966735036040633	-2.975232632169254	-3.361027507913451	1.053266140682171	47
33	0.1372090815973864	-2.9964634271908364	-2.953330638855165	-5.475990117078637	-3.4633789170399947	-3.3109595056858288	-3.640024521170092	0.9376541465728703	80
34	0.043464593580939084	-2.7488187121061163	-2.519801612742231	-5.425336978112005	-3.0791574090673315	-2.957795687107118	-3.346182079826961	1.0568612894207905	44
