	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__colsample_bytree	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__learning_rate	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__min_child_weight	param_regressor__regressor__regressor__n_estimators	param_regressor__regressor__regressor__reg_alpha	param_regressor__regressor__regressor__reg_lambda	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	0.991289158831433	2.3323660753082383	0.02516134464926371	9	5.510084172939441	92	0.09838926933404911	0.00998918377985214	-46.241397217619124	-3111.9247140831903	-25.921578482669386	-92.52594046168191	-31.293100750684772	-661.581346199169	1225.395980145912	8
1	2.2827586243750053	1.0439872157972168	rbf	0.7571769239483367	3.4042190724008785	0.07493849020990138	7	9.365753720558093	233	0.012362363115846198	0.025246179740589205	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	43
2	7.948020906836666	0.0014174716941154197	rbf	0.916305404630686	4.694383744541781	0.038365054776875816	5	7.753688731918314	307	0.53728386380407	0.0006597757684493768	-46.267391584752886	-3111.9020101121782	-24.53894458481176	-94.09108259792482	-34.20547596066828	-662.2009809680673	1225.0836218234576	16
3	0.9583668393289841	0.0072765153011929845	poly	0.739502550261886	1.4549220681622486	0.03809934967341577	9	3.8259520949139594	297	0.033721063755484455	0.00021579053911816436	-48.47643068932037	-3111.8486175276	-29.034518252182934	-91.7428953375241	-33.06067269490713	-662.8326269003069	1224.70968776254	24
4	1.2429974934909387	0.0035566916037075296	poly	0.7481404331952141	2.349555591668014	0.08627048905323088	7	8.142129984677318	180	0.7313326467010689	0.03111883251747103	-44.31921366269373	-3111.872498302653	-25.725882749740137	-91.71117847858477	-34.606102905251014	-661.6469752197846	1225.3245596954382	9
5	2.0603672149455856	0.0019755082811462347	poly	0.6005707522251033	0.5520854946490852	0.08374201081949809	5	7.26544417165272	174	0.6461903812480768	0.6545843596375174	-47.34434551548735	-3111.899762609873	-25.696767511833038	-92.38781185935902	-34.549328282890684	-662.3756031558886	1224.9770535833356	19
6	0.20299172220124867	0.17603306988090964	poly	0.6940481629029858	4.828357897727021	0.1696430556626937	9	6.933099882684021	89	12.959765036755972	0.0003345357762975642	-49.23101737366665	-3111.8931308605574	-24.81066551163219	-92.9338113446081	-38.68614854153645	-663.5109547264003	1224.403323767313	34
7	0.4144453913207415	0.020652944157466043	rbf	0.919557987111286	2.071703573097981	0.07724857183263156	3	3.919835527051987	247	8.067005935657864	0.6387700779170631	-48.55877203896889	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-665.1186428201873	1223.7144539712663	39
8	0.32802670507633136	0.03975652636539441	rbf	0.9185562803130194	2.6597116272078987	0.039746036974966426	6	7.074268928801089	284	29.76766216360629	0.00014541969778501752	-48.031844253363936	-3112.135443329195	-24.014249934704125	-92.45212179442441	-43.71165250447696	-664.0690623632329	1224.2377436868344	37
9	5.640835693221089	0.002414434133743	rbf	0.6703117543362407	2.052678370583705	0.12444727957753517	6	6.928734330587309	283	0.6835215526584943	0.007802310570167473	-50.20574129401153	-3111.9270881210014	-26.6628422565545	-93.98458762731535	-29.15673265351356	-662.3873983904793	1225.007723684655	21
