	param_regressor__regressor__alpha	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.002196046158480499	525	-2.4891398381322065	-2.486291797594222	-5.351581254681601	-3.0829976127804493	-2.7815757136385226	-3.2383172433653997	1.0793915739661686	11
1	0.026796454274089585	711	-2.592136356539467	-2.5376300342981684	-5.336432626590023	-3.1835968033748228	-2.9003857149054317	-3.3100363071415826	1.039430073521906	34
2	1.7339689834274716	848	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
3	0.0239337360822717	523	-2.5908388661591983	-2.616934799978746	-5.332724426457775	-3.144144260213257	-2.898936316387473	-3.3167157338392896	1.02812471872793	35
4	0.1752173384130308	866	-3.063468594586284	-3.082962615873511	-5.392369889580489	-3.6140631774724947	-3.4714172511370576	-3.7248563057299675	0.8609958463915435	80
5	0.07543627532102296	892	-2.815611341796413	-2.7891997539928113	-5.380114357197771	-3.3393481673654315	-3.170748972871522	-3.49900451864479	0.9636041839491081	60
6	0.1729954055957588	568	-3.0649811338968536	-3.1938909655115064	-5.393247149001264	-3.611034919026434	-3.4680472218735976	-3.7462402778619315	0.8458731918116518	82
7	7.757637369788903	891	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
8	0.05075976981784486	575	-2.7359877034737337	-2.817520818823994	-5.38526457753915	-3.231955586675269	-3.0727429506189257	-3.4486943274262147	0.9843729154009734	54
9	1.0448623233301233	506	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
10	11.813008490495449	544	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
11	0.035396700925460406	812	-2.62067783216948	-2.5812230975636767	-5.337570970527618	-3.153809346027382	-2.948402153150503	-3.3283366798877316	1.0267221843518932	38
12	14.761220350075702	937	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
13	2.297501301907585	689	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
14	17.940931211225134	812	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
15	0.006015272822813326	538	-2.519700536983506	-2.428799673826176	-5.330605041304698	-3.0455229394533454	-2.7737602192286315	-3.219677682159271	1.0770926238328336	4
16	11.756497896152519	637	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
17	0.1021992028080577	695	-2.8955582746161452	-2.893182435000451	-5.386729157269663	-3.4391725546906056	-3.2812776826086814	-3.579184020837109	0.9288178673902352	69
18	2.2891588474871623	932	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
19	0.007339670629259654	900	-2.551020329911948	-2.3607468010703614	-5.326172836928974	-6.265321448945294	-2.832520126847123	-3.86715630874074	1.609464558023538	94
20	0.008262932712491556	849	-2.4999172183441427	-2.351869041322609	-5.322538640926555	-3.1208700029366114	-2.805502440743235	-3.2201394688546308	1.0839256613006674	5
21	0.5592742813230863	752	-3.4017279759367893	-3.4179234396516205	-5.44511541097359	-3.9902584216435044	-3.820756027419068	-4.015156255124914	0.7504899503158549	105
22	0.1372090815973864	510	-2.997620519547355	-3.127004642892372	-5.3900462892554835	-3.6077967069535872	-3.3880574436977735	-3.7021051204693145	0.869908560904429	77
23	0.01729776033227042	948	-2.5459610335833136	-2.419303342591672	-5.302151899361601	-3.0539637003504976	-2.823910883814154	-3.2290581719402476	1.0597022776059088	9
24	2.762664129436815	651	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
25	0.00636777228307074	724	-2.492458431349912	-2.3456014102122897	-5.330410514606527	-5.667937054930983	-2.8473721829316263	-3.736755918806268	1.4521560580701454	81
26	0.01721492209311807	919	-2.5380620446560305	-2.38291809331541	-5.306747376424553	-3.0414566983872118	-2.7982373378206042	-3.213484310120762	1.0704960802486494	2
27	0.2818629648952095	879	-3.212561799177912	-3.212243339330035	-5.40244622593042	-3.7711412580410504	-3.6355692540913074	-3.846792375314145	0.8093575358511822	92
28	0.877520170086593	519	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
29	13.286168437615048	775	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
30	1.6615037197879037	786	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
31	26.027988559029865	829	-3.4017279759367893	-3.4309497894343384	-5.448683934812383	-4.009005242383958	-3.820756027419068	-4.022224593997307	0.749689606852098	106
32	0.006425453422567465	883	-2.5827814418570867	-2.367179094718097	-5.3457588934355025	-12.574794135652745	-2.82727024005243	-5.139556761143171	3.870274435977037	189
33	0.0221133459976255	583	-2.6454258363441907	-2.5867557145212303	-5.329886924797055	-3.082431173450662	-2.904919488141627	-3.309883827450953	1.0257253071721295	33
