	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
29	tanh	0.00043806469662060804	43	constant	0.00023181472837610013	0.8132098721834415	0.4687145446591814	-38.068504399229724	-226.03239724570503	-2.5387265946892614	-180.1045842179374	-0.5719002040851286	-89.4632225323293	94.83242922267796	19
30	relu	0.00402694114944287	53	constant	0.0029797245498353847	0.5720910847786262	0.23475575327189876	-2103.823735707591	-226.07596270782503	-2.555101770671233	-179.32462723318744	-0.9516727037211824	-502.54622002459917	805.8021955410849	50
31	tanh	0.0015105835674585663	62	adaptive	0.009038653563119031	0.59309651384236	0.43320091049979415	-38.063299881862775	-226.3156293099533	-2.5259986986799183	-179.88461134696882	-0.5948423084098199	-89.47687630917491	94.87068019558782	22
32	relu	0.0012836828733865106	65	constant	0.0007982835976431702	0.624342733794857	0.45126482378289645	-37.57475973246524	-226.1628311057804	-2.6626340915893256	-178.2904432090826	-0.4875696832578869	-89.0356475644351	94.57226394756086	2
33	tanh	0.00014298112869190447	79	invscaling	0.0011935803962069584	0.7421072835307523	0.4582387396795792	-38.10133105756708	-226.5051886628622	-2.5242167426100344	-180.0812495651977	-0.8013281055480467	-89.60266282675701	94.92038372571935	33
34	relu	0.06899661450889218	76	constant	0.005616026290751178	0.6741298664018708	0.10291211160161506	-240.08823902430282	-225.72782244872607	-2.1964953879920377	-179.66556523336428	-0.6374744809250501	-129.66311931506206	106.5999400459511	44
35	relu	0.08325814006849823	15	constant	0.0007067259944100958	0.7671367982339925	0.12774000170682603	-41.64839899852205	-225.92767450362334	-1.3495759980537312	-179.19380544402168	-0.6323778193538451	-89.75036655271494	94.46152966219914	37
36	relu	0.00041984198557241237	47	adaptive	0.00034290665670251965	0.5832031166897227	0.6672498838257656	-2046.7844767666222	-225.90045460151703	-2.6973204424586217	-179.23721906955222	-0.6291669609012348	-491.04972756821024	783.1784199129008	49
37	relu	0.0005485054319842828	80	constant	0.00015268968682166715	0.903024493346724	0.42359315949150933	-5734.605099862568	-225.2222461458185	-2.626335648501436	-179.0072670560362	-0.8971441146676834	-1228.4716185655184	2254.895094126961	53
38	tanh	0.00010751043071795431	53	invscaling	0.007498536250614156	0.8040580847033126	0.44893023557807876	-38.106155179300195	-226.0466577654793	-2.348256177057927	-179.6821789579395	-0.7057860526363152	-89.37780682648265	94.76170815263998	4
39	tanh	0.0002735509958528733	60	adaptive	0.0009159052703446252	0.6417634116929735	0.12661554694321736	-37.61864761543452	-226.20251827748044	-2.5960232089907316	-179.83785509605826	-0.9058751742889052	-89.43218387445057	94.80651710995852	12
40	relu	0.0005967171168551566	10	constant	0.0001754642879789	0.541693035101193	0.543067423644497	-38.08707915379845	-226.1214113317682	-2.63871996990793	-179.7132309517919	-0.6173231195970206	-89.4355529053727	94.75454285018264	14
41	relu	0.0008540507914572622	11	invscaling	0.0008226171307242959	0.9029150530416779	0.14007749186011736	-6584.979355723126	-226.40578664979407	-2.5872122522049095	-177.00089016240722	-1.0945815573256228	-1398.4135652689715	2594.869838923764	54
42	tanh	0.0035897371661615407	76	constant	0.003213934617013521	0.7527832952309944	0.7259017358693508	-37.768266068446465	-226.14462716959093	-2.455127586461515	-179.45886130005124	-0.5472212446444551	-89.27482067383892	94.79417312200911	3
43	relu	0.013981260164709002	76	adaptive	0.008728025123231191	0.6699946446692933	0.21877602755734643	-1831.7330820669586	-225.6595139919082	-2.8863469409209004	-178.51824241424018	-0.8168541988636218	-447.9228079225783	697.8354895004214	48
44	relu	0.0012144936149164256	51	constant	0.005997595800801772	0.7897945906542301	0.33033468072073346	-5119.011051620272	-225.24204706637792	-0.831501256725809	-177.40961269623708	-0.6134672952083292	-1104.6215359869643	2009.2555674159337	52
45	tanh	0.0070982527104914836	47	adaptive	0.0018410464762593738	0.9068552737833191	0.5194172487304305	-37.860443540573456	-226.3281284923994	-2.514088180698245	-179.95655284292502	-0.48558143052211483	-89.42895889742366	94.93266963947661	11
46	relu	0.04997206964653247	79	constant	0.00018609266817535574	0.9326271710470656	0.4711437702640936	-38.02611746739181	-226.37778397079276	-2.43717493087088	-179.90843939701452	-0.9833441145075363	-89.5465719761155	94.84081112618456	29
47	tanh	0.010505506729861789	78	constant	0.0011153624762902383	0.5416618114152307	0.17424145261439103	-38.11775951914584	-226.4739752457478	-2.550305191203427	-179.55158044629565	-0.5830694984753667	-89.45533798017362	94.84487509191676	18
48	tanh	0.033729438603352195	14	constant	0.0002475197460794375	0.5305606539628007	0.5462214295256597	-38.068656561212606	-226.44148974889183	-2.493725223249177	-180.1170940985824	-1.2324221386647594	-89.67067755412015	94.8374651109282	35
49	tanh	0.00022692871876519577	59	constant	0.0033584906654409094	0.9221606694627571	0.42879888630625207	-38.02730580946836	-226.19900162692483	-2.5004005491749832	-179.86356138314952	-0.5111394160979905	-89.42028175696313	94.85730794884493	9
50	relu	0.0005122309420952849	27	adaptive	0.00013549840149078	0.88400330686998	0.5400656664685413	-1389.599175173502	-226.13803555665686	-1.3847365445847999	-179.7993853691968	-0.9360326660411645	-359.57147306199636	523.0672366340722	47
51	relu	0.029467027946353874	55	constant	0.0046661364905886075	0.8910762738375515	0.7103334351421897	-16255.636170910262	-225.8930994874313	-2.5513364278240545	-178.98431533951995	-0.5360796426545582	-3332.7202003615375	6462.099620490996	57
52	relu	0.04716232342647426	32	constant	0.0008779638605110252	0.6528773391788751	0.4251596233473076	-37.52275159002191	-224.11479285592722	-2.582462399961968	-178.69393167110744	-0.4979377519117772	-88.68237525378606	94.0755198025559	1
53	relu	0.0005170235450067315	48	adaptive	0.0005602731302289474	0.8489671489518604	0.23704203052571793	-122.73665324534046	-221.8675151763664	-6.22153005113174	-179.24891330745695	-1.1216587821513881	-106.23925411248938	89.47147394004034	42
54	relu	0.0018450349697513373	77	constant	0.0011505495356132988	0.8079082350598366	0.17932796869489476	-86.40887313728835	-225.0153821241513	-2.670222185559758	-179.2119963724268	-0.7374441727754765	-98.80878359844033	91.00236318089293	41
55	relu	0.0037403243316962683	31	constant	0.00012703219146086256	0.8721245877637953	0.10615937749019566	-38.158811109484226	-226.03287746877993	-2.4298762417185213	-180.22855964236066	-0.5111904332706139	-89.4722629791228	94.87784427783795	20
56	tanh	0.02121312946688234	62	invscaling	0.000789737782602266	0.7512182024777313	0.1288205218329911	-38.096094726418485	-226.27999164478652	-2.1486196337540657	-180.04260001991327	-0.5310063453636673	-89.4196624740472	94.96820859983211	7
57	relu	0.01668035498091473	78	invscaling	0.0065976014746371905	0.8371580490465409	0.6898308789906419	-37.27004080536859	-226.48217815351933	-4.7852755276200964	-179.98076715003648	-0.8446924010642374	-89.87259080752175	94.56691702869286	39
58	tanh	0.0007087863897619267	48	constant	0.006280612257679104	0.6328000199553868	0.527431693034737	-37.929181059077266	-226.2967528169991	-2.4849813884008745	-179.79476298554442	-0.5147014573350048	-89.40407594147132	94.88518955422639	6
59	relu	0.00021113075187207878	24	adaptive	0.00029900707201554447	0.863504434047574	0.447990182303712	-283.16634239721344	-225.44373160227718	-2.794318008167384	-177.91695948109725	-0.6890372904235368	-138.00207775583576	116.14466300028907	45
