	split 0	split 1	split 2	split 3	split 4	mean
RMSE	0.5043526362718654	0.696991275601615	0.9254118841551048	0.6350729474392489	0.5873777574717198	0.6698413001879107
pearsonr	0.609671328376773	0.6236926153160567	0.5985467527895303	0.673676275372086	0.6537616963352865	0.6318697336379465
