	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
21	0.9231341837184278	2.793599191923565	0.01637952540072285	1.3197592434732703	304	0.1704054128495447	9	-2.5987601	-2.5638804	-5.2391706	-3.012609	-2.962833	-3.275451	1.116608	77
22	0.855390809063961	4.328154748020688	0.06733955132809935	9.993673542206833	94	0.012556810699202297	10	-2.6108806	-2.5957434	-5.2541046	-3.0685759	-3.0703928	-3.3199394	1.1060828	232
23	0.6395092947097226	2.8771553826287035	0.0190542553567716	1.1061170795046733	61	0.5789560193199013	10	-2.822591	-2.8422477	-5.270527	-3.3607492	-3.2894006	-3.5171032	1.0110103	291
24	0.9904855288314907	2.8021201107788203	0.012396667162288523	4.060610363926861	273	0.12059306633756241	4	-2.605422	-2.551721	-5.2284245	-3.0369263	-3.0659573	-3.2976902	1.1051174	147
25	0.9490508732576748	0.21712482809742123	0.022560749749812765	3.494976244248657	127	0.006331429539178653	9	-2.563298	-2.660382	-5.2326074	-2.9690726	-2.9879742	-3.2826667	1.105914	95
26	0.6121757066662492	3.3955490446583525	0.012382692066638437	4.247024444066991	145	0.06082578923301668	3	-2.6638064	-2.6780317	-5.237036	-3.172996	-3.1345444	-3.377283	1.0673962	282
27	0.8084056413128705	2.721459628546787	0.02585137218773163	7.633792535970617	172	0.01966581845510724	3	-2.6099348	-2.5629725	-5.231172	-3.0916529	-3.0601819	-3.3111827	1.1010361	193
28	0.7513504533725677	1.1108006968532065	0.15677190410383735	8.452842125922528	84	0.14476175533542823	9	-2.68174	-2.5702717	-5.2448006	-3.0766776	-2.9724412	-3.3091862	1.1015607	187
29	0.9307976974579054	1.2634359915104076	0.16738020434326015	8.38592372315696	68	0.00010172286706178733	9	-2.5459807	-2.6111445	-5.243431	-2.9022436	-2.9828062	-3.2571213	1.125791	36
30	0.8382484452081497	3.7845724495968174	0.012028970068653628	7.703413063136286	118	0.025956026374419378	4	-2.789703	-2.7680476	-5.260477	-3.2776914	-3.2478697	-3.4687576	1.0304933	287
31	0.8689476873717146	3.589039055228835	0.07145975344672065	2.322372841241892	183	0.0012268271154142196	9	-2.5414646	-2.5820096	-5.22267	-2.9724755	-2.9656787	-3.2568595	1.1177304	35
32	0.6158514295467578	4.944308239353499	0.11620151604672221	6.728521081867005	352	0.0005490137980524711	6	-2.620605	-2.5982747	-5.2471433	-3.1610744	-3.0609477	-3.337609	1.0971255	262
33	0.6364135421705056	0.7353812405514767	0.07659065427424101	5.0463766907192005	71	0.0070648633901452965	6	-2.5071278	-2.6139624	-5.2299485	-3.0102754	-2.9733763	-3.266938	1.1190568	52
34	0.7046076258567096	3.785957822969411	0.16584421645302796	7.081161694066252	176	0.13857436154567296	8	-2.6542487	-2.686389	-5.2457294	-3.0797458	-2.9294991	-3.3191223	1.0912528	228
35	0.8260207469084153	1.5887282754887364	0.042237500866554464	3.8352682338594684	257	0.0327646559737189	3	-2.527596	-2.629814	-5.212934	-2.950161	-2.9677553	-3.2576523	1.1100541	39
36	0.7492929411567858	3.4308658418987212	0.014416121590194675	1.8338607020238602	276	0.0384606338897538	2	-2.629474	-2.5999777	-5.2284126	-3.0101833	-2.9971921	-3.2930481	1.0993016	128
37	0.708561392885605	4.462069118461722	0.018398018867752386	3.6199923534564746	397	0.07330989002631179	4	-2.6290896	-2.6254852	-5.226136	-3.0672383	-3.0186203	-3.3133137	1.0894446	207
38	0.7311644397186705	0.2728393479359674	0.09557629587298327	6.055665904619888	210	0.0022291388335288253	4	-2.6456056	-2.6582813	-5.2159314	-3.0781257	-2.9746106	-3.314511	1.0799168	212
39	0.6462856202437222	0.35774853863606404	0.08977658466305644	4.337874093605358	152	0.3207219073028014	6	-2.4546618	-2.6019135	-5.2278996	-2.9559555	-3.0119224	-3.2504706	1.130023	25
40	0.9555954387536436	3.2555410982349495	0.02679805824142754	1.535793889712202	181	0.00491887854079379	8	-2.6504154	-2.631983	-5.249243	-3.0252337	-2.9608033	-3.303536	1.102071	172
41	0.762107056093582	0.8841639610821064	0.024418792043030903	9.096182009751923	393	0.1292528911570994	7	-2.4956832	-2.548408	-5.2446456	-3.0002646	-2.9483793	-3.247476	1.1394238	21
42	0.9724484727686804	1.5434042775000087	0.07527337450379955	7.455356078028902	374	0.08427235210946321	10	-2.6782224	-2.5297556	-5.234858	-2.9941964	-2.9971824	-3.286843	1.10769	111
43	0.9527250411885434	1.4340711699403088	0.022872482690001403	8.584027338406443	122	0.00016256354918980071	2	-2.61437	-2.5984142	-5.2347875	-2.9997585	-3.0309045	-3.2956471	1.1031972	141
44	0.6787219701660523	0.43277156537271855	0.06750773248708787	9.6645883624827	99	0.003672322412014961	8	-2.4969494	-2.559167	-5.243598	-2.9115243	-2.840174	-3.2102826	1.15037	2
45	0.9752539284113397	2.401592204143765	0.010170454267175081	9.992874712575924	50	0.0036123649197399746	5	-3.1234584	-3.145425	-5.363017	-3.6756184	-3.5924182	-3.7799873	0.9200214	300
46	0.8514660951248807	4.85377019370533	0.04696779314647354	4.911049087251875	394	0.21772829748802544	9	-2.6412785	-2.597799	-5.226067	-3.0537453	-3.0336142	-3.310501	1.091763	189
47	0.6437173332926777	3.5105405562849232	0.14436963122419502	2.222834934944025	372	0.0022851235263582448	8	-2.6633258	-2.6017437	-5.2227817	-3.0736077	-3.001404	-3.3125725	1.0873853	202
48	0.6676941550905607	2.0661564443744322	0.021762549811521537	1.4961531980286757	168	0.0006068723031127616	6	-2.5496094	-2.604431	-5.2336006	-2.991065	-2.9665802	-3.269057	1.1166396	57
49	0.7688006135927397	1.9192812058236586	0.048993089048904294	7.158164701196729	342	0.3731711117245024	10	-2.597212	-2.5852365	-5.21957	-3.0231886	-3.058318	-3.2967048	1.0982404	143
50	0.6742821307153497	4.5476545779825015	0.09414111007404266	4.767553146500078	396	0.00010844173135362074	3	-2.575203	-2.6234107	-5.2279196	-2.9803927	-3.0351985	-3.2884247	1.1035824	115
51	0.910213965671402	2.4391956730193542	0.038355362986077016	6.024364049554626	152	0.04262903883595397	7	-2.5698082	-2.559741	-5.2095966	-3.0306282	-3.1136296	-3.296681	1.0994275	142
52	0.8680310967860458	1.3468633376814365	0.152594166372082	7.743160980930819	276	0.01530924296540854	5	-2.5917382	-2.4996016	-5.24117	-2.8965814	-3.1070945	-3.2672372	1.1297129	53
53	0.804221623363038	2.3864791366348035	0.1477839450421563	3.6560003991077368	132	0.0868855653151112	3	-2.6203053	-2.5322487	-5.2411957	-2.9901946	-3.035859	-3.2839608	1.1162584	98
54	0.6245433116940858	4.776169717799273	0.035421098305934436	6.115824628428813	219	0.0004398484445996325	4	-2.56585	-2.5907652	-5.229975	-3.1029258	-3.0544114	-3.3087857	1.1029009	186
55	0.6010497415301589	4.303689294491825	0.03823603205864383	5.439848730752617	351	0.0008771003978274923	3	-2.5131462	-2.6263683	-5.241322	-3.0910425	-3.0249515	-3.299366	1.113661	153
56	0.7664737479072994	4.846474048922205	0.03244567768807158	8.580658302774587	134	0.00019534108598776495	5	-2.668089	-2.6156924	-5.2260294	-3.1251566	-3.0474036	-3.3364742	1.0799191	260
57	0.856028590428485	4.980899440526513	0.012792570142085812	4.585393694125478	239	0.03547597270050817	9	-2.6994586	-2.6043372	-5.2232757	-3.0886693	-3.0430357	-3.3317552	1.0781043	254
58	0.7369840501604562	3.5904913940156966	0.12392254514692198	4.246219969452693	356	0.8929928919707224	7	-2.6803412	-2.5880706	-5.2297482	-2.9761417	-2.926868	-3.2802339	1.1019195	88
59	0.800394108237569	3.603046835780628	0.03559716872064606	7.410940505592338	304	0.014475109226351262	5	-2.654899	-2.615112	-5.228404	-3.107472	-3.0996795	-3.3411133	1.080823	267
60	0.8167851351735038	1.2840825185775528	0.0370515157747556	9.055868865588057	170	0.008667139927976304	7	-2.5902202	-2.5492563	-5.246731	-2.9755352	-2.9340546	-3.2591596	1.1278318	41
61	0.9943510156162005	0.5247546464790195	0.0641921444733099	1.6563601419420166	232	0.2694235124574906	3	-2.6588929	-2.6075532	-5.2367487	-2.9253588	-2.9230082	-3.2703125	1.109005	62
62	0.6137781481425724	2.8292124568733827	0.1754193209405835	6.938137304440205	269	0.1668004252838251	9	-2.5433726	-2.4944363	-5.2387357	-3.16083	-2.9270236	-3.2728794	1.1330177	71
63	0.7950900610669953	2.832063114576935	0.0715142333872861	1.9683201908290284	199	0.0038716033865947978	3	-2.5571873	-2.6774716	-5.214261	-2.8579204	-2.984309	-3.2582297	1.1056762	40
64	0.9949019788020074	4.664495603885233	0.019631114126547996	2.0574658694731647	323	0.0028243307425671995	8	-2.6960976	-2.6339576	-5.2465086	-3.080571	-3.0484555	-3.3411183	1.0839945	268
65	0.7282662941864622	2.3472097806450183	0.17492361669504689	6.445800123901569	115	0.0007589141990128074	2	-2.596598	-2.6023648	-5.255109	-3.0669675	-2.985818	-3.301371	1.1132076	162
66	0.9619713955292669	4.129503084356256	0.015098739753971307	3.2381367954145173	279	0.20514743187319234	7	-2.6553466	-2.632181	-5.2294197	-3.054282	-3.0371857	-3.3216827	1.0852786	237
67	0.825392701085447	1.1958299237353056	0.05597498876986415	9.424221592655694	102	0.0009488684241665928	9	-2.4913902	-2.5710816	-5.244172	-2.9597814	-2.95176	-3.243637	1.138652	18
68	0.9798307699345029	2.6989383769484245	0.027472774157571267	9.468297341946597	120	0.0023913114785529704	2	-2.6347623	-2.57183	-5.2404127	-3.0083246	-3.009569	-3.2929797	1.1076047	127
69	0.6260639901812872	4.672424004350106	0.07550497277543672	3.401244918285927	241	0.011992708286179331	7	-2.5513265	-2.6122096	-5.2194138	-3.1372063	-3.01323	-3.3066773	1.0984344	180
70	0.7255838256101477	0.7668379656394566	0.12971339709002844	8.807062112243353	288	0.20455079446093846	10	-2.383914	-2.5789092	-5.2418723	-3.0150108	-2.9895573	-3.2418525	1.1500806	16
71	0.7301228955515444	1.5657501935796039	0.06441948027998574	6.529721390884319	223	0.0003914415039678186	9	-2.6527054	-2.564387	-5.23977	-3.0508535	-3.0003633	-3.301616	1.1039324	164
