	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
53	relu	0.0004469160697639161	42	invscaling	0.00028007704771363897	0.7587160234011487	0.7552172349843317	13	0.12567921606258767	8	-61.07798705393668	-225.83468298991227	-45.01358268848096	-178.52033116171862	-82.07887403910607	-118.50509158663093	70.91856415919028	94
54	relu	0.0039010971105322956	91	constant	0.0003185845691796932	0.6550965667079321	0.24280951057085373	5	0.8573294768866562	3	-39.532853042600244	-226.6184627891924	-15.693026131347827	-180.50329585952704	-35.830385832175416	-99.6356047309686	86.48009358261477	44
55	tanh	0.0006315605187164603	83	constant	0.00021575985618792738	0.6412818038114162	0.19526256651992235	18	0.7369726073588811	15	-52.60855090569109	-227.93185020573992	-42.178484385422685	-179.75347185470926	-71.93720280535187	-114.88191203138297	74.82862519518571	80
56	tanh	0.01713785215398509	94	constant	0.0005417536934052397	0.5400081368273949	0.37669391836544364	16	0.14065873841063256	8	-48.573781070672254	-227.69315329464825	-42.20931003248083	-181.2814025529275	-69.1390235621552	-113.77933410257681	76.02588672910785	76
57	tanh	0.0008829441140093175	103	adaptive	0.0025225215000964133	0.9232508396639826	0.6110159830384618	8	0.12517411423798178	19	-37.968546413108925	-223.7469430746915	-6.840536974143236	-176.78078554341755	-25.722688568997125	-94.21190011487167	88.41356256410087	16
58	relu	0.07593361480302722	116	adaptive	0.000256158019671427	0.6142158296184287	0.7726144943950551	6	0.29278194494894083	5	-39.129651167565186	-226.58853992785873	-12.6014534768942	-177.4659123478251	-25.754682743847965	-96.30804793279825	88.10623803388258	28
59	tanh	0.005632897388145838	40	adaptive	0.001073733520678275	0.8692998505423388	0.1792473745426843	3	0.4483863090922514	18	-42.40202960764016	-226.5783184183559	-16.685766859469755	-179.08952379423613	-34.66185175964703	-99.88349808786981	85.79628996259946	45
60	tanh	0.0030556823044670975	31	constant	0.0067293007422524935	0.9407833614828787	0.14759322505510658	14	0.7992151437468702	2	-39.06512867158779	-226.537646693393	-2.4599923583366765	-173.39329223783002	-16.292191104669303	-91.54965021316336	90.85749085596973	5
61	relu	0.0619867389500712	25	adaptive	0.0007008973295480156	0.7513971344957787	0.19875644983332597	19	0.5053225358060224	18	-39.73562038774728	-226.6387634901887	-19.415262833153896	-180.30539568637764	-9.436387464677493	-95.10628597242899	90.21535793810142	23
62	tanh	0.008252083066985176	22	adaptive	0.0053385683413508	0.6690752155024366	0.18187679573896942	20	0.2103824164956055	17	-38.86495684967673	-223.96443873572676	-13.139054633984436	-178.58251933591373	-39.68074606425038	-98.84634312391042	85.38907368222182	40
