	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
32	12	0.313340878269026	2	95	-37.83906920738398	-223.9781924329042	-1.7276080375589997	-179.45814797794554	-0.30487963075220287	-88.66157945730899	94.34188035169065	4
33	14	0.5467632009552702	20	193	-38.08100811491903	-226.38440107941997	-2.379046620162154	-180.10351833563794	-0.33030774234506394	-89.45565637849684	95.00687788102367	48
34	12	0.32613769821026833	14	174	-38.08760488100031	-226.36029104979247	-2.3895466679546624	-180.08988084013083	-0.33017679237466224	-89.45150004625059	94.99471231400324	43
35	10	0.2904933654556075	10	153	-38.069157490330014	-226.360045053593	-2.3070874644664277	-179.99334302143268	-0.33129535615167716	-89.41218567719474	94.9931281220229	22
36	14	0.40529453845161223	17	143	-38.081369593764926	-226.37048846205715	-2.394980848631775	-180.09407382887778	-0.32512428888587364	-89.4532074044435	94.99907815271175	45
37	6	0.649116298687579	2	55	-43.181503365331544	-221.9036407796691	-0.5165243173580003	-177.82791922678106	-0.30782281276309725	-88.74748210038055	93.11113847135236	5
38	11	0.3501642892173135	15	55	-38.07974457446104	-226.3400229598428	-2.3764672522416648	-180.0843480683051	-0.33041806492376175	-89.44220018395487	94.9910166947066	34
39	12	0.6056617559343601	3	105	-37.24494993281589	-224.0673775271784	-1.6063036495298784	-179.1885987125142	-0.30386787132550924	-88.48221953867277	94.40242216236591	2
40	3	0.16618034849860697	19	19	-38.08990268961037	-226.4064063010325	-2.4272930082150195	-180.118698788633	-0.31585900018350305	-89.47163195753488	95.00902488384496	57
41	12	0.9443645612957102	12	11	-38.05740037212425	-226.26748146350866	-2.232057098618178	-179.9591928494679	-0.5371215225317619	-89.41065066125016	94.93639797468228	21
42	3	0.9648631773837126	18	171	-38.08057297411173	-226.34440736175267	-2.311390888214252	-180.07502169321393	-0.4704878220993187	-89.45637614787837	94.97608324085226	50
43	8	0.8127797906579691	19	74	-38.08419706970324	-226.37038256132644	-2.362949923711149	-180.09165644709935	-0.3723264802974816	-89.45630249642753	94.9952975330395	49
44	13	0.14618329436079053	9	110	-38.08156890789505	-226.33855908166086	-2.3829557361584923	-180.07524866493117	-0.3203696252952036	-89.43974040318815	94.98935697979528	31
45	12	0.19122022190757984	20	64	-38.090755058586126	-226.40778265352677	-2.4024565776585334	-180.13409591166177	-0.30987662248459613	-89.46899336478357	95.01794160001769	56
46	13	0.6632693345690645	18	153	-38.069841191978085	-226.36183868916154	-2.3746612087510575	-180.10349915453088	-0.3567640332213117	-89.45332085552857	94.99741940373703	46
47	3	0.1157769983230333	13	186	-38.0886088162536	-226.40358181162867	-2.3823157584118637	-180.1232914010816	-0.31613042622849025	-89.46278564272085	95.01741879875863	52
48	3	0.3294428428224735	15	194	-38.085027520025186	-226.36112192077874	-2.3774583590515466	-180.0765160318394	-0.3303386288412301	-89.44609249210723	94.9948657411818	40
