	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	1.3172711156111805	0.015561310098067912	poly	403	-48.58261532586512	-3111.616303631273	-9891.737558557827	-92.51039424461311	-41.09038334442461	-2637.1074510208005	3814.9588797369483	129
1	9.036058293737208	0.142555337175474	0.032033347004714594	rbf	342	-52.882804911279614	-3112.0138513591655	-26.3918874863239	-94.29263593318447	-43.324165980128626	-665.7810691340164	1223.3208294061385	38
2	0.34425317961148044	0.09989183779852141	0.24897169764256202	poly	691	-3055676011565.855	-3111.8154118556677	-133142413173.99805	-92.60850886190057	-128.06325156472425	-637763685614.468	1210055386864.755	170
3	0.5779393515080472	0.0018354619576988673	0.0027588494169594486	poly	744	-7187181.078996426	-3112.018041854147	-76222194118.19125	-93.24410612649861	-50.7087377325467	-15245876911.04823	30488158730.60439	158
4	0.26715955239073574	0.06434219125545071	4.52928968709807	poly	412	-1031668890399195.5	-3111.7449654898587	-3937275916233.7925	-92.38269546476165	-419.92640096193963	-207121233263810.66	412276648675507.3	185
5	1.5889046459932465	6.317103633551272	0.0014174716941154197	rbf	338	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502387	-777.477852683688	1166.024654259812	109
6	6.5804675185866905	0.003409398635747367	0.041405964302421175	rbf	639	-53.03078204382077	-3112.065672782957	-26.52171812700062	-94.39053913019438	-43.5728609827521	-665.9163146133449	1223.2787004473707	55
7	2.1778425655735942	0.07430387087024326	0.0010574149626882932	poly	728	-65.49313415814014	-3112.0529347256547	-9309445.888062295	-94.10193273310195	-42.463790143528705	-1862551.999970811	3723447.130807816	137
8	0.555609136573991	0.08120908540703026	0.006752303101068003	poly	748	-1549456871.2568626	-3111.8618743919665	-159126538540.16785	-92.80928505038285	-118.67178789370165	-32135199746.953533	63498505132.779945	162
9	3.4458392459817504	0.018029293506528536	0.07296702896376615	poly	656	-325110823995452.1	-3111.7908514192527	-2383399459847.2583	-92.52774923503557	-201.03428580083525	-65498844691740.95	129809271773801.31	178
