	mean_fit_time	param_learning_rate	param_n_estimators	param_max_depth	mean_test_score	std_test_score	rank_test_score
0	8.891746234893798	0.05	100	1	-0.8315000769826053	0.18570872715808154	11
1	17.792244148254394	0.05	200	1	-0.8046572795841277	0.1587493991803043	5
2	41.933172655105594	0.05	100	5	-0.8226822951670176	0.1408669421867705	6
3	83.70368518829346	0.05	200	5	-0.8381713095116838	0.140523978292736	12
4	78.2177589893341	0.05	100	10	-0.9297754019876724	0.17807732530356096	14
5	150.84726638793944	0.05	200	10	-0.9399234703858497	0.17780932614187883	16
6	144.97628202438355	0.05	100	20	-1.0207992607057546	0.12183639427737115	21
7	279.04022216796875	0.05	200	20	-1.033938645009748	0.0995956312245724	25
8	224.2412115573883	0.05	100	50	-1.0312491348109212	0.11098814559562206	23
9	446.02804346084594	0.05	200	50	-1.037178775961617	0.10645855339893116	26
10	8.975750255584718	0.1	100	1	-0.8022727454781874	0.15577193915320064	3
11	17.96952691078186	0.1	200	1	-0.7950880568244534	0.1469484663801311	1
12	41.970580387115476	0.1	100	5	-0.8312749402867858	0.14794799334173447	10
13	82.8828908443451	0.1	200	5	-0.8295058291276239	0.14791327292339945	7
14	75.14179935455323	0.1	100	10	-0.9454254780178312	0.17592588035025783	18
15	131.8914426803589	0.1	200	10	-0.9432861069924463	0.17631732801345706	17
16	139.42226934432983	0.1	100	20	-1.0121539733114537	0.150379714628746	20
17	224.58142681121825	0.1	200	20	-1.0109374644550617	0.1401582949172575	19
18	221.9226721763611	0.1	100	50	-1.0434371853288273	0.10383536079492979	27
19	351.6425840854645	0.1	200	50	-1.0516793017963706	0.08600450407598852	28
20	8.902929449081421	0.2	100	1	-0.8029205125400531	0.1318891172640556	4
21	17.819259071350096	0.2	200	1	-0.7996563336070914	0.12165549305101159	2
22	41.32471060752869	0.2	100	5	-0.8300020037282427	0.12319022872256664	8
23	80.79822759628296	0.2	200	5	-0.830725506254209	0.10398439900185312	9
24	62.76086745262146	0.2	100	10	-0.9363780254779044	0.1787924316873575	15
25	62.78587260246277	0.2	200	10	-0.8953559131455838	0.17946590892785855	13
26	105.96000738143921	0.2	100	20	-1.033628834908967	0.12059285215109548	24
27	105.61718611717224	0.2	200	20	-1.0304445972548835	0.1296948699857079	22
28	166.84958329200745	0.2	100	50	-1.0520740238777417	0.08552323702842683	29
29	167.13238883018494	0.2	200	50	-1.0600917629953677	0.10696157423886371	30
