	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
12	11	0.12462304343612073	7	0.6379357909256033	0.5367941872050799	0.032330873999382885	poly	-2.237591252510775	-2.1749627872273054	-5.298429798218044	-2.7108050697230217	-2.6919571379870972	-3.022749209133249	1.1593678896707922	4
13	8	0.6106842129979629	10	0.6757772157031918	0.06201298405203427	0.7490345993658044	rbf	-2.4187116124453345	-2.3729935449353907	-5.310300449845699	-2.9098758579585313	-2.881757329869759	-3.178727759010943	1.0891195603393324	44
14	5	0.33295851660208664	9	3.962819651860829	0.09810168037076332	0.0009680044476852044	poly	-2.282866484103585	-2.306972087684259	-5.3071074848095705	-2.7207810523720424	-2.6771832270390656	-3.058982067201705	1.1386037573886232	18
15	9	0.185427639181401	6	0.1205900898851218	3.1819027317917037	0.002414434133743	rbf	-2.105687910288688	-2.522838523532647	-5.301307267237512	-2.6482025324982432	-2.678222358262913	-3.0512517183640004	1.1434737375519142	16
16	18	0.25032590210394023	5	2.0772870702076363	0.001892379697457004	0.006100327370063372	poly	-2.2543436725204136	-2.2568922337035544	-5.287212615631277	-2.6792890165222643	-2.660157211758423	-3.027578950027187	1.1449104526873148	5
17	14	0.5467632009552702	20	4.389905956682511	1.1016927207690121	0.00010857163459957925	rbf	-2.3521592596393583	-2.454354902657271	-5.2980156578369515	-2.846695781471487	-2.798281558222698	-3.1499014319655534	1.0908842722703505	36
18	10	0.2904933654556075	10	0.26658588583039516	1.7913691127021907	0.010429005146226399	rbf	-2.4488765067393645	-2.4065033509146576	-5.2958584739169785	-2.9409164411226536	-2.8646017852659256	-3.191351311591916	1.073842486661688	46
19	19	0.1534613052673549	14	0.2889757162366467	0.43314528203892083	0.00045958933708565853	rbf	-2.3063526423226306	-2.444033694834854	-5.2640518131305765	-2.80136790196194	-2.6601670734009786	-3.0951946251301963	1.0977984192860815	26
20	17	0.147748718790585	11	2.3310277857272985	0.08961726487018026	0.0012673551296474546	rbf	-2.160770431931314	-2.2194624301073427	-5.266923835195654	-2.7783221593620313	-2.6509879236988305	-3.0152933560590345	1.1508492430591495	1
21	12	0.33311263543403463	12	0.33578629602543053	0.12857104212291368	8.362356196246699	poly	-2.247555963259412	-2.257075272427405	-5.315712033736478	-2.710651942149835	-2.6674087228583336	-3.0396807868862927	1.1547378779991615	11
