	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
118	9.629803098754271	0.013332967716097	0.0009158363390482227	poly	-2.7799842985446945	-2.456196751713164	-5.426584940438309	-2.989425911236113	-2.9017233009322694	-3.3107830405729097	1.0732458231263047	51
119	5.740726104512311	9.834468705147726	0.0007026798829364145	rbf	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	188
120	1.9620588917482087	4.847483312748433	3.7670843014933095	poly	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	177
121	7.295573382345877	0.007955280129401865	0.00038679516669236575	rbf	-2.2186714815067066	-2.271813402385263	-5.241753390528096	-2.9048660663904857	-2.68413604706238	-3.0642480775745864	1.1184247550398834	3
122	6.792605327579578	0.012157694650790718	0.004011702114033249	poly	-2.756337065760552	-2.443983170174804	-5.438250275704999	-2.976979950808897	-2.882747194127072	-3.2996595313152652	1.0843329486053588	36
123	0.7887880137165538	0.0076466137356202965	0.5785303925945042	poly	-2.7560864139134797	-2.4425366156166626	-5.438316183604309	-2.9759026552148344	-2.8814005804380165	-3.29884848975746	1.0847801140163802	28
124	0.5601641295994271	4.1659490607068195	1.2934148449462162	poly	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.658843188405783	0.16492165431815523	188
125	0.4453942608777147	0.0019127624820897144	1.3806468481855936	poly	-2.755792146530184	-2.4407356235634334	-5.438397964008703	-2.974523299241608	-2.8797313821219497	-3.2978360830931757	1.0853368776647654	20
126	1.339564116632966	0.007844315265598787	0.07492426344464528	poly	-2.7561001003420134	-2.4425888107685068	-5.4383165649686465	-2.9759391692863337	-2.8814556282181196	-3.2988800547167245	1.0847642437002223	29
127	0.11868546396560681	0.00948868424166592	0.02765481863365638	poly	-2.756196950318216	-2.443134850654871	-5.438292348805759	-2.9763403635780845	-2.881948802464047	-3.2991826631641965	1.0845969605138308	32
128	0.6691114851750913	0.3841583758820802	0.008567060111480633	rbf	-3.375535345247466	-3.3973974949067656	-5.437820013881313	-3.979427966854263	-3.7935325011552155	-3.9967426644090045	0.7567577237066975	111
129	0.6770861452632619	3.911537058590318	0.00021173852201020982	poly	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	188
130	2.480295496314483	0.04406729670098993	0.3178023769009935	rbf	-3.400610574941799	-3.4303818924566114	-5.447529905920898	-4.008541893623859	-3.8196039301635296	-4.02133363942134	0.7495886051632058	122
131	0.21575985618792728	0.01802346369630617	0.00047912287237952193	poly	-3.495819117927757	-3.54684574005604	-5.511892782441838	-4.120792277683354	-3.9245743640266704	-4.119984856427132	0.7339843190154599	158
132	9.354756411530003	1.3735974289312742	1.3756294451451279	rbf	-3.4535849516598867	-3.341155906431372	-5.496593712158308	-3.851035312473325	-3.7431843840651684	-3.9771108533576127	0.7820438424413818	107
133	0.44731604642399925	0.015722831866087993	0.128570488352838	poly	-2.756523736082759	-2.445092833468925	-5.438200831785962	-2.9778198591097875	-2.8838601637675643	-3.3002994848429994	1.083984083638275	39
134	0.6173821267446156	0.0019803898825274807	0.0014794441412298025	poly	-2.9635536266936966	-2.8381551867972403	-5.450232012611972	-3.282020080559187	-3.1900149018380644	-3.544795161700032	0.9656905451558124	76
135	0.4271910485687337	0.2001872370109972	0.31958559178000007	rbf	-3.4392750795094913	-3.4759921534348757	-5.472092283717275	-4.054498768254615	-3.862523661284737	-4.060876389240199	0.7428852585849383	138
136	0.21279653655831426	0.0012199346765869516	0.0003073071284957811	rbf	-3.0661779127671056	-3.1561672807791963	-5.3655389566214335	-3.6970330231424984	-3.522839975995203	-3.7615514298610875	0.8347402069207283	92
137	2.429771142094046	0.001748150429897783	0.04258526440698181	poly	-2.755785588692122	-2.440672296515562	-5.438399212359313	-2.9744725896920685	-2.8796778987843403	-3.2978015172086814	1.0853551691376573	17
138	0.32182954364736394	6.974472987121571	0.07079266074768258	poly	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	177
139	0.13176043885423336	1.7890988015514488	1.7893500673026497	poly	-3.822690835323197	-3.577434625236942	-5.803269083205038	-3.94743482930683	-3.969806209615023	-4.224127116537406	0.801784180759526	167
140	2.821913159315023	0.11529036734281617	1.268620347186034	poly	-2.7628438116465377	-2.4789077534617125	-5.43748936143568	-3.0048355250009102	-2.9158139793694575	-3.3199780861828594	1.0737146142596918	56
141	4.009567299717035	0.4042121596520936	6.911938191374634	poly	-2.8093935117814564	-2.5879991036041994	-5.440413562508482	-3.098837020982682	-3.025111587507797	-3.3923509572769235	1.0394611015541266	66
142	0.9773995456133839	0.3315745109682818	0.004871324951909992	poly	-2.7935304872222937	-2.559178351589737	-5.43938868563648	-3.073540214086453	-2.9948266183957486	-3.3720928713861427	1.048879397005038	63
143	9.099911363357538	0.001870515391053986	0.00023482972448999703	poly	-3.447860515301527	-3.5029945315992643	-5.5005552131375	-4.06478342894382	-3.877905079486223	-4.078819753693667	0.7472054186469462	142
144	0.10760211864012169	2.9891013170098106	0.0004419437576155835	poly	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	188
145	1.7676710058443057	0.049125706656753865	0.06213002014056864	rbf	-3.4134843121880887	-3.4483825816964457	-5.455493279926674	-4.025987742282996	-3.8355687436131656	-4.035783331941475	0.7467334039319278	132
146	0.43073905883935704	0.02674106880641304	6.03804901710057	poly	-2.757014141894291	-2.4485588226953867	-5.438087728162635	-2.980492959051444	-2.8871853708365447	-3.3022678045280607	1.082929342700852	42
147	1.8954357196114762	0.0014692034859257919	0.5324803792566049	rbf	-3.4181822326282063	-3.4552009486152864	-5.4585093824477715	-4.032714266945347	-3.8416250778877883	-4.041246381704879	0.7456827822478482	135
148	0.564216005904521	0.0029367528860605005	0.10856447449311533	rbf	-3.4751871653975055	-3.522621213319551	-5.495380323514217	-4.099862704494704	-3.9044652908160224	-4.0995033395084	0.7360810005469143	148
