	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	10	0.9505818372837345	15	-46.49152810224124	-3111.964353201664	-24.341024309142764	-93.29140943351385	-37.95378065585852	-662.808419140484	1224.7975226436552	46
1	0.3370867470516803	0.0002714670660442804	rbf	11	0.3161422215831339	5	-43.233502001815424	-3110.787276386508	-23.819934671797903	-93.33000726566304	-35.90347801669393	-661.4148396684957	1224.9151483456062	7
2	5.465160445240795	0.004510204632998514	rbf	14	0.4724223362030525	7	-53.16699146803086	-3112.1354464462647	-26.678319286776066	-94.50735074030702	-43.71165250447696	-666.0399520891713	1223.2515487619803	93
3	6.594578698864952	0.0011666128825437926	poly	19	0.39861066794470584	1	-43.82339420745926	-3111.8182988849285	-24.563263548359604	-92.39386198299131	-35.430774638799214	-661.6059186525076	1225.3258323086634	14
4	5.041841313149236	0.0007417607011378456	rbf	7	0.8662222513716047	4	-42.35574694525322	-3110.9249302633157	-25.055926126623998	-92.48954933763994	-34.44981503358142	-661.0551935412827	1225.1568872940463	2
5	0.5878941395052322	0.006128810667082614	poly	3	0.12603001028548488	13	-47.7645254702227	-3111.970506787784	-24.611786042975872	-93.23193135739211	-38.88566874388536	-663.292883680452	1224.5541772886388	61
6	0.555609136573991	0.024378432310349165	rbf	12	0.6885222737947579	8	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
7	0.4246091556540972	0.07296702896376615	poly	7	0.2836892848880621	4	-42.78842795898003	-3111.8493718025447	-24.30447518349373	-92.65326661425371	-36.38327053840632	-661.5957624195356	1225.3482505639747	13
8	0.41727127020837806	0.0025917829778016174	poly	7	0.2712327730471813	6	-44.79511021388951	-3111.880956335396	-24.472074925017033	-92.73972848993911	-35.14554824382768	-661.8066836416139	1225.259483129292	18
9	3.8649154409891877	0.005206255862163555	poly	5	0.31912082340829934	19	-48.55809661765096	-3112.0002100697466	-24.792484145061056	-93.33044061938223	-39.28533057169754	-663.5933124047077	1224.4175227833384	67
10	1.8567769547510444	0.04116527349563773	rbf	18	0.10032909171299549	12	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
11	2.6229426046971573	0.04185313399238152	rbf	17	0.902543874439369	16	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
12	0.20299172220124867	0.17603306988090964	poly	11	0.7388079788781127	12	-46.04681936285578	-3111.946415443536	-24.472589434068833	-93.17136390115589	-36.63046973960304	-662.4535315762439	1224.967672771349	33
13	0.7866991745594025	0.1977728179044527	poly	6	0.6895513801502724	13	-46.12798820303689	-3111.960073558742	-24.36247944255915	-93.15477514074905	-37.51629091725704	-662.6243214524687	1224.8875171572258	39
14	0.4144453913207415	0.020652944157466043	rbf	9	0.25257390817849795	8	-45.30569333199507	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-664.4680270787925	1224.0429098591483	83
15	1.0088973423575494	0.00968030522661845	rbf	12	0.2599571533355433	1	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
16	3.5465064303622706	0.9592979224337108	rbf	9	0.2888220167263865	11	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
17	5.9508349320949865	0.23691570420145702	rbf	13	0.8691832605608674	16	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
18	0.5561422377289044	0.008501946489371892	rbf	18	0.25032590210394023	5	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	94
19	2.0772870702076363	0.0002219526578729756	rbf	4	0.2980126425536631	12	-46.483357715138744	-3111.2460481739363	-23.225709483643314	-92.74477152298755	-37.47605010248041	-662.2351873996373	1224.7269849422278	27
20	2.989499979188534	0.00016138568428656022	poly	15	0.10165840122017848	5	-46.6839524160539	-3112.0004781320317	-26.101463316782617	-93.5693576905577	-40.24102937213808	-663.7192561855128	1224.3501103590227	70
