	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
59	0.9137859469250992	4.155731433993544	0.014514815149031097	5.538465847761886	185	1.9958324375489116	1.8736870790873916	2	-37.763264	-226.44388	-2.461748	-179.80936	-0.35366985	-89.36639	106.19408	78
60	0.6296750698929033	1.2466966008797125	0.10944961714819325	7.175957286195694	152	30.136560834655246	5.015711652184671	7	-38.092995	-226.46675	-2.4596004	-180.15903	-0.30932933	-89.49754	106.24575	148
61	0.6390058107640116	0.5959721318977705	0.17749128923252352	9.045561371242007	381	29.088636173937527	0.027278840648596953	7	-38.104706	-226.46346	-2.4602742	-180.15807	-0.31940934	-89.50118	106.240814	151
62	0.8279990588502101	1.9057641341796019	0.04045648224772828	3.449889538100746	108	2.187537600854649	0.047757627969891386	10	-39.616325	-226.16698	-2.5006156	-179.54146	-0.30723158	-89.62652	105.827545	166
63	0.645284214024391	3.0578995719037687	0.19386627805434312	2.3417114488080086	383	0.025454860556986307	0.2716649786003897	3	-92.03553	-226.26428	-2.573732	-178.30296	-0.31354222	-99.89801	101.93953	200
64	0.9858469277009921	2.4785109976913975	0.04195670263481786	9.123973339837354	221	0.08321640238290472	27.7253149423718	7	-37.923843	-226.36357	-2.4652796	-179.90685	-0.3430334	-89.40052	106.17096	99
65	0.7516673672905585	2.4934352351118125	0.041688585469557955	1.3546770235130614	309	0.04307781756014363	4.0038647132161325	3	-71.843506	-226.34349	-2.4995742	-178.58252	-0.32777134	-95.91937	102.8206	186
66	0.9667941499914363	2.96330830756333	0.16380961179553413	8.77341163010018	325	0.13081478853704828	0.010000555658515209	3	-37.79894	-226.25877	-2.528812	-179.81932	-0.42774007	-89.366714	106.102905	81
67	0.72920377567929	0.14773826426698936	0.18903567319229087	9.723484859040992	247	1.9348636676143374	2.9793274404925585	2	-37.37275	-225.99937	-2.536732	-179.85132	-0.46815142	-89.24567	106.06795	23
68	0.7727782233581205	2.9683285575814775	0.05110225461983683	9.980528117579103	371	0.9670702531254516	11.22766895474018	7	-37.779198	-226.2645	-2.4746299	-179.83638	-0.3699357	-89.34493	106.13399	61
69	0.899978057654621	1.4576438956980258	0.13255731581000887	7.322521462598833	222	0.4631597435818114	13.769797115729157	3	-37.41399	-226.13036	-2.4856555	-179.72198	-0.40131748	-89.23066	106.10198	18
70	0.9637080889837554	4.544483146416974	0.012642356931701113	7.968083972996991	342	5.345142789296895	4.525554241842906	2	-37.728764	-226.29028	-2.4720156	-179.97298	-0.37551153	-89.36791	106.176926	82
71	0.7175982311273531	2.0025152611536887	0.15313491425024545	4.9275803149565975	267	7.853256115387747	0.01757673434631811	9	-37.797966	-226.47357	-2.4724991	-179.9124	-0.31655064	-89.3946	106.226974	96
72	0.8659819491206454	3.995517655920035	0.01171690675655373	6.9431721264823825	221	2.9653039005187813	40.5232565489004	3	-38.085854	-226.47266	-2.459095	-180.13293	-0.3110036	-89.49231	106.2427	144
73	0.6833499359011759	1.5314334620348014	0.014506059608133335	8.026574420482905	259	34.27830068499641	0.3159951938284547	8	-38.110306	-226.46947	-2.4577308	-180.17648	-0.30795532	-89.50439	106.24893	152
74	0.6286752215183168	2.326717609125636	0.010464782526080843	5.779201739904375	277	1.9590116555304515	0.08093674839925537	2	-37.73013	-226.41608	-2.4652886	-179.57208	-0.389104	-89.31454	106.1305	47
75	0.9249211332177945	1.6916127227078896	0.011029240511775961	8.13768484943349	292	0.09623779514413829	0.013404515590774387	8	-38.018555	-226.29965	-2.5175302	-179.96527	-0.36531377	-89.433266	106.13596	118
76	0.983603111267088	0.8453040552625577	0.011638278584893223	1.6070740670766257	290	8.551991845534957	0.06789132372967435	8	-44.647346	-226.47241	-2.4699266	-179.62822	-0.32079983	-90.70774	105.375725	174
77	0.8314381912809675	0.5779946886356304	0.06218967290316307	4.220771105084324	342	0.15072144638461848	11.911046002208217	10	-37.290504	-226.47327	-2.4864795	-178.76912	-0.32771662	-89.06941	106.0408	3
78	0.7025673733595114	0.36603488556622443	0.012483621546069686	9.757967047405721	318	9.707414900957176	0.014453492025219547	7	-37.891026	-226.33636	-2.470162	-179.95752	-0.356334	-89.402275	106.17318	100
79	0.8098995047748301	3.9212153774863467	0.09845856165736255	2.1806343840766815	121	0.08768856735316426	11.949118755942127	4	-50.2023	-226.44696	-2.516341	-179.48364	-0.3262938	-91.795105	104.74684	176
80	0.6903731743220562	4.167125967998324	0.14304593309684632	3.4527042345438006	274	3.793268992814639	5.178709769792979	9	-37.21584	-226.3941	-2.4783185	-179.57689	-0.31379232	-89.195786	106.20024	14
81	0.7652664464207918	0.7981665701070801	0.021810836824579134	4.507168612983875	317	0.024668971032934573	43.64906602664392	5	-38.047527	-226.47383	-2.4649906	-179.99438	-0.3033011	-89.45681	106.2186	133
82	0.9224983513363366	1.3430371293867904	0.02783379839225072	8.433277298210974	400	0.04024061398453917	1.1280577739507756	2	-37.8549	-226.14458	-2.5130851	-179.80537	-0.42946675	-89.34948	106.05917	66
83	0.6002765410528194	4.962729945626969	0.05448745248018068	2.63818069111261	323	0.01913567185699645	0.3285322404269812	5	-77.14303	-226.08981	-2.5238948	-178.59879	-0.32496494	-96.9361	102.45562	189
84	0.687741214773638	4.024154135865277	0.04573861654403748	5.6303970102701575	212	0.036682673436452054	0.016946852123962686	3	-37.460037	-226.39925	-2.4743307	-179.14157	-0.42929876	-89.18089	106.05626	12
85	0.8517247961252411	0.7316675977067287	0.016752264556210848	9.81246746366585	359	0.7803802878519541	0.7899474060479758	9	-37.840626	-226.25102	-2.5060806	-179.94475	-0.3984808	-89.38819	106.13287	94
86	0.7675315829816766	2.3539386586318813	0.09644831121025507	3.7496421032109963	157	0.013388593425182194	3.894662311935416	10	-38.355564	-226.26155	-2.5387592	-179.26396	-0.3082126	-89.34562	105.941444	63
87	0.8521493732577972	2.0612055127583697	0.1555757780468479	8.392742877500238	253	0.07876116198282052	7.827002151920997	8	-37.59575	-226.16362	-2.485402	-179.8274	-0.4528662	-89.30501	106.10228	41
88	0.8519532210613009	2.035073270507033	0.10509611489203413	7.721623310350826	161	7.499901633717673	0.1136579418629454	8	-37.662865	-226.2072	-2.4779196	-179.90924	-0.38760626	-89.328964	106.140816	54
89	0.7357814581966425	4.773168394327066	0.15999733533579089	3.383169904067185	136	0.764712991146168	10.249942816185971	4	-37.397915	-226.44098	-2.4857464	-179.57864	-0.30801058	-89.24226	106.1932	21
90	0.8678324346025725	0.8774225970886429	0.06675708287155219	1.9707339086624103	376	0.01626937149164235	45.79906955524729	10	-45.03057	-226.47322	-2.7951725	-180.02414	-0.3240212	-90.92943	105.34904	175
91	0.7200287412787706	4.1855574929089965	0.015095459043741028	3.8976757476644996	106	15.856895350333206	0.048761270566227546	10	-37.87541	-226.44652	-2.4627686	-179.98622	-0.30266345	-89.41472	106.22948	109
92	0.6323721530032094	2.709125716072942	0.07181617817261117	2.8875074081770102	194	1.08721781968316	1.5217267133054868	4	-69.329094	-226.22516	-2.5149183	-178.43408	-0.31056434	-95.36277	102.90676	183
93	0.6003416133248051	2.9032528281114383	0.09985206223842331	5.4539315035060385	170	0.05568828647478179	0.5080923276684134	5	-37.3771	-226.3776	-2.4714334	-178.95825	-0.45448342	-89.12778	106.01584	6
94	0.7072664487243243	3.62955295455828	0.10166702501512827	5.684379721444036	152	9.678554788237886	18.929788048600855	10	-37.894394	-226.4729	-2.4703	-179.92227	-0.31675962	-89.41533	106.21757	110
95	0.7026443139314001	3.43808531814215	0.10479456393483584	4.431535652876206	382	2.2640485546366915	0.018265569263690613	7	-37.75712	-226.46683	-2.4962711	-179.48752	-0.31646237	-89.30484	106.13453	40
96	0.6266991090513946	0.9272202536366135	0.07618044533915246	3.7501973243108004	374	1.3511221872592079	10.682143385329192	6	-37.8841	-226.42413	-2.4849677	-179.3742	-0.3061776	-89.294716	106.08574	38
97	0.7978312271146509	0.6275024616838961	0.04896825043612836	9.255900803391974	260	17.316043298677855	0.14971647601009974	5	-38.015625	-226.42662	-2.464396	-179.98651	-0.32860416	-89.44435	106.20036	122
98	0.7176493125644413	3.6758603710992572	0.1417732280900594	5.24063970103062	152	0.015109499396813355	5.019169915790986	3	-37.32004	-226.43349	-2.4692361	-179.21124	-0.4020171	-89.167206	106.10594	10
99	0.7739364573091827	2.2148608738613556	0.017565145290290324	6.605029399478947	173	0.4051468220460454	4.494081160837134	10	-37.572018	-226.3634	-2.4648545	-179.88908	-0.40193114	-89.33826	106.197624	58
100	0.7832893225622765	4.277737503443487	0.05535593688911821	8.936290037057368	324	0.023677244110504442	6.5530136374699435	9	-37.760666	-226.18166	-2.4884005	-179.91148	-0.41841757	-89.35213	106.112564	68
101	0.6332267993120859	4.664361718573271	0.0303718348454549	1.4112866584258232	139	0.1505737530036085	0.1279376821726095	3	-75.33977	-226.10938	-2.4933467	-178.27551	-0.3212675	-96.50786	102.49534	188
102	0.9948988452121416	4.68207294466759	0.03914377624116961	3.105187725375417	141	0.01663172139596428	4.951116149814265	8	-38.136597	-226.34833	-2.4641745	-179.48409	-0.3127783	-89.34919	106.05692	64
103	0.690329161291444	2.601609965456083	0.01714310556426303	7.319370584330282	314	0.14207365852995424	37.401145766104555	2	-38.011578	-226.43893	-2.4628005	-180.04726	-0.3197821	-89.45607	106.21995	131
104	0.7479592295793918	1.7929895271393848	0.011027320480415773	9.940908414177196	101	9.2328160672039	12.809735329876586	5	-38.10189	-226.4715	-2.4583893	-180.14626	-0.30560285	-89.49673	106.24451	147
105	0.7739179099952125	3.849514088570712	0.03523072987143882	7.861929268650517	145	16.761718357009137	0.37314818091589663	3	-37.977825	-226.43204	-2.4650965	-180.05734	-0.34585238	-89.45563	106.218025	129
106	0.7360564121417585	3.45235072207264	0.023503902013735943	5.250475474811213	320	0.043159238785053566	8.85124672239106	7	-37.28145	-226.44254	-2.4787455	-179.71571	-0.38584623	-89.26086	106.22224	26
107	0.9935584285837	2.0275980293011617	0.1663211496602468	8.439316433588557	130	16.81442188545633	0.45903599064761696	3	-37.95795	-226.40453	-2.4683342	-180.03053	-0.33431503	-89.43913	106.2076	120
108	0.8065730424098013	3.8236745383605966	0.019939480809999296	1.4633803140355766	156	0.028280155308317612	0.9905564419090063	6	-70.70671	-226.38306	-2.4986992	-178.11644	-0.33529928	-95.60804	102.80572	184
109	0.9221606749602185	2.349661245719636	0.049748216251097654	3.817909522781363	152	1.115131885356102	5.736555366333923	2	-38.24016	-226.38638	-2.4671922	-179.38097	-0.3089478	-89.356735	106.03501	73
110	0.7738597799693594	3.2560260662236056	0.1774642742091439	3.4246331819695417	345	0.06560863407236465	4.300539243636938	6	-38.091587	-226.2496	-2.5144122	-179.45012	-0.3138923	-89.32393	106.01274	52
111	0.949892564060037	4.581025607708301	0.06540174800356977	9.410158364058972	180	1.0144567026439297	0.061621954347606374	9	-37.965775	-226.31349	-2.5066354	-179.9242	-0.3893552	-89.41988	106.13525	113
112	0.8863360393834335	1.8216539949135098	0.07351712346000401	7.756573054277011	226	9.85782384189959	0.024517619565603735	4	-37.70231	-226.29884	-2.4753428	-179.91666	-0.372944	-89.353226	106.170746	69
113	0.7546814395927341	3.0236124144873346	0.040529341998428677	9.258312764080268	353	0.03480684795215804	0.09011235974821515	8	-37.91345	-226.3109	-2.5452614	-179.95203	-0.38741162	-89.42181	106.1392	115
114	0.7412766131778596	2.9757827610627894	0.03014964940279075	9.425248778694149	230	0.032470965804976014	7.29252632875943	7	-37.736927	-226.23538	-2.4824452	-179.88159	-0.37784225	-89.34284	106.13612	60
115	0.7812188307027793	3.1479256431530787	0.10446985790515709	1.534775798390545	167	0.01642678626766848	3.133172482764853	5	-71.08707	-226.4005	-2.5234368	-177.91342	-0.32812324	-95.650505	102.74376	185
116	0.7669453048483169	0.4973955016519631	0.19067795259716805	5.420559040633515	388	0.04344958741551562	0.1766280002292613	6	-37.217094	-226.46289	-2.5027392	-178.5422	-0.48518002	-89.04202	105.962204	2
117	0.9578181499307402	4.776306384078994	0.1946993183749768	2.9352049796020756	252	6.862743416992122	0.07696661024572787	3	-40.709522	-226.47227	-2.4609518	-179.5031	-0.30694214	-89.89055	105.79805	169
118	0.9748379067881373	2.3004704129126927	0.025215233440420995	5.601324435696087	168	0.32737224875459003	24.969734569222922	2	-38.015663	-226.47345	-2.4601197	-180.01558	-0.31851146	-89.45666	106.22464	132
119	0.7635326946554022	0.8886068122126293	0.041593366362214265	4.614406680095499	251	2.2671183811897264	0.04975619256698067	10	-37.66744	-226.46387	-2.4978063	-179.58638	-0.31605187	-89.30631	106.16525	42
120	0.6808910442160383	0.289367972213807	0.08144582646735835	7.682510257978592	228	2.33447832349573	0.2053676198405495	7	-37.83467	-225.69572	-2.5404093	-179.3751	-0.4420793	-89.1776	105.81692	11
121	0.7015933188847416	2.746020561363904	0.02207821682452353	7.674830030764229	361	0.1329502632942758	0.04476730991255606	8	-37.987312	-226.12704	-2.5296142	-179.46559	-0.44961414	-89.31184	105.95749	45
122	0.812567816289614	1.0856318192578798	0.03479402026280123	9.608441571246034	251	0.08630235823360333	0.27623209962670825	9	-37.847878	-226.29553	-2.5453243	-179.90999	-0.42623997	-89.40498	106.12508	102
123	0.6569485697730609	2.124647527766723	0.14594288841737854	2.693083078599437	169	1.537587960558491	20.01347109033979	5	-44.061047	-226.46875	-2.4973192	-179.56079	-0.30797943	-90.57918	105.42171	173
124	0.6368310206012844	1.5439506700739403	0.0920573862589185	4.794592281721384	220	0.10459976956035957	7.219839578287664	4	-37.404263	-226.4645	-2.4904475	-179.3417	-0.3196015	-89.2041	106.146286	15
125	0.9440446333364332	3.638766101760975	0.018425891504928477	3.006022968801683	344	21.30953130743352	0.05327027371888644	10	-37.914013	-226.46854	-2.4578748	-180.08775	-0.3030226	-89.446236	106.25448	125
126	0.7966066562595093	3.831404970899783	0.023327126832360198	4.107401857761618	276	40.54640587698474	0.32850819617946275	9	-38.11705	-226.46939	-2.4559312	-180.17648	-0.30459082	-89.504684	106.24916	156
127	0.8224594311363611	0.12228906446810597	0.06340890199269919	3.519353687449402	168	0.1497969077465002	0.016067689528529227	10	-44.05223	-226.05113	-2.5811388	-179.21048	-0.33742437	-90.44649	105.19038	172
128	0.7248180628210177	3.6163328494306644	0.1816320091956441	7.393343021552203	182	0.11538541056051875	0.027686405383670547	5	-37.962704	-225.98538	-2.5657163	-179.37885	-0.4501237	-89.268555	105.88879	28
129	0.7526938433063647	4.109647832684663	0.023412952372856757	4.5969911498438405	302	0.029266653473038515	3.6290577187466666	6	-37.615883	-226.4681	-2.4866462	-179.51218	-0.31546047	-89.27965	106.15952	35
130	0.7063587493315178	3.97507499306901	0.01634224896405003	8.97312645751487	314	0.017189121178918083	0.061371600024887035	6	-37.960533	-226.25786	-2.5247703	-179.91876	-0.3967244	-89.41173	106.11153	108
131	0.6580244674370774	0.6753380095283353	0.021235570536972368	5.6345359911884545	251	0.044829226886915534	1.2248423496114231	9	-37.37385	-226.40681	-2.4954517	-178.6121	-0.46610904	-89.07087	105.94513	4
132	0.6149039928330553	3.018968524932758	0.055947759375528955	3.1738396792285215	259	42.74525243661676	0.034204480847953106	10	-38.11705	-226.46939	-2.4558945	-180.17648	-0.30459082	-89.504684	106.24917	156
