	best_combo	RMSE	pearsonr
0	{'model_config__colsample_bytree': 0.8658363022195431, 'model_config__gamma': 1.9335794975618112, 'model_config__learning_rate': 0.10207656870745763, 'model_config__min_child_weight': 2.761968963902088, 'model_config__n_estimators': 360, 'model_config__reg_alpha': 0.36389074991542725, 'model_config__reg_lambda': 0.23624386143456733, 'model_conifg__max_depth': 9}	104.8963	0.2095638262944362
1	{'model_config__colsample_bytree': 0.8331176099006692, 'model_config__gamma': 3.1774827318748833, 'model_config__learning_rate': 0.08520662666687567, 'model_config__min_child_weight': 3.1892294575793803, 'model_config__n_estimators': 295, 'model_config__reg_alpha': 0.2496575175605968, 'model_config__reg_lambda': 0.042426907381572655, 'model_conifg__max_depth': 6}	0.0817377	0.041002075823761294
2	{'model_config__colsample_bytree': 0.7026443139314001, 'model_config__gamma': 3.43808531814215, 'model_config__learning_rate': 0.10479456393483584, 'model_config__min_child_weight': 4.431535652876206, 'model_config__n_estimators': 382, 'model_config__reg_alpha': 2.2640485546366915, 'model_config__reg_lambda': 0.018265569263690613, 'model_conifg__max_depth': 7}	268.42487	0.3257092118851356
3	{'model_config__colsample_bytree': 0.812567816289614, 'model_config__gamma': 1.0856318192578798, 'model_config__learning_rate': 0.03479402026280123, 'model_config__min_child_weight': 9.608441571246034, 'model_config__n_estimators': 251, 'model_config__reg_alpha': 0.08630235823360333, 'model_config__reg_lambda': 0.27623209962670825, 'model_conifg__max_depth': 9}	3.0213752	-0.05479141906655103
4	{'model_config__colsample_bytree': 0.8134885327441472, 'model_config__gamma': 0.3715088212142853, 'model_config__learning_rate': 0.05046740743991307, 'model_config__min_child_weight': 1.7368927734170843, 'model_config__n_estimators': 167, 'model_config__reg_alpha': 0.5555889369889943, 'model_config__reg_lambda': 2.491849092137185, 'model_conifg__max_depth': 5}	105.78368	0.9999010498149589
5	{'model_config__colsample_bytree': 0.9200492655726493, 'model_config__gamma': 3.9534469882995635, 'model_config__learning_rate': 0.018940774569593324, 'model_config__min_child_weight': 1.3025780955722674, 'model_config__n_estimators': 106, 'model_config__reg_alpha': 1.2858103574995021, 'model_config__reg_lambda': 0.028959714288832168, 'model_conifg__max_depth': 5}	176.23561	0.2359536024067342
6	{'model_config__colsample_bytree': 0.9750517342483087, 'model_config__gamma': 2.299246397351635, 'model_config__learning_rate': 0.03165487642590819, 'model_config__min_child_weight': 4.21727716938495, 'model_config__n_estimators': 357, 'model_config__reg_alpha': 0.53728386380407, 'model_config__reg_lambda': 0.0572440879667854, 'model_conifg__max_depth': 9}	0.264465	-0.023113171500005157
