	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	10	0.9505818372837345	15	-2.1431517430702858	-2.270964615831194	-5.285435371567898	-2.728882978180736	-2.6875528172812637	-3.023197505186275	1.1538919728173889	43
1	0.3370867470516803	0.0002714670660442804	rbf	11	0.3161422215831339	5	-2.1406049967302043	-2.2269252913595343	-5.240333618388113	-2.6936945866318625	-2.5877099845643468	-2.9778536955348125	1.15036105354309	10
2	5.465160445240795	0.004510204632998514	rbf	14	0.4724223362030525	7	-2.4629330512636987	-2.8469497461835642	-5.358507412637436	-3.393678766236643	-3.118418652953768	-3.436097525855022	1.0092099079133696	61
3	6.594578698864952	0.0011666128825437926	poly	19	0.39861066794470584	1	-2.1312529368376483	-2.221421453267805	-5.290566243352708	-2.699871782482728	-2.7115584248189033	-3.0109341681519584	1.164497955124777	33
4	5.041841313149236	0.0007417607011378456	rbf	7	0.8662222513716047	4	-2.1101177953166315	-2.333865780808449	-5.239363479540357	-2.698990369014729	-2.535311397716326	-2.9835297644792984	1.1450379802816038	11
5	0.5878941395052322	0.006128810667082614	poly	3	0.12603001028548488	13	-2.1566472034025717	-2.218783634977102	-5.289871356024541	-2.745766545210782	-2.677672937059309	-3.0177483353348613	1.160345478178995	38
6	0.555609136573991	0.024378432310349165	rbf	12	0.6885222737947579	8	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
7	0.4246091556540972	0.07296702896376615	poly	7	0.2836892848880621	4	-2.1311439279213547	-2.2000566003298965	-5.285186659415419	-2.696877827935843	-2.6635723985218354	-2.99536748282487	1.1680631546444953	21
8	0.41727127020837806	0.0025917829778016174	poly	7	0.2712327730471813	6	-2.1624184600414456	-2.191012387538557	-5.295741029503004	-2.7140870489250317	-2.672412543033678	-3.007134293808343	1.1674961185847483	30
9	3.8649154409891877	0.005206255862163555	poly	5	0.31912082340829934	19	-2.1428602339996643	-2.250749492602871	-5.2905601611777975	-2.7730891672675777	-2.680868123645749	-3.0276254357387318	1.156913878409863	48
10	1.8567769547510444	0.04116527349563773	rbf	18	0.10032909171299549	12	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
11	2.6229426046971573	0.04185313399238152	rbf	17	0.902543874439369	16	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
12	0.20299172220124867	0.17603306988090964	poly	11	0.7388079788781127	12	-2.1537681149755947	-2.247102164971704	-5.285620026889683	-2.7245610223392163	-2.6717441957908457	-3.0165591049934086	1.1566563832152013	37
13	0.7866991745594025	0.1977728179044527	poly	6	0.6895513801502724	13	-2.1527369264131146	-2.259052388789697	-5.285527145191773	-2.7291676869205563	-2.702070039146095	-3.025710837292247	1.1531955235294349	46
14	0.4144453913207415	0.020652944157466043	rbf	9	0.25257390817849795	8	-3.064429161425213	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.046291872439388	0.8226349700994273	88
15	1.0088973423575494	0.00968030522661845	rbf	12	0.2599571533355433	1	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
16	3.5465064303622706	0.9592979224337108	rbf	9	0.2888220167263865	11	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
17	5.9508349320949865	0.23691570420145702	rbf	13	0.8691832605608674	16	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
18	0.5561422377289044	0.008501946489371892	rbf	18	0.25032590210394023	5	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
19	2.0772870702076363	0.0002219526578729756	rbf	4	0.2980126425536631	12	-2.133209403345619	-2.208833614168238	-5.251431972359436	-2.6926459427089253	-2.5732094306776885	-2.9718660726519817	1.1592131151722258	7
20	2.989499979188534	0.00016138568428656022	poly	15	0.10165840122017848	5	-2.989798790159181	-2.944040702841345	-5.589392678383188	-3.1791241913905637	-3.381078637929011	-3.616687000140658	0.9983969224712086	66
21	0.6081393640723801	4.988428866878584	rbf	18	0.6505733522461724	19	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
22	4.538437823448571	5.11736436950569	poly	16	0.16999285756661858	2	-2.157000441349294	-2.1825125254306035	-5.285601628948647	-2.699029902877006	-2.6661281645933905	-2.998054532639788	1.1666141873678373	25
