	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.04442051547936957	7.511186600478471	285	0.9814768764690818	0.7138871482375893	10	1.5*mean	0.5939051701261515	0.005771265268012857	-2.5460768	-2.614085	-5.2356577	-3.0811114	-2.8284013	-3.2610664	1.123431	83
1	0.7571769239483367	3.4042190724008785	0.0984224415303551	7.246284178796918	291	0.4703194864906779	27.829354606831092	7	mean	0.42439423005692484	0.15355942605193532	-2.4987903	-2.5689228	-5.2185493	-2.9060636	-2.8361783	-3.2057006	1.1383208	24
2	0.6921211516083859	2.787600604256549	0.22023829984609014	2.1985250118332513	295	5.9668285597373165	2.983045725871743	2	mean	0.25851267380428977	0.013466881283702508	-2.5250885	-2.6185238	-5.2336416	-2.9202878	-2.906497	-3.240808	1.1275388	59
3	0.7489538757540236	2.4392656587727832	0.0347107874126627	8.541261948783346	251	0.04615827183596095	0.033721063755484455	6	0.5*median	0.3969749847575911	0.005173694381132058	-2.4394848	-2.6175168	-5.226892	-3.048944	-2.9435172	-3.2552712	1.1290802	76
4	0.7130878906558487	4.612868346643117	0.043661527076940584	4.768815031028735	285	22.53369874356361	0.046503444980309463	4	0.5*median	0.3412320042091115	0.028822198600259294	-2.734659	-2.7907295	-5.2589955	-3.3242486	-3.0921252	-3.4401517	1.0442961	147
5	0.8091624804113381	2.1329412943532717	0.010048648978092845	1.8303611126207686	333	7.791412825488425	3.4073900729918005	6	1.5*median	0.6607942181034094	0.0022581793313663917	-2.5275884	-2.6091871	-5.2365084	-3.184266	-2.8288896	-3.2772877	1.1243517	105
6	0.8596475410240729	2.8313262853927164	0.19183438442541426	2.29265214134331	315	2.744632980292315	2.8031394193931862	10	1.5*median	0.367580088291994	0.002065171176755877	-2.474804	-2.592972	-5.2295933	-2.9505453	-2.8267672	-3.2149365	1.1417154	35
7	0.7374146118817433	1.6896882313949708	0.027781465334642305	2.489512604192087	269	0.08998421469987906	0.8375808970965196	8	0.5*mean	0.38480948744732923	0.011479530555991319	-2.4834228	-2.7102695	-5.217589	-3.0066457	-2.7488089	-3.2333474	1.1246536	50
8	0.9112854406175587	4.4477158640784005	0.0992971674928531	8.20431144098617	117	0.07523630128098245	0.23889667702015635	10	1.5*mean	0.2492676632066552	0.008259880725171974	-2.6469703	-2.615832	-5.2352715	-3.0165114	-2.8603096	-3.274979	1.107968	103
9	0.9366518561457025	3.954979902713496	0.0884120221675715	5.464153507453469	325	0.567779734944974	30.921729504726432	10	0.5*median	0.5595432930928684	0.05623000255339241	-2.5065	-2.5821137	-5.2362185	-3.1081097	-3.0296676	-3.2925217	1.1184328	114
10	0.6028573101115994	2.159258484995422	0.048317933470839056	1.4994955280145041	399	1.7706216863649973	11.59907931817914	2	1.5*median	0.23482868599575893	0.003390220094828606	-2.419363	-2.5590758	-5.2345123	-3.0909758	-2.775099	-3.2158055	1.1565678	38
11	0.8636633588282243	0.7491225452020679	0.02142847759780579	6.173763288302342	145	0.011772262073409995	3.3826611777497044	2	0.5*mean	0.5427824064461668	0.1753176563263784	-2.5947673	-2.636244	-5.206677	-2.9821334	-2.902529	-3.2644703	1.098414	89
12	0.7097034372777685	0.9285952104903784	0.19723935697353448	9.182642173847638	261	0.4297395000833836	4.575284645014641	2	1.5*median	0.246935319416369	0.03389327456778903	-2.5233777	-2.643887	-5.213419	-3.0228004	-2.7685926	-3.2344155	1.1216645	52
13	0.9231341837184278	2.793599191923565	0.017510819754243925	1.3197592434732703	354	9.733970560131038	0.014641617465835241	9	median	0.31461111217307997	0.0014008666225488863	-2.5133371	-2.5850728	-5.242969	-3.2014074	-2.8692415	-3.2824054	1.1290277	109
14	0.6597945213296922	0.21363280368687454	0.059576477772205726	7.270263119704716	276	1.248682226642295	0.06252413657911221	2	median	0.29095343692084435	0.0012293859168414363	-2.5298283	-2.6441803	-5.2355366	-2.9524798	-2.8261561	-3.237636	1.1286516	54
15	0.9904855288314907	2.8021201107788203	0.012762434870466889	4.060610363926861	323	7.070167871422788	0.19809094355792942	4	mean	0.6274442705492923	0.09583584641442007	-2.5653343	-2.558189	-5.218946	-3.0878766	-2.8443418	-3.2549374	1.1196917	74
16	0.7595592924273598	2.777048534833632	0.04626570045581626	7.242392750635395	133	0.018360451778815387	0.2160310739587512	3	1.5*median	0.2564617705481634	0.03138609089168424	-2.547807	-2.5820985	-5.22616	-3.0013592	-2.8815026	-3.2477856	1.122716	68
17	0.8039105973752977	3.476282121874331	0.0703109063559742	7.931064890255027	108	35.13949148882107	41.47482206567529	8	mean	0.3630839842365714	0.06579453520628296	-2.8211443	-2.8396492	-5.2812543	-3.3824856	-3.2465193	-3.5142105	1.0181881	149
18	0.651174548961732	4.152271793859341	0.02242444169217235	9.465090643735692	221	0.015540218131097561	0.010159218185100157	9	1.5*median	0.3926180743739865	0.01729782030741849	-2.5346808	-2.6008825	-5.232324	-3.105717	-2.913127	-3.2773461	1.1172742	106
19	0.8047078512454738	1.286710862344146	0.010212305036062757	7.671400767477001	188	0.26998267425888584	0.010360681065398888	2	1.5*mean	0.6619475847599167	0.009485846396679298	-2.6385486	-2.6217031	-5.229623	-3.0875716	-2.9931326	-3.314116	1.0907962	124
20	0.8374549317635489	0.29418001194778226	0.2886242309460772	8.368704933609688	341	6.53475996413069	0.049604041908433504	6	mean	0.2723233643701186	0.0235248522400171	-2.5303047	-2.5994806	-5.2236357	-2.7528927	-2.878474	-3.1969576	1.1409924	17
