	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_estimator_config__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	398	0.0017062829878430163	9	222	-37.933895	-226.32854	-2.4525461	-179.57886	-0.4864077	-89.35605	106.06117	135
1	0.6346973719359967	2.1549238310407923	0.010488173350748921	5.749883153386935	50	0.00018354619576988685	8	169	-38.05098	-226.46182	-2.4581969	-180.13107	-0.31607732	-89.48363	106.24215	214
2	0.8776126301687519	1.795267387594338	0.16193624274598412	3.3632539303905737	162	0.025246179740589205	2	184	-78.58151	-210.6771	-2.4881074	-179.14024	-0.33512715	-94.244415	97.784676	239
3	0.6921211516083859	2.787600604256549	0.15233625880424367	2.1985250118332513	245	0.10037820759012914	2	151	-71.068985	-226.09999	-2.4773204	-179.13687	-0.30760598	-95.81816	102.910965	244
4	0.7871011438979922	1.103760542459196	0.04350119050727972	4.3514622044655304	121	0.002483278923995014	5	214	-37.725826	-226.1563	-2.5374167	-179.59756	-0.42412445	-89.288246	106.03049	86
5	0.9074590026078038	1.638573918342045	0.05559077569074713	3.484441434976256	117	0.0017411531294131326	3	169	-75.03421	-213.432	-2.476045	-179.40915	-0.32910588	-94.1361	98.82966	237
6	0.9683974160524993	2.2233766043535486	0.035060306749138404	9.876008310599694	379	0.0005269949782291534	4	233	-37.88695	-226.16891	-2.4705446	-179.77768	-0.5005381	-89.36093	106.05103	141
7	0.770581429073977	3.2084613563058104	0.04789791979795337	4.733973805954989	322	0.04667056589451599	5	164	-37.24991	-226.38828	-2.5431592	-179.04375	-0.52983403	-89.150986	106.02256	47
8	0.9821873292011704	3.446277886439546	0.011725247540371561	3.779674163774174	310	0.016968916418416562	8	193	-47.92749	-214.58151	-2.47996	-178.94421	-0.32036567	-88.85071	101.11542	13
9	0.7791617388975647	3.3302432694613007	0.07259459674993006	8.547099688500134	385	0.00014407358738815926	8	188	-37.97575	-226.37799	-2.3745942	-179.18524	-0.5225094	-89.28722	105.99691	85
10	0.919557987111286	2.071703573097981	0.07724857183263156	5.517311401067938	247	0.1390806693696889	2	212	-37.59288	-225.65907	-2.4918442	-178.88747	-0.45445538	-89.01715	105.73803	17
11	0.9185562803130194	2.6597116272078987	0.039746036974966426	8.003922413895069	160	0.0006147547346303341	8	167	-37.98267	-226.31944	-2.4681141	-179.40826	-0.524213	-89.34054	106.00496	121
12	0.6947752953787321	1.9257054060011463	0.03177402658584699	3.0978157168766893	232	0.15383098741987497	9	171	-71.03345	-212.7807	-2.4834073	-179.25423	-0.32383195	-93.17512	98.807526	233
13	0.9146922369562037	3.2398271958480414	0.04419092260373825	5.257502275075509	135	0.5947148987886874	10	201	-37.247177	-226.10947	-2.4862626	-179.23642	-0.41953978	-89.09977	106.008316	30
14	0.9284910433226238	3.8265240879033877	0.010216299481893504	4.782311503052815	135	0.5732855918630535	8	165	-37.807793	-226.46428	-2.5870094	-179.8349	-0.30539855	-89.39987	106.185196	170
15	0.925318508171352	2.077878024126743	0.05798845219292568	2.67398999000587	127	0.0008350696457448296	9	245	-97.402954	-226.41595	-2.476548	-176.76247	-0.36552516	-100.68469	101.631355	277
16	0.6529895955266994	1.197985321036965	0.05596460847875783	2.5257135120958822	92	0.0543369053783271	2	205	-116.75967	-226.1915	-2.4819977	-178.64383	-0.5240308	-104.92021	102.07132	295
17	0.8130579219774694	4.005061651473466	0.18564616199260464	3.4683273387497913	337	0.012857104212291366	2	175	-58.956142	-218.94463	-2.4692733	-179.54488	-0.33131316	-92.04924	101.599495	229
18	0.8493693804667379	3.184828980740128	0.15272215151791899	9.662675392688113	364	0.00045665790441195225	6	177	-37.950665	-226.13179	-2.5429318	-179.24974	-0.67086726	-89.3092	105.86851	99
19	0.819885648320291	0.907111628017163	0.011123053876108095	3.5338043606364438	360	0.00015103063326622748	9	165	-75.86948	-208.99403	-2.4660861	-179.74013	-0.33958924	-93.48187	97.53602	236
20	0.9451554896343418	3.219470022860787	0.19957927927442543	5.660020692068923	352	0.06120453584776671	2	193	-37.21487	-226.15862	-2.4801836	-178.8646	-0.4955693	-89.04277	105.93457	22
21	0.6860831747393525	0.15777485439698874	0.024506884919286386	1.350796862937654	86	0.0009255751085004294	3	211	-62.090412	-226.327	-2.4660196	-179.89597	-0.35905716	-94.2277	103.74682	238
22	0.9706451751080226	2.34715705086305	0.10084854347323964	8.79579130675952	364	0.0005630810983741177	5	227	-37.78189	-226.25233	-2.471464	-179.78859	-0.43888295	-89.346634	106.10575	128
23	0.7801501778087421	3.4986360531237155	0.018976677239617806	3.914190125778743	397	0.0027740991235729383	3	211	-49.221546	-215.50461	-2.4688168	-179.08678	-0.31487834	-89.31932	101.30839	112
24	0.6793964223116391	3.2872737128549443	0.04605051686740356	7.201334509565097	58	0.6829042271667044	3	229	-38.048985	-226.27983	-2.48481	-179.88548	-0.4978048	-89.43938	106.08779	203
25	0.6827524567487644	2.432406373498559	0.10666608691490229	2.151427351638971	326	0.0063725670226612175	4	206	-106.95767	-226.13716	-2.4726567	-178.91249	-0.63041425	-103.02208	101.890144	287
26	0.8007227564473693	4.6207554500819885	0.03145273858814935	6.851154957657694	55	0.014246341622095584	2	192	-38.098564	-226.42116	-2.4718528	-179.9341	-0.35912353	-89.456955	106.169464	207
27	0.6968743561097261	0.1302659746813904	0.09213195335894636	5.047340661669693	360	0.07050097889203956	9	166	-42.0096	-226.16956	-3.4040787	-179.18266	-0.5314797	-90.25948	105.24008	219
28	0.9893902273078803	4.781378913922307	0.03568211224905802	6.342735964679849	345	0.0003919033333125763	4	187	-38.022575	-226.33252	-2.4798174	-179.62766	-0.46696556	-89.38591	106.06058	164
29	0.8546009369718669	3.8293152466862614	0.01756437000261566	3.768891310835664	248	0.052286198828079895	6	183	-58.480553	-215.51422	-2.4792912	-179.37654	-0.32671195	-91.23546	100.53482	226
30	0.7558652414747355	3.3430441601543173	0.010319042285057456	3.353671581775965	221	0.18517228143314116	7	157	-41.14744	-218.37395	-2.472627	-179.79836	-0.30381128	-88.419235	103.22807	9
31	0.6968090429856532	3.948561535768998	0.015471531738696406	8.445486960816375	387	0.0014371140864384748	6	229	-37.853153	-226.30623	-2.4554124	-179.88564	-0.41239893	-89.38256	106.144	161
32	0.8515405612258589	1.3670885431039645	0.12643020399810354	4.79128337739346	122	0.00030787716355942324	3	248	-37.77921	-226.00284	-2.5723085	-179.3828	-0.386081	-89.22464	105.929596	62
33	0.8585016437795169	1.6214233758291383	0.09572950816109065	5.8836849170295835	343	0.001460296505633499	5	193	-37.631733	-226.05367	-2.5495734	-178.83525	-0.43456298	-89.10095	105.84214	32
34	0.8073416868684027	3.694553285634811	0.011932335999497253	6.276080117044343	363	0.3772083934077408	2	216	-37.95416	-226.33705	-2.4356625	-179.40561	-0.5824157	-89.34298	106.008	123
35	0.6462856202437222	0.35774853863606404	0.08977658466305644	4.337874093605358	152	0.3207219073028014	6	190	-37.422504	-226.31909	-2.632007	-178.73561	-0.49628755	-89.12111	105.90269	36
36	0.8766772050976395	2.2157197632815153	0.01714265417596907	6.553454370841266	215	0.7475716181640162	6	169	-38.03056	-226.31514	-2.479792	-179.77562	-0.42506465	-89.40524	106.094284	173
37	0.7192052996803414	4.507921316420491	0.01639229101125416	8.000740599105532	317	0.004514356792057574	4	230	-37.88671	-226.2826	-2.460846	-179.87012	-0.39420417	-89.37889	106.1317	158
38	0.7178289206122456	3.4016477753347	0.08573913523693262	7.1997970386057455	54	0.012440334535162904	2	152	-38.00577	-226.23325	-2.47744	-179.41458	-0.39348882	-89.30491	106.00115	95
39	0.6596899802764347	0.8898800451625501	0.01171215656536543	1.4231184852961019	163	0.00018691762640427157	2	199	-46.26486	-226.35289	-2.466221	-179.84595	-0.33756083	-91.05349	105.20591	225
40	0.7564940803142549	4.553745807683919	0.020285623503049747	7.286570407828521	129	0.9927347071694937	2	150	-38.073	-226.42757	-2.4780166	-179.68654	-0.36875317	-89.406784	106.118645	175
41	0.9413362727733156	3.1804596652797894	0.1828957420094776	5.647242117557524	223	0.3030416898012761	8	237	-37.2196	-226.00967	-2.4784563	-179.29897	-0.3972826	-89.080795	105.99899	26
42	0.6437173332926777	3.5105405562849232	0.14436963122419502	2.222834934944025	372	0.0022851235263582448	8	192	-81.59377	-225.9536	-2.5644176	-178.66858	-0.42842206	-97.84176	102.1968	255
43	0.6951347094811691	3.3564947021894036	0.030679289032411718	7.9793429790372095	106	0.05364563272923682	5	237	-37.98986	-226.33958	-2.4967027	-179.77261	-0.48823684	-89.417404	106.08975	187
44	0.9740698745377079	1.6486308414883595	0.1451409187155974	5.718727787370591	237	0.14856849683485204	9	193	-38.82504	-226.22455	-2.5429466	-178.82578	-0.49534413	-89.38273	105.74017	163
45	0.8245272934699032	3.268398841493916	0.10209258163204561	5.2964818484028955	139	0.6471509293454213	7	187	-37.207943	-226.30998	-2.493919	-179.34164	-0.5087417	-89.17244	106.080055	50
46	0.8680310967860458	1.3468633376814365	0.152594166372082	7.743160980930819	276	0.01530924296540854	5	183	-38.024155	-226.31589	-2.515408	-177.97603	-0.49956703	-89.06621	105.69154	24
47	0.8962586923439156	0.2385249250017467	0.046434313124110886	8.135333698209749	312	0.00027085404493999525	4	181	-37.960934	-226.24571	-2.515422	-177.83665	-0.5883835	-89.02942	105.628494	20
48	0.9231150524867324	2.535931276125985	0.016189712797537982	7.60636609810307	73	0.2701363935603305	3	214	-38.09582	-226.42381	-2.4309797	-180.05911	-0.38736606	-89.479416	106.19975	212
49	0.65889203672464	2.743090428758219	0.033089857710478364	4.20995843843116	134	0.00019534108598776495	5	177	-37.357494	-226.42377	-2.5409818	-179.02498	-0.4296697	-89.15538	106.03829	48
50	0.9984407706552255	0.5028294932208062	0.03298378773469328	1.045648356805385	331	0.037814606463111036	9	209	-144.84914	-226.46931	-2.4731655	-179.90575	-0.40271726	-110.82002	103.967064	300
51	0.9360876622725238	1.8673864278131331	0.19404746855851326	6.6328231642986815	67	0.1325335858060406	6	239	-37.703865	-226.32141	-2.5516813	-179.30591	-0.7051909	-89.31761	105.96273	110
52	0.9127839288482866	1.7353886011729511	0.050438069863601415	4.007692969424021	298	0.005607724558750823	2	229	-37.740437	-226.20221	-2.5274682	-179.69926	-0.39627302	-89.313126	106.07306	103
53	0.6116681496849705	4.930799941298457	0.012965202164069625	6.585833519771062	232	0.2694235124574906	3	246	-38.018677	-226.37802	-2.510625	-179.61977	-0.5237115	-89.410164	106.05586	181
54	0.7397434936671916	2.890843444954623	0.11064632041268163	9.554008648043228	269	0.1668004252838251	9	191	-37.76029	-226.37923	-2.412357	-179.20094	-0.50205714	-89.25097	106.02331	75
55	0.9517933653520462	4.991119855775334	0.016608537315388455	3.9895986602992126	286	0.4847483312748428	3	247	-40.277946	-218.7687	-2.465561	-178.32518	-0.32009587	-88.0315	103.12661	4
56	0.9775095997200302	4.619464027906231	0.17782825740672203	1.4382328340471453	323	0.0028243307425671995	8	227	-71.43537	-226.44522	-2.4677236	-180.09572	-0.33138216	-96.15508	103.189285	246
57	0.7846865697461791	2.297552741176441	0.01938005329151499	7.772187122510664	82	0.4165949060706815	9	154	-38.096992	-226.34586	-2.4711185	-179.83911	-0.3522065	-89.42106	106.12675	191
58	0.6550150880943904	1.3185411441701262	0.030472765059576655	2.9506779126115563	328	0.029834474906079964	8	203	-107.44756	-226.3321	-2.5103643	-178.5428	-0.47519457	-103.06161	101.915146	288
59	0.9744098485624753	4.258512280114571	0.013463089811139637	2.8621431853338497	362	0.013230685572045832	5	221	-91.42594	-226.43742	-2.4881587	-179.10683	-0.30914012	-99.95351	102.18199	269
60	0.9763687707531821	2.135077621704558	0.14737979447726843	1.5864397790789635	182	0.05004083645329596	7	227	-90.482285	-226.44858	-2.4656367	-180.10774	-0.32501292	-99.96584	102.40255	270
61	0.9656549618236104	0.9182280777296784	0.025613611042373478	2.2248044266847162	271	0.8751146751906158	7	177	-111.13997	-226.41916	-2.5098655	-179.37704	-0.7808213	-104.04537	102.070526	292
62	0.8978608522545453	1.6940054705064187	0.024500819211430335	6.596454328299781	55	0.0036996115393571226	3	224	-38.093704	-226.43417	-2.46519	-179.95193	-0.36921805	-89.462845	106.1773	210
63	0.7530937010012946	1.6450242524032714	0.05604791258812159	7.308256944374895	330	0.00045282365971214004	7	221	-37.839966	-226.33397	-2.4561887	-179.43166	-0.50478816	-89.31331	106.03843	105
64	0.6995435926354492	3.4946351558320896	0.011992247256023355	5.7326668265334195	219	0.0010357425516427056	5	155	-37.875504	-226.41309	-2.47142	-179.74217	-0.3101946	-89.362465	106.16335	144
65	0.8279990588502101	1.9057641341796019	0.04045648224772828	3.449889538100746	58	0.03391454948047599	4	196	-41.272316	-217.56427	-2.4645553	-179.55843	-0.31918016	-88.23575	102.90443	7
66	0.9146976942439864	4.352462695201722	0.11036693236513949	6.864871091443454	170	0.00039474460161881915	6	183	-37.970886	-226.27661	-2.494149	-179.63039	-0.47416914	-89.36924	106.04493	152
67	0.9858469277009921	2.4785109976913975	0.04195670263481786	9.123973339837354	171	0.0009887750159219661	3	155	-37.76277	-226.26968	-2.5554197	-179.53596	-0.43111214	-89.31099	106.04434	101
68	0.7516673672905585	2.4934352351118125	0.041688585469557955	1.3546770235130614	259	0.0004851439260820755	2	155	-73.1804	-226.27596	-2.4924235	-179.973	-0.3100364	-96.446365	103.00882	248
69	0.924899184456424	3.2303871986516444	0.01133299395736929	7.707346497278002	288	0.003183397013188504	5	246	-38.023335	-226.20744	-2.4970164	-179.73965	-0.5031759	-89.39412	106.03286	168
70	0.8428550187600661	1.6827462520713028	0.010296160135940105	9.830614169120835	165	0.00220548080623394	5	168	-38.08828	-226.29597	-2.4455924	-179.99208	-0.44203496	-89.45279	106.1307	206
71	0.7735920836593712	2.3882643300297834	0.036473221824660666	6.268358575149652	322	0.0008056726593206123	4	165	-37.92505	-226.30463	-2.5073583	-179.59898	-0.4313311	-89.35347	106.05913	132
72	0.8147038794434218	4.140697550387968	0.01458990375245124	3.688322288911836	139	0.005314165845793436	2	189	-40.288376	-220.0463	-2.4686172	-179.63544	-0.31756678	-88.551254	103.81712	12
73	0.997388999621031	2.4952924793449593	0.03853750263065809	8.637355220384066	291	0.43359162979440746	8	231	-37.851273	-226.28105	-2.4778314	-179.82988	-0.42481077	-89.37297	106.117035	154
74	0.6313069023593958	3.893734607520584	0.010473167162837378	2.2171199803169137	265	0.199795401059477	6	180	-75.37518	-226.03229	-2.4967642	-179.36139	-0.37749678	-96.72862	102.67274	250
75	0.8228061748635703	4.679321702620837	0.10429632949900017	1.595961496661539	353	0.00012947848571884534	9	161	-85.58221	-222.34277	-2.469842	-179.95792	-0.36401024	-98.14336	101.23132	258
76	0.69998463331164	1.9614728417930503	0.01362969489398086	6.929394055970158	171	0.04712500671232904	4	151	-38.04037	-226.3848	-2.4724696	-179.96783	-0.32679948	-89.43846	106.17863	202
77	0.6833499359011759	1.5314334620348014	0.014506059608133335	8.026574420482905	209	0.6648238999265993	8	234	-37.94673	-226.31485	-2.477412	-179.98755	-0.37278822	-89.419876	106.16096	190
78	0.7817728660510723	0.17430882989217525	0.04907678346992924	7.506622441924912	364	0.07286166172540864	3	150	-37.92481	-226.39983	-2.6137989	-177.4954	-0.41352135	-88.96947	105.62784	14
79	0.6982052573271351	4.369644006194799	0.081221816558941	8.710147412823986	300	0.011912240466794892	2	209	-37.864613	-226.40115	-2.419848	-179.76295	-0.5393225	-89.39759	106.12781	169
80	0.7256097526383453	3.6746095816476125	0.17688780201123605	2.368925815788371	296	0.00018612756530887828	6	167	-99.48247	-225.86935	-2.491906	-178.7654	-0.54728174	-101.43128	101.77891	281
81	0.7054095550690057	2.9351178431918528	0.013394157252260203	6.490622412236771	185	0.00011451817657703297	4	185	-38.07333	-226.3794	-2.4765275	-179.86642	-0.40420273	-89.43998	106.13422	204
82	0.7420983667122403	1.5316103416982518	0.1010889364897077	7.1512036424247	187	0.00016488127425724094	2	165	-37.93212	-226.24246	-2.5495074	-178.64955	-0.48873526	-89.17248	105.81616	51
83	0.9892429798846987	2.1191060405745765	0.04363411584183253	6.321813867532351	383	0.024662006881660686	10	188	-37.97113	-226.36598	-2.488358	-179.09186	-0.5942121	-89.30231	105.93546	91
84	0.8527516368960786	0.4427014140119899	0.07450885424401604	3.2942837498380504	51	0.03482726348400598	9	185	-86.292656	-213.34978	-2.5242765	-178.99185	-0.3670744	-96.30512	98.27989	247
85	0.932010283101904	4.451805909444469	0.022623521035946566	7.77065768297779	167	0.0001564525134592723	9	213	-37.940598	-226.32912	-2.4309428	-179.59755	-0.48674196	-89.356995	106.06888	137
86	0.7532324020340531	4.905325054940011	0.07023209388602049	2.9476070887684678	267	0.0002655003604001375	10	228	-86.74331	-226.22528	-2.6262336	-179.13916	-0.3155438	-99.0099	102.20727	260
87	0.9729998148887198	4.050604803870123	0.02138191758390892	4.075372826256704	354	0.029583318104409763	3	179	-37.35367	-226.43686	-2.5448098	-179.2612	-0.42182112	-89.20367	106.09394	56
88	0.8219354404479837	1.6065032250601197	0.18740755529078645	8.015683464195913	305	0.018354144052498744	2	155	-37.817787	-226.35835	-2.325936	-178.86621	-0.3777166	-89.1492	105.98238	44
89	0.740448731411085	0.2057149783447411	0.014887885092477793	2.9741773324068563	99	0.3474811656783792	7	184	-38.41049	-226.34087	-2.4638631	-179.81857	-0.33301473	-89.47336	106.088455	211
90	0.651674136974214	2.138231305058842	0.011899005695255791	2.0758499405190576	357	0.014856985667128278	6	232	-81.097565	-225.75922	-2.5093014	-176.7053	-0.3652855	-97.28734	101.79772	253
91	0.9516740083073468	0.6701166493574374	0.027055206762738458	4.756381456681077	249	0.006917512067176221	7	233	-37.39506	-226.12611	-2.5539553	-179.4423	-0.4597048	-89.195435	106.01717	54
92	0.7222063156982665	1.7827792068413266	0.03218993545948043	2.3609661867022766	369	0.8971291600221055	10	176	-97.43781	-226.07094	-2.5071244	-179.21721	-0.53590024	-101.15379	101.94008	278
93	0.8091673023408053	3.683536028767664	0.11325089171029444	5.2479112151189335	272	0.00010986081659093304	6	191	-37.474686	-225.80458	-2.4809542	-179.26144	-0.46975145	-89.09828	105.87797	28
94	0.9413047635114603	2.9148172263767607	0.0148460096874764	7.995325746339364	108	0.4486568959886574	8	186	-38.10733	-226.40442	-2.4731836	-179.79399	-0.41132203	-89.43805	106.12195	201
95	0.6236803381255502	4.34798693608482	0.01587236740384451	5.961875609415764	321	0.00037528898601033755	7	152	-37.856876	-226.3748	-2.4851942	-179.56003	-0.30997816	-89.317375	106.11174	109
96	0.8678324346025725	0.8774225970886429	0.06675708287155219	1.9707339086624103	377	0.0331139393391392	6	228	-81.36205	-226.3774	-2.5339637	-179.9579	-0.36414364	-98.119095	102.617165	257
97	0.9698681191688451	1.5456738700743922	0.030554651416183156	5.062162110486527	320	0.18145507653106713	4	188	-39.144855	-226.41002	-2.515629	-178.89594	-0.46617633	-89.48653	105.78862	215
98	0.8931567708781372	0.4965588742893148	0.04929075532529965	6.9229999557682635	245	0.04227494835968639	6	213	-37.672085	-226.38116	-2.5081754	-178.54784	-0.5432373	-89.1305	105.8682	39
99	0.8359939834053093	0.855666025014108	0.034231832174190784	9.997597127505752	221	0.009539489024435055	8	222	-37.611298	-226.37155	-2.478044	-179.7169	-0.5420806	-89.34398	106.12676	125
