	param_model_config__model_params__add_norm_dropout	param_model_config__model_params__attn_dropout	param_model_config__model_params__learning_rate	param_model_config__model_params__num_attn_blocks	param_model_config__model_params__num_heads	param_model_config__model_params__transformer_activation	param_selector_estimator_config__n_components	split6_test_score	mean_test_score	std_test_score	rank_test_score
35	0.21755356389257885	0.054858860360921975	0.00010085775481428665	6	1	Tanh	266	-43.549702106842915	-665.8975149284415	1289.45827803134	23
36	0.27246818593954103	0.14744519500132722	0.00037597579319873837	5	1	GEGLU	111	-43.62978775338533	-665.947496407691	1289.440319137723	47
37	0.050374092765253946	0.06503283733939594	0.00011839580168259654	1	2	LeakyReLU	203	-43.57755153198884	-665.922635605773	1289.4546479810513	46
38	0.0536793228441009	0.293952425431202	0.004340002555607567	2	2	LeakyReLU	180	-29.362851151480093	-667.2099315785048	1288.7503330639802	53
39	0.07775020212502136	0.1454743322705116	0.00015268968682166715	2	3	LeakyReLU	476	-43.53982385109895	-665.8957210244176	1289.455801318802	20
40	0.1705803248617595	0.21609120310114424	0.0018159351827212056	6	4	Tanh	321	-43.55056403219686	-665.9008484026363	1289.466005793456	29
41	0.2201486943699092	0.1415293833987006	0.00037909287601305255	5	3	Tanh	495	-43.51376881266728	-665.9003663269455	1289.4713207385503	28
42	0.29244459193310357	0.09758908058856622	0.002288427079987082	6	1	LeakyReLU	197	-43.57430115046136	-665.9078569009357	1289.4533645622346	40
43	0.15541879322931873	0.08270605622420167	0.0003489851637847513	4	2	GEGLU	313	-43.53304682983008	-665.9011530818374	1289.4627860776727	30
44	0.08423601598243721	0.1332900423402728	0.0027075799162039876	3	6	Tanh	131	-43.483133001382434	-666.7823596852861	1288.699624959989	50
45	0.055572485040464345	0.14293760026158125	0.001464158353083647	1	3	LeakyReLU	274	-43.532358623344834	-682.0364833160822	1281.0030226644865	60
46	0.07731317698909551	0.18361015675224504	0.008728025123231191	2	6	GEGLU	99	-36.105705785220636	-664.9069017464192	1289.8175946384188	6
47	0.0944294375981367	0.14779009716494684	0.001336416053078736	5	1	LeakyReLU	374	-43.56054272345007	-665.8996643483827	1289.4645724414154	27
48	0.10838265762109543	0.06901969436797403	0.0017143558403491111	6	3	Tanh	194	-43.539272007839664	-665.898260014353	1289.4625225315867	25
49	0.2526470987902411	0.14628942814870796	0.00027750624948811724	2	1	Tanh	310	-43.54624194366019	-665.9099432367144	1289.457321353396	41
50	0.12928555034491396	0.054021015475154595	0.007276279205743476	3	6	LeakyReLU	124	-40.401548387389	-672.5212216056941	1285.6763297635434	59
51	0.2427468393464612	0.08143835907086547	0.0003567402177205784	1	3	LeakyReLU	369	-43.55088496830672	-665.9063962996344	1289.4668928456535	36
52	0.1727657137931548	0.07114002330625877	0.00013671782122469321	5	2	LeakyReLU	69	-43.58204990963348	-665.9196499481304	1289.4656831395932	45
53	0.10078831044764154	0.2548315776529302	0.00029663564299463844	3	6	LeakyReLU	421	-43.56551136256009	-665.9020893715774	1289.475014822746	32
54	0.05446842149523818	0.10046606163025128	0.001197053060554653	5	2	GEGLU	193	-43.54879990852774	-665.8729822235292	1289.450031253664	13
55	0.23782300466147496	0.19178926479270852	0.00016541948578448982	4	1	GEGLU	426	-43.565067562893624	-665.9123833463353	1289.4508476369062	43
56	0.08537091961763082	0.11942379277155181	0.0010235445128347802	3	3	LeakyReLU	186	-43.53528405396777	-665.8659103454654	1289.4811441943596	12
57	0.07960779136094968	0.05519097038698975	0.0006242539916968565	6	6	Tanh	194	-43.537325396259035	-665.9044369263962	1289.460433711256	35
58	0.09724862342762067	0.12934284386292394	0.0023360441406204465	5	1	LeakyReLU	142	-28.782713915078585	-662.2267421334557	1291.4215949737118	2
59	0.053622085396877156	0.2070282885674118	0.00012703219146086256	4	3	GEGLU	352	-43.53276084516334	-665.878739012808	1289.4589091265984	14
