	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
12	relu	0.0014378415197380937	112	adaptive	0.0039221293632397585	0.8227590045238535	0.20300330035918512	0.042835053510240736	median	-108.85500585935742	-3112.0401580939965	-28.347993405571042	-108.29757379682506	-35.80547732743005	-678.6692416966359	1217.1686543114688	37
13	tanh	0.0011781806480761514	117	invscaling	0.0007168192605234181	0.7699344968945508	0.6097128982029936	0.10821323080702568	median	-52.47264795677011	-3112.155302848712	-27.46813334193192	-94.51600432273213	-40.653746351580146	-665.4531669643453	1223.5575116220255	21
14	relu	0.00010505816860794135	56	invscaling	0.007571562532681441	0.5958133592728447	0.6693073892998659	0.00999738616891198	1.5*mean	-52.43947173497885	-3112.115953102467	-27.90671472760683	-96.52967989727384	-43.710351813151426	-666.5404342550956	1222.9997718682903	31
15	relu	0.000361407085954778	97	constant	0.0014510915716710925	0.7011196431488789	0.6586569849912451	0.022296021595279873	1.5*median	-50.471806062705156	-3110.3157805154133	-37.36339763298187	-93.48185429452845	-43.042836631301505	-666.9351350273862	1221.8499787134865	32
16	tanh	0.022217257776388315	54	constant	0.0002761590822711846	0.7477443706887075	0.46581377448586947	0.0161334264435812	median	-47.283613785748194	-3111.482780895234	-25.762056387369945	-94.06195206944828	-32.58469135999586	-662.2350188995591	1224.8557328226968	3
17	tanh	0.0038181885684900733	68	invscaling	0.0017654153660401802	0.7833006206802158	0.7369810275991446	0.24225763991866958	1.5*median	-53.581921287385654	-3111.9776842436077	-26.416917608856494	-94.14844223977246	-43.49895321560435	-665.9247837190453	1223.2294129316667	24
18	relu	0.00031238720293502823	72	adaptive	0.007746577286361521	0.6545260315695591	0.5935492584472161	0.014016085065204216	0.5*median	-137.09123934289877	-3111.75541269057	-49378.60285132544	-94.61875531609833	-40.16192325546052	-10552.446036386094	19448.332649561366	57
19	relu	0.00013623816408395034	27	invscaling	0.000528729199610515	0.5286300285643484	0.20464041232696129	0.0011414196733690479	median	-52.23771619538533	-3111.1092073012287	-35.536319851789216	-94.66152701215633	-43.1333068756763	-667.3356154472473	1222.058040963106	33
20	relu	0.012305172509398046	68	invscaling	0.000459954023154785	0.7656556344378509	0.7584629753774716	0.287531760000094	1.5*median	-384.91094783980344	-3110.6951735349253	-27.5803169008671	-94.75178986415499	-60.58781277143239	-735.7052081822367	1194.293062217755	45
21	relu	0.00010758202651941427	69	invscaling	0.007132238797440273	0.7063715658955863	0.6400096411945775	0.1398556571205765	0.5*mean	-52.544122453975746	-3111.9693878370804	-54.943307733524705	-1027.239478219839	-45.006396681223244	-858.3405385851286	1188.5821169079402	51
22	relu	0.04148408824593879	67	adaptive	0.000349293448999843	0.6247488122124328	0.18444269981431072	0.18028004366029093	median	-2510.2046941406084	-3112.027415337184	-598.3077816873985	-122.21266775378442	-44.68855684980181	-1277.4882231537554	1280.6925192030749	55
23	relu	0.010415571116059813	95	constant	0.00023181472837610013	0.8132098721834415	0.4687145446591814	0.003102318717634362	1.5*mean	-66.91733402562383	-3110.9090844489306	-103.83629409380558	-93.7454287382313	-38.41314157761933	-682.7642565768421	1214.285292823038	38
24	tanh	0.003383214085910962	46	constant	0.0034692583502573563	0.6768717134018932	0.7710129651755101	0.2646994729237075	mean	-51.102212172263435	-3111.952785469425	-25.905753139929047	-94.02167318773398	-43.07086411406913	-665.2106576166841	1223.5768682396708	20
25	tanh	0.00020923302443652317	24	constant	0.00029197266320758866	0.7029853713277441	0.2934220303475553	0.017499938230245406	median	-52.90970080429169	-3109.6850673124236	-24.46869740139759	-94.0290579486736	-41.40388649392083	-664.4992819921415	1222.8081319792366	19
26	relu	0.0014045377515794577	25	invscaling	0.0031908553894847325	0.5277493985764409	0.6213765715772667	0.2208209185212824	1.5*median	-53.79053816865132	-3112.096387835382	-63.188815099777415	-98.205905219305	-55.73843945931633	-676.6040171564864	1217.8519096195603	35
27	relu	0.01040177978871509	108	invscaling	0.002055419976422855	0.5661186420620946	0.7814328977887905	0.23259515010515125	1.5*median	-263.63642556216064	-3112.045823665818	-32.22465861325337	-94.0655457692566	-46.66091652697326	-709.7266740274923	1203.9798678552036	43
28	tanh	0.00603826248810954	59	adaptive	0.009490053682737176	0.8684352466804846	0.545551639700767	0.07678903264233254	0.5*median	-43.901396103415486	-3110.1074246543176	-35.20144319539643	-93.33803024329167	-30.00999393141175	-662.5116576255666	1224.0048016449412	6
29	tanh	0.0008374594166594711	119	invscaling	0.001556317641012455	0.5413571834736975	0.7269269896504593	0.013967335391597687	0.5*median	-53.08500104909314	-3111.9977991927713	-25.97770014281431	-94.26584952843793	-43.71551575499264	-665.8083731336219	1223.3001519212353	23
30	relu	0.0006089157309564449	63	invscaling	0.007498536250614156	0.8040580847033126	0.44893023557807876	0.0832876610229756	1.5*median	-185.97754334290585	-3111.093542717824	-490610.02014013863	-96.0743772646717	-40.96448688937764	-98808.82601807067	195904.05598946323	60
31	relu	0.0008155794813745746	101	invscaling	0.00042663807145458104	0.5171099944634969	0.498264415420686	0.27660324965987904	0.5*mean	-53.03223092671215	-3112.041086132027	-26.717333268254908	-94.48294780412262	-43.44178361821088	-665.9430763498656	1223.2529800892298	25
32	tanh	0.010947264655383442	33	constant	0.00015321538549715953	0.7848290580571766	0.296616166214244	0.00470218091431778	0.5*median	-42.23880022738721	-3112.1820031293573	-25.692429690001955	-92.49112135072808	-41.2217910082158	-662.7652290811382	1224.9151919196738	7
33	tanh	0.0004078743695443895	74	constant	0.0012429680962546233	0.8223307889013955	0.46284795201970463	0.06564056571655053	mean	-51.61096519649989	-3110.6526602008225	-24.927706058210337	-93.42718831060097	-39.54152089450027	-664.0320081321267	1223.5231658569153	16
34	relu	0.005737112582285398	77	constant	0.0015722530835168788	0.6516654257436206	0.7896537587656826	0.0019348073754138955	0.5*median	-139.28848866937938	-3112.055254610032	-537.7357678940251	-112.08644754757604	-38.27056025058078	-787.8873037943188	1175.0442491241433	47
35	tanh	0.01577123592040779	99	constant	0.0005283602746460414	0.8944394704203075	0.3291055525607706	0.15926947501717736	0.5*mean	-49.73073058438143	-3111.6516066386903	-25.668365953845715	-93.99219131460961	-38.383697231548794	-663.8853183446151	1224.0994234412472	15
36	relu	0.0009708421685516911	79	invscaling	0.008646222401511638	0.6823704381052798	0.21202342301172947	0.005472867751179711	1.5*median	-137.43156558174414	-3111.9224340680557	-6667.373141601547	-92.95080715809343	-41.76205146053795	-2010.2879999739957	2606.181420681234	56
37	tanh	0.00031255765977960685	89	constant	0.00018609266817535574	0.9326271710470656	0.4711437702640936	0.0012791962130050936	0.5*mean	-50.68379671578043	-3112.1276739893947	-24.415552305984285	-93.58272688308399	-38.08640732458076	-663.7792314437648	1224.3935303951882	13
38	relu	0.011657327907811474	24	constant	0.005802634368143608	0.622516740096559	0.2933232255612124	0.1222911517231956	mean	-137.25719411335385	-3111.317651203735	-765.9603681880412	-93.27015754361186	-38.24779850635058	-829.2106339110185	1171.1569654906027	50
39	tanh	0.011913148624370503	72	invscaling	0.00013671782122469321	0.7868566332664956	0.7739124281930988	0.24374070586393626	mean	-52.98844612936114	-3111.9156011329474	-27.965269108709855	-94.56364529454906	-42.94670577126654	-666.0759334873667	1223.1197404152074	29
40	relu	0.05330686565467342	84	adaptive	0.00010263226366395223	0.9496437356287962	0.13344124888015507	0.009219549081410108	0.5*median	-54.46037515371419	-3112.008026285004	-2143.146101965957	-111.0712393037085	-35.635339101482366	-1091.2642163619732	1291.507169978458	53
41	tanh	0.047336954414223927	61	invscaling	0.0007398131037706061	0.891669017639126	0.6252166629459028	0.0018652319189402184	0.5*median	-52.39223978763371	-3111.9520205195577	-27.51894242178748	-95.29103884732294	-43.63884334810983	-666.1586169848822	1223.1022715059476	30
42	relu	0.04716232342647426	42	constant	0.0008779638605110252	0.6528773391788751	0.4251596233473076	0.00262552752722458	mean	-57403.54021343221	-3112.051790221281	-2949.1174140798666	-100.36062836433067	-36.588269090868025	-12720.331663037712	22380.910668562796	58
43	relu	0.0006007769744018701	36	adaptive	0.0002463477832481475	0.7144822820268623	0.17249100625438477	0.0033506214631468852	1.5*mean	-93.70147070565977	-3111.579973092686	-59.51944717461758	-113.47932285825384	-43.476586698432186	-684.3513601059299	1213.8645978089146	39
44	relu	0.00021876458081352985	68	constant	0.0002351855601672553	0.9084580734881889	0.6239275979725258	0.010888426117719367	0.5*mean	-99.89534412908527	-3111.9382852493013	-26.364412178106313	-93.21024137562515	-37.007912106439065	-673.6832390077113	1219.4790900433431	34
45	tanh	0.008706348062607335	105	invscaling	0.0009011015652749293	0.7019336561019579	0.4907838705209153	0.0012647027632077565	mean	-51.9265681272096	-3112.1415439768225	-27.79323093310642	-94.58969492797647	-43.63506950800632	-666.0172214946242	1223.2620614529048	26
46	tanh	0.010238426711926747	88	invscaling	0.0065976014746371905	0.8371580490465409	0.6898308789906419	0.14501146062727965	median	-45.019417996317905	-3111.760888812991	-26.361077418398658	-93.92709848845294	-34.46838230962358	-662.3073730051567	1224.9516375000399	4
47	relu	0.0025112224525998122	100	constant	0.0003892443442130409	0.7747775169509024	0.40916090664065385	0.0014190310474905962	0.5*mean	-56.77756086936764	-3111.933449042655	-1186.9838162666092	-94.50724671831549	-34.943860669256566	-897.0291867132407	1190.2209834120126	52
48	tanh	0.026507141330045267	112	invscaling	0.00020972564092156993	0.8303183049051535	0.6655390664974379	0.05385957146049281	0.5*median	-53.03119808422317	-3112.1960482552013	-27.513332405354166	-94.14344563998078	-43.39440631869319	-666.0556861406905	1223.2684670063704	28
49	tanh	0.0005867233247550905	117	constant	0.00019699725906767917	0.7427327944777956	0.3796141756700009	0.007647071337445133	0.5*median	-52.68641983134487	-3111.8285868221656	-22.80659003180478	-93.0424841494546	-41.73901921856261	-664.4206200106664	1223.9198013965126	18
50	tanh	0.0006662338334990561	107	adaptive	0.0008780138723961913	0.6241480324286659	0.4148485262509216	0.1999568506344535	1.5*median	-49.374408512551	-3110.7843386067193	-24.81780850078134	-93.8739222051953	-39.69575742226439	-663.7092470495022	1223.7541583576349	12
51	tanh	0.008174303041176176	50	adaptive	0.009947552164625152	0.5285511425608787	0.5074745836833274	0.24145296426468324	0.5*median	-42.95201719133318	-3111.3372392922934	-24.44943976806053	-93.41680220394136	-38.357146879815275	-662.1025290670888	1224.8396827469594	2
52	relu	0.00019627771414914855	22	adaptive	0.009449830114720175	0.716896991248752	0.6464070409568791	0.06424299837872609	1.5*median	-55.570903861469475	-3111.973635960952	-121.75468559237522	-96.20955926542034	-39.45367326711586	-684.9924915894666	1213.839490517119	40
53	tanh	0.0010029016071014464	115	adaptive	0.0004659895906165216	0.8455556333716383	0.10114242140976831	0.020094568030573974	0.5*mean	-51.38883320730533	-3111.966752313451	-25.160176359126115	-93.65551950428092	-32.762813375942265	-662.986818952021	1224.7202180016855	8
54	relu	0.0007736102690418562	80	invscaling	0.009370334145594838	0.5390080797786855	0.5344537182044159	0.001515841315057875	0.5*median	-113.86053771713307	-3111.3565685250996	-89.18215405439875	-640.0093163404185	-41.89070672465358	-799.2598566723407	1176.328401342777	48
55	tanh	0.000471156533478137	26	constant	0.008174289743067215	0.7969068652220103	0.7247666202058352	0.09895625795481432	0.5*mean	-48.57162704097917	-3111.687629572816	-24.55581773531475	-93.54695489069681	-40.627283287363326	-663.7978625054341	1224.158951505667	14
56	relu	0.049427002808758676	74	adaptive	0.00205782936746913	0.5484160095414514	0.5524492135486073	0.19158773556903083	median	-57.767839733434094	-3109.1988486997043	-79.74385959912266	-93.33251984754595	-51.41760740672233	-678.2921350573058	1215.5465696069675	36
57	tanh	0.06781441160044652	69	adaptive	0.00834748514690375	0.5219116417023573	0.7412127334915862	0.004697069767465981	1.5*median	-47.08201927405383	-3111.6159622962164	-25.07818451285225	-92.46933810594318	-38.99073819859263	-663.0472484775316	1224.4927207852963	9
58	relu	0.002375979683933091	42	constant	0.0016224742215877365	0.6587119474934167	0.3619103532869371	0.1744285592728733	1.5*mean	-52.124601302514186	-3116.043409676197	-2099.423894815702	-952.7557497462095	-101.0546981330525	-1264.2804707347352	1187.093443874874	54
59	tanh	0.0009399763460151647	20	invscaling	0.004529320389122328	0.7245252844211965	0.5330757197480435	0.004226065095482245	1.5*median	-52.03678295924421	-3112.099946556757	-26.40265649778525	-94.10823600702402	-35.929565994591364	-664.1154376030804	1224.2117239997922	17
