	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	367	-70.0550810893908	-6722.506979725814	-632941.5677323026	-555.4035512755037	-38.82043364945976	-128065.67075560855	252450.5714079265	111
1	0.7760820991426709	0.022177281935498117	485	-45.53474504293917	-3111.759115034584	-32.375628582774446	-93.44701413210097	-40.151772601892034	-664.653655078858	1223.7392277424076	3
2	0.038980498747312416	0.03022952868785433	666	-506.5491077971443	-3155.7148509365857	-86.29920197170732	-124.98650200467037	-39.948119517777265	-782.699556445577	1198.056782538174	52
3	0.017335134327422393	0.001114302396878279	786	-1708.7526278286045	-8988.453584189401	-639.968901644152	-4132.247563017258	-37.96353345695712	-3101.4772420272743	3258.920045388629	76
4	0.10153368026448513	0.236831806096408	728	-44.40997325110345	-3111.883853734916	-152.6283057770466	-92.6565920280592	-38.23080910678614	-687.9619067795823	1212.6563963049737	40
5	0.014482611326903276	0.09820545245004282	306	-40.171376299006724	-3132.6469722105408	-15685.737634389629	-99.08721847240601	-35.69891675811754	-3798.66842362594	6061.66874141336	80
6	0.4865862874958168	0.0042696481004083795	625	-41.46600525971078	-3111.7780628056116	-39.6128004411189	-93.25288367913937	-38.877646033016795	-664.9974796437195	1223.5645179329351	8
7	0.5572520772827421	0.005966726560955354	412	-43.19620516931696	-3111.765248970061	-52.3458405683209	-93.3366372437124	-38.94995875346967	-667.9187781409762	1222.0753102845772	27
8	0.05945209197180284	0.6410810795593402	612	-46.10680118055645	-3111.7837722713934	-52.32448740038019	-93.19192004885086	-39.826683443997965	-668.6467328690358	1221.7111414948104	28
9	0.003267338081358084	0.21682391449152674	794	-1570.540524150416	-55899.1356362471	-88.1188402083554	-98518.41855727512	-39.867987557547664	-31223.216309087707	39896.42071266551	100
10	0.0024740862612179474	0.03517934068104829	372	-66.78250302958865	-10089.83281111473	-616389.8073581641	-552.594143835403	-39.495567338401266	-125427.70247669643	245510.882845697	110
11	0.01137806873879027	0.0037257988306592066	700	-7386.333186729438	-20246.487097399066	-1274.6214699051081	-1508.8611726978452	-40.39399049209278	-6091.33938344471	7521.423188645759	85
12	0.004028783136467884	0.028173542095451424	392	-80.7626242160912	-15991.67636081926	-327883.2982334485	-266.2983564869222	-39.584387768858576	-68852.32399254794	129661.14096500899	106
13	0.6459788432970658	0.01072286678033	533	-43.13471720976216	-3111.7257254676165	-33.60761674033767	-93.2347655576149	-39.843100333700654	-664.3091850618064	1223.8932791411246	2
14	0.29882226839951503	0.1865396418233756	451	-48.52826982158186	-3111.8559465530725	-33.6692746631577	-93.54893293100594	-41.15285230513244	-665.7510552547901	1223.2300411097647	15
15	0.0033924518386098017	0.002640079019149757	656	-45385.391418981875	-39109.141480057755	-655.4995029135194	-4210.437204934285	-107.30309981485334	-17893.554541340454	20033.12859216944	97
16	0.02176746432835194	0.011035288550905548	519	-161.47343523988593	-3628.6038228629122	-1402.5219506672843	-94.11502383470349	-39.560759103233465	-1065.2549983416038	1378.1501245945924	57
17	0.006842623344352976	0.5258214121416745	575	-329.81671687566705	-3116.3841149887144	-243.32898095434706	-114.70298537419701	-39.89867536921169	-768.8262947124274	1178.059194930432	50
18	0.13336992310608964	0.016598850660723606	529	-44.82740167078776	-3111.8498921593646	-110.36328447821191	-92.89384323876094	-39.04921595390776	-679.7967275002065	1216.3334621403749	38
19	0.22100302755107729	0.010332526426602177	715	-43.53757054799873	-3112.427410535508	-55.58679667519257	-101.14081723369017	-37.938453994378065	-670.1262097973535	1221.3527667125454	31
20	0.01769275055719865	0.018190610413944725	321	-40.7220245667482	-3136.7973930420903	-70568.00893225349	-113.75233854062114	-35.824475382686195	-14779.02103275713	27919.892372231887	96
21	0.08726810419290941	0.005828407523661261	347	-44.216059263515	-3121.9605072571	-2536.025753577141	-93.20690001825845	-36.88921017339452	-1166.4596860578818	1370.1771006423423	59
22	0.0010097534628492632	0.001873118892032499	533	-14529.002450118456	-77827.93871377897	-8264517.60678211	-19140.424915652027	-325.77505209268793	-1675268.1495827506	3294731.2227170034	119
23	0.20390894855858127	0.1053318884021406	442	-44.59558842192453	-3111.7440001542705	-49.62745047865463	-93.38696765218171	-39.08812242749678	-667.6884258269057	1222.1793820851283	25
24	0.6647910075612675	0.1041101659846105	699	-49.28152585345043	-3111.7988626042234	-27.886017490408314	-93.58573867695104	-41.40155066508103	-664.790739058023	1223.702349859759	6
25	0.002845658457975523	0.08272837769950037	599	-18785.81058399008	-3113.8879419317745	-20948.528426316298	-968.1363132078692	-77.82619217782867	-8778.83789152477	9132.87678499419	92
26	0.004949971540048182	0.7091830501837787	343	-45.52632637910714	-3183.5778847494366	-9118.303292578834	-94.14061604829915	-36.10993872686127	-2495.5316116965073	3525.6906270543714	72
27	0.021048350292659126	0.08862068415207149	339	-47.53605000083156	-3187.5913988411417	-10046.729450215456	-93.2595676033986	-36.12202762039193	-2682.247698856244	3876.532208187446	74
28	0.30614437330868366	0.002439678691746349	635	-42.614974411690056	-3111.9730199326145	-45.97202385449207	-93.54496687378466	-38.84235500063505	-666.5894680146432	1222.853820768377	19
29	0.001309556292979108	0.0019161112392231206	673	-12126.233723294552	-21083.503396222754	-2706.971563571288	-1621.2843686162053	-56.104561557980944	-7518.819522652555	7985.685073569166	89
30	0.02724241112942528	0.002537261611459781	435	-58.00529801029761	-3228.5969006256346	-9567.889708089433	-94.073232333528	-38.85532046078424	-2597.4840919039357	3694.521822861252	73
31	0.03039510917945343	0.014905946933599663	400	-62.042425186275686	-3555.2550372169303	-5052.732961248065	-93.0211334455431	-38.565398158589396	-1760.3233910510808	2130.2697498512593	66
32	0.003082700072440592	0.016815913076835276	582	-2600.282032777147	-3190.1698682421775	-275.676767030124	-2522.05208387746	-121.93245416656944	-1742.022641218696	1281.955376967628	65
33	0.034344450941939934	0.3669343776726532	526	-41.15371895561304	-3111.6118163469755	-38.843870146529795	-92.94866594878243	-38.91488784722707	-664.6945918490255	1223.6331060651366	4
34	0.034935512819033024	0.0229516335919301	743	-169.43090251580037	-3175.653988555992	-168.23445305804586	-207.24647653540694	-37.595721754296704	-751.6323084839084	1213.3751951891022	48
35	0.029578340610101752	0.003823879137333872	649	-848.5920161057629	-3713.218166921273	-285.9342645529807	-151.23166451642922	-43.24889948934527	-1008.4450023171582	1380.5644381024206	56
36	0.23163769489242636	0.5947886633510258	635	-50.792888014851876	-3111.8590629981413	-25.558109477802716	-93.73281279038817	-42.186717693459435	-664.8259181949287	1223.7236627785976	7
