	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
25	15	0.21983250086582914	16	-38.094550014711295	-226.41587610620854	-2.4515845333606077	-180.11940714377323	-0.31910736879603413	-89.48010503336994	95.00632677449657	48
26	14	0.16439127449488822	5	-37.902498651693165	-226.2389034225929	-2.457842484182562	-179.98162329088981	-0.3278009075899247	-89.38173375138967	94.94704034293349	11
27	14	0.14599638825387654	12	-38.0861333776328	-226.4070477843221	-2.448610579739912	-180.08874747391093	-0.3227540901399325	-89.47065866114914	94.99870300848093	36
28	10	0.2889244643203605	8	-38.016718321162095	-226.35234709248613	-2.4555582358285166	-180.03116111552796	-0.32560590892807567	-89.43627813478656	94.97765150943253	17
29	6	0.38559635724788033	13	-38.08258723461127	-226.40387220386418	-2.4560051798804103	-180.09982647033337	-0.3320840615521825	-89.47487503004828	94.99717914452343	40
30	11	0.11663271389379898	7	-38.0578149846941	-226.351441218525	-2.4614459061006677	-180.05379741264608	-0.31974110032843217	-89.44884812445886	94.97728252817528	24
31	8	0.12464426509985546	8	-38.04085227462432	-226.35170602570344	-2.458989058319089	-180.07604835303826	-0.321525628812149	-89.44982426809946	94.98355557771205	25
32	4	0.16856374101980542	6	-38.015716350291854	-226.28591632925145	-2.4580939377050086	-180.04988083650628	-0.32535968095879536	-89.42699342694269	94.96176338469213	15
33	7	0.13052103668969983	10	-38.06443786788176	-226.37549651717907	-2.4569388560537524	-180.07440040134807	-0.3211058103038916	-89.4584758905533	94.98800097663123	31
34	13	0.23087754968464652	3	-37.34584804244503	-225.7977670944764	-2.4910342853424026	-179.77042335993144	-0.3250877389609248	-89.14603210423124	94.83457685894467	3
35	15	0.11936872815742272	3	-37.51361104689221	-225.91413306140444	-2.4608328919680367	-179.67858977300978	-0.32698121934795304	-89.17882959852449	94.83744674537338	5
36	14	0.22285917762815496	18	-38.102078950838404	-226.42401057163795	-2.4476515162588517	-180.12025997969158	-0.3179957251134656	-89.48239934870806	95.00894925436312	52
37	9	0.15397347442300313	6	-37.98956706289285	-226.34206158159657	-2.460773014170736	-180.04856360037508	-0.32183528087097996	-89.43256010798123	94.98069935058227	16
38	4	0.4093249989009665	10	-38.05572159120396	-226.41732385316445	-2.459851892749582	-180.05127404172137	-0.3249532294037931	-89.46182492164861	94.99533635403374	33
39	11	0.21505280631800724	16	-38.09402417023909	-226.41683109692343	-2.4534873760986233	-180.12276040817332	-0.32141822250555	-89.48170425478801	95.0065164362818	51
40	8	0.31719826722043887	5	-37.978551909675474	-226.2918449030601	-2.4633593482041025	-180.00551141740812	-0.3235176916667187	-89.41255705400292	94.95841155340348	12
41	14	0.28047021056502636	12	-38.0882215889995	-226.41873181936845	-2.4541279498869413	-180.08712004131385	-0.3215230139192476	-89.4739448826976	95.00075536958772	38
42	9	0.21411733060513352	12	-38.08303015973547	-226.42241450970673	-2.454643959906137	-180.0969044475328	-0.3259972807178543	-89.47659807151982	95.00331100448233	42
43	15	0.32282183010618554	13	-38.09124787236716	-226.40031123828058	-2.4505732804472973	-180.10062488024582	-0.32038058096494265	-89.47262757046116	94.99855968047802	37
44	15	0.13326443138382707	8	-38.0560675098186	-226.37190165672556	-2.4580925976913544	-180.01788676883896	-0.3169164062524267	-89.44417298786536	94.97766467809582	21
45	8	0.4536774082403324	7	-38.00400070750172	-226.38923704327328	-2.4627538520696897	-180.00106141469965	-0.3292424429300982	-89.43725909209488	94.98192440335077	18
46	14	0.26595828559974816	17	-38.09205983395153	-226.4310762571949	-2.4486600761131503	-180.12088650595052	-0.320454252652145	-89.48262738517244	95.01154317387207	53
47	8	0.12290555324460957	1	-42.39556622760897	-225.2187686779815	-2.4998384769121316	-179.67625880924462	-0.3248563741963023	-90.0230577131887	94.11698667529295	59
48	8	0.2888896266714322	2	-39.26518774030134	-225.23493679838808	-2.5681977819637	-179.83578095603974	-0.3476826854071708	-89.45035719242	94.45985851012384	26
49	11	0.24012075472312525	15	-38.090722836520015	-226.41994082856945	-2.4452578132366454	-180.11263264050388	-0.3193558900367992	-89.47758200177336	95.00773239821261	43
50	12	0.3521724772496543	3	-37.213483806203456	-225.9766888651429	-2.6183294679386715	-179.6425070104511	-0.3305741730481918	-89.15631666455687	94.85194624780348	4
51	3	0.14261938838836344	19	-38.100320438269975	-226.42322285419837	-2.4456142979793687	-180.12849200320338	-0.32310099388789465	-89.48415011750781	95.00989812520831	56
52	12	0.23188652261436649	12	-38.07868886443095	-226.40838042320757	-2.4498893047552084	-180.08000436938718	-0.32393680976403577	-89.468179954309	94.99776841184399	35
53	4	0.13127939632598612	17	-38.100446329966395	-226.4238775068642	-2.4471676062298955	-180.12764958094735	-0.3167155214028789	-89.48317130908215	95.01082639331628	54
54	3	0.43200748413691153	15	-38.08647775027568	-226.43260000598482	-2.4491424750066146	-180.10789177957622	-0.32640325498733985	-89.48050305316613	95.00890223435431	49
55	4	0.2035241952435823	19	-38.096147480156354	-226.42459335038782	-2.4476479260841852	-180.1269174310586	-0.32094764167624007	-89.48325076587264	95.01047569563289	55
56	3	0.2564290430277507	11	-38.08129386507461	-226.38556386630384	-2.455652874476387	-180.05239723868186	-0.3245420736437297	-89.45988998363609	94.98447262587156	32
57	7	0.36698875277224235	9	-38.04798758743753	-226.3848391623283	-2.455698043733353	-180.03784694394145	-0.3152271408999165	-89.44831977566811	94.9868320998217	23
58	10	0.3110448671475204	13	-38.08331092934446	-226.40961543873578	-2.4518653771765946	-180.10242965860274	-0.32417773917773973	-89.47427982860746	95.0014954452654	39
59	6	0.23407687229868582	8	-38.03948524988416	-226.3988384168587	-2.4586406233665454	-180.06576173887257	-0.3281567087423103	-89.45817654754485	94.99414810361878	30
