	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_estimator_config__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	285	0.9814768764690818	0.7138871482375893	10	189	-37.962795	-226.29866	-2.4840488	-179.32297	-0.55657494	-89.325005	105.9725	89
1	0.8111059179283082	4.3571271452182625	0.02694212130266539	4.536480788837575	350	3.068184185633249	3.6914924077217	7	206	-37.887962	-225.723	-2.7759602	-179.39082	-0.3110354	-89.21776	105.80194	44
2	0.9724824078756087	0.22200621499670528	0.06044107157955396	9.55116550372281	301	1.068680189842134	23.058900153692324	9	249	-37.308136	-226.2196	-2.4780948	-179.67435	-0.42519304	-89.22108	106.130104	48
3	0.75385982617858	1.851628681109584	0.017846845577536696	1.904265745309306	192	33.009510989016306	0.1950021377225478	5	214	-38.0708	-226.35458	-2.515647	-180.16006	-0.30652076	-89.48152	106.20162	151
4	0.9074590026078038	1.638573918342045	0.05559077569074713	3.484441434976256	167	0.14042831377653514	0.11111476918934589	6	169	-75.422386	-213.73497	-2.4823046	-179.42757	-0.33344537	-94.28013	98.90397	185
5	0.8877296490036166	2.12365996265779	0.15110674897952728	2.6240645728241345	230	0.7313326467010689	2.020247589711799	9	217	-69.365326	-226.41315	-2.5368948	-179.32445	-0.35559633	-95.59908	103.12899	190
6	0.7036543083634554	2.0854753859862067	0.07381188091990584	4.9555118187110825	210	5.30807130995716	0.6461903812480768	5	198	-37.99875	-225.90027	-2.7142642	-178.82751	-0.33352548	-89.15486	105.73392	32
7	0.8370378749293492	1.2520899955615752	0.18007615762894044	9.505434014135144	315	2.744632980292315	2.8031394193931862	10	204	-37.692005	-226.08186	-2.4528666	-179.45398	-0.5251181	-89.241165	105.976166	56
8	0.8967388802733867	2.480543620673594	0.015068843978165316	4.091828767339225	297	8.067005935657864	33.034204254524454	2	212	-38.07799	-226.18704	-2.6201553	-180.00777	-0.3069386	-89.43998	106.0928	138
9	0.9185562803130194	2.6597116272078987	0.039746036974966426	8.003922413895069	210	0.05362238804627125	17.401053924087194	3	155	-37.877792	-226.0703	-2.3860695	-179.59834	-0.49672878	-89.28584	106.00024	73
