	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_estimator_config__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	285	0.9814768764690818	0.7138871482375893	10	667	-2.5792701	-2.6105905	-5.2306337	-3.1545875	-2.882902	-3.2915967	1.1086981	113
1	0.8111059179283082	4.3571271452182625	0.02694212130266539	4.536480788837575	350	3.068184185633249	3.6914924077217	7	812	-2.6461213	-2.6499732	-5.2478104	-3.1283498	-2.8263683	-3.2997246	1.1065542	128
2	0.9724824078756087	0.22200621499670528	0.06044107157955396	9.55116550372281	301	1.068680189842134	23.058900153692324	9	983	-2.4215658	-2.6027622	-5.2250733	-3.0206404	-2.6991773	-3.1938438	1.1561118	17
3	0.75385982617858	1.851628681109584	0.017846845577536696	1.904265745309306	192	33.009510989016306	0.1950021377225478	5	948	-2.848276	-2.8441322	-5.271278	-3.3154252	-3.0827258	-3.4723675	1.0242925	191
4	0.9074590026078038	1.638573918342045	0.05559077569074713	3.484441434976256	167	0.14042831377653514	0.11111476918934589	6	775	-2.6467845	-2.4584076	-5.244966	-3.034838	-2.7514365	-3.2272866	1.1470242	37
5	0.8877296490036166	2.12365996265779	0.15110674897952728	2.6240645728241345	230	0.7313326467010689	2.020247589711799	9	567	-2.537543	-2.505899	-5.2290754	-3.2034676	-2.7886682	-3.2529304	1.1394045	64
6	0.7036543083634554	2.0854753859862067	0.07381188091990584	4.9555118187110825	210	5.30807130995716	0.6461903812480768	5	804	-2.5790386	-2.5363872	-5.2373853	-3.0616925	-2.781851	-3.2392712	1.1361316	51
7	0.8370378749293492	1.2520899955615752	0.18007615762894044	9.505434014135144	315	2.744632980292315	2.8031394193931862	10	554	-2.5514376	-2.624918	-5.2229176	-3.1656897	-2.7068515	-3.2543628	1.1261821	65
8	0.8967388802733867	2.480543620673594	0.015068843978165316	4.091828767339225	297	8.067005935657864	33.034204254524454	2	752	-2.6443052	-2.6245198	-5.2578435	-3.15364	-2.9080021	-3.317662	1.1059933	149
9	0.9472414189469537	2.350871301142213	0.013903383294201842	8.19101938608231	206	19.144993272861957	3.1369260814555187	8	734	-2.709152	-2.7428837	-5.257528	-3.2749085	-2.9574609	-3.3883865	1.0689126	176
10	0.9756445414928742	0.29921346623976036	0.1378082381571287	3.489067652060208	282	8.855128755680383	4.498394122155202	7	760	-2.5274749	-2.510403	-5.226982	-3.0632238	-2.7368896	-3.2129948	1.147696	30
11	0.8634993035816582	0.43933514304819377	0.029144700588874917	8.315465951473357	185	30.921729504726432	5.359168303732298	5	747	-2.7072926	-2.7564373	-5.268054	-3.305406	-2.9575546	-3.3989487	1.0710208	179
12	0.9031121425644013	2.6156649085506953	0.01706621682218312	4.528014020385041	286	0.0160431999878904	1.0064175598960388	4	563	-2.5481179	-2.6877024	-5.2236395	-3.309304	-2.8665385	-3.3270602	1.0982871	155
13	0.8346883682662525	1.0113945501143071	0.11398716617854551	6.227626688274931	261	8.955280345192081	1.0309681764648548	2	790	-2.606129	-2.4970222	-5.243644	-3.0749414	-2.796745	-3.2436967	1.1393034	57
14	0.7952391685058897	1.1808403604474627	0.052032299178431204	5.703319957675465	101	0.04221820468041294	17.494053224973317	3	994	-2.470765	-2.599801	-5.2646794	-3.0349422	-2.7711775	-3.228273	1.157806	39
15	0.8518227739379696	4.558867193194012	0.17875850973487825	6.265898224074228	366	2.8820416157756026	9.731037190718677	10	747	-2.7238436	-2.615812	-5.268398	-3.259471	-2.8574061	-3.344986	1.1025053	165
16	0.8820281476841234	2.3681453077459014	0.03185857097640249	5.755893002472044	107	2.299891537665795	15.552474841343846	9	992	-2.5441918	-2.6426644	-5.250363	-3.1313536	-2.808856	-3.275486	1.1262672	86
17	0.9997188240980814	2.637122376793081	0.026683271905148666	1.8889591309687594	227	0.03146096865252573	0.1681436164650631	2	796	-2.7327383	-2.5476038	-5.2450824	-3.061024	-2.8302848	-3.2833467	1.1121585	99
18	0.9904855288314907	2.8021201107788203	0.012396667162288523	4.060610363926861	323	7.070167871422788	0.19809094355792942	4	676	-2.5623753	-2.6424081	-5.2406	-3.1064274	-2.8428159	-3.2789254	1.1165475	93
19	0.9650610745665521	4.319626486531023	0.03303532348649452	5.917027921122997	124	23.372316026977284	0.012959669742792227	2	533	-2.772441	-2.807857	-5.2626715	-3.376875	-3.1246898	-3.4689069	1.0327873	189
20	0.6285358749028829	1.867824419547584	0.034991297459266046	2.6326386015163026	161	0.054226610784048515	2.5471053619943316	2	869	-2.5678344	-2.4619539	-5.2419333	-3.1296585	-2.741585	-3.228593	1.1537809	40
21	0.6640809642476678	1.0432902729032913	0.028922076351032583	4.405385200882773	194	41.47482206567529	0.05824345618583849	7	534	-2.8054287	-2.8374875	-5.264261	-3.3983974	-3.1504679	-3.4912086	1.0205486	194
22	0.9160653840586124	0.7268882247812175	0.11910892835204831	3.1369232497129933	284	0.7180730676743565	25.863148244314985	4	953	-2.5926793	-2.5744605	-5.231506	-3.0950089	-2.7186406	-3.242459	1.131467	56
23	0.8600513314514531	3.0185434537998335	0.09512926437237602	1.5549879715288177	346	31.640713655416164	1.7082391759613156	4	896	-2.8458855	-2.8019905	-5.2838664	-3.3444347	-3.0781984	-3.4708748	1.0362358	190
24	0.9498858264447713	1.9960807674870373	0.010125407072383406	2.320391481826306	233	0.10158843108854225	0.09363220158022241	9	795	-2.6561935	-2.5124888	-5.2473145	-3.0315516	-2.858803	-3.26127	1.1275985	73
25	0.6593178957362006	1.1177069165695492	0.08677640024211447	3.4082916218769745	365	0.049604041908433504	0.137405811215792	5	905	-2.610488	-2.38233	-5.24663	-2.9655473	-2.7257035	-3.1861398	1.1708724	12
26	0.8384196480500602	0.5503337756024843	0.14629027462018548	5.160483479176548	239	0.02439630032681065	3.4153836018938417	9	809	-2.4852276	-2.3900504	-5.228688	-2.9831288	-2.6568325	-3.1487854	1.184424	3
27	0.8702738530696112	2.542511649046552	0.10202921919483234	6.085466805439345	327	1.4060855568844874	0.11759296750523518	6	707	-2.5553057	-2.5800235	-5.250479	-3.0825183	-2.7366843	-3.2410023	1.1428609	53
