	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	-96.36613485958878	-3125.2935127917094	-36677358.67954655	-229.1335515948182	-36.84278918942343	-7336169.263106997	14670594.75450082	91
1	0.019731821954529112	0.13718024761746403	-113.52108779851258	-3694.3968869260816	-28.28395370155011	-1367.8747053137565	-33.81526467228752	-1047.5783796824376	1417.559716640729	71
2	0.7748509861975081	0.038980498747312416	-45.837824108896534	-3111.75843043389	-69.8216180840821	-93.26318598518992	-39.066269943188615	-671.9494657110496	1220.0541354225118	27
3	0.03022952868785433	0.0016325125214692508	-91.95643054575824	-4281.8661495108245	-28.098533301283044	-516.2146441675313	-35.3038512288295	-990.6879217508452	1655.5382426430751	69
4	0.006209174227818484	0.029976031307006615	-98.0452595215841	-3116.6703900117786	-191516607.11707142	-256.54358072897645	-38.248717942241676	-38304023.32500393	76606291.9047946	96
5	0.10153368026448513	0.236831806096408	-50.687837618634326	-3112.098215252779	-82.53807709533832	-92.89596576471997	-37.23694630625134	-675.0914084075446	1218.672334512419	36
6	0.013347271330883557	0.0015660007255856795	-89.72704272504888	-3117.4126486771042	-139635.7011764402	-190.34568975390786	-33.81871874699035	-28613.401055268652	55523.43492803653	87
7	0.007099895856262438	0.4865862874958168	-109.00300698686557	-4604.118853857741	-31.67201820039609	-1743.1166999833638	-34.286955949144414	-1304.4395069955021	1774.4077592691704	73
8	0.0042696481004083795	0.02166126560194832	-138.414047072101	-3110.2623205283976	-635819514.4512264	-307.4457323016813	-54.5300986960051	-127164625.020685	254327444.7178387	105
9	0.5636485685665003	0.0011845635270101222	-51.30426177359361	-3111.8778838156913	-32.135935081125105	-98.06387758726648	-36.88096572565354	-666.052584796666	1223.1349320929073	7
10	0.05945209197180284	0.6410810795593402	-51.335707459330756	-3111.7731903522726	-108.14526282761875	-92.97619275148452	-38.643343380301815	-680.5747393542017	1215.8693303228386	45
11	0.004790386505402572	0.04172268369255274	-116.32730963769546	-3113.5014942781904	-327159947.72092944	-271.9008655967862	-43.23900842145058	-65432698.53792147	130863624.59657912	99
12	0.4850490871909631	0.0024740862612179474	-52.307555577435835	-3111.9658043555673	-31.697121626761827	-98.5793462265973	-36.828150317740196	-666.2755956208205	1223.0723861593146	10
13	0.03517934068104829	0.1647755254623533	-75.72859918160883	-3152.551699541753	-37.89226722182983	-184.51987848499707	-34.6650961591059	-697.0715081178589	1228.939272725233	51
14	0.09471687384144818	0.024091030761663128	-75.18780654642893	-3139.405271949403	-26.72854570397645	-148.0228899530609	-35.65337291937546	-684.9995774144489	1227.9489335158146	48
15	0.004028783136467884	0.028173542095451424	-137.70424876939208	-3110.364271189962	-602027417.564876	-304.17160760775346	-53.472742245776665	-120406204.65554914	240810606.45737854	103
16	0.012592578859234416	0.025725201531656458	-186.25911715877896	-7925.954635467997	-676.521384536012	-237.969945206421	-36.4601930730193	-1812.6330550884456	3064.078869887654	79
17	0.012048387628070626	0.29882226839951503	-105.24760284747835	-3948.5235130267884	-33.27791157148357	-1442.521965598468	-34.29135716526634	-1112.772470041897	1516.1632549447763	72
18	0.1865396418233756	0.008464794577241827	-64.39078356509968	-3117.62067485655	-28.11660560340912	-116.33909795659002	-36.248787273171274	-672.543189850964	1222.9286518868853	29
19	0.04916704412122075	0.0065390676934270016	-88.35715658541453	-3615.529698384737	-28.98756415100223	-321.75635201608924	-35.92337350717316	-818.1108289288832	1402.7824680021213	64
20	0.02176746432835194	0.011035288550905548	-96.65694417978237	-6421.843636289444	-47.11074159841056	-1013.2602973178858	-35.35783740596379	-1522.845891358297	2477.2681016973465	76
21	0.08752204137105632	0.012419580099367496	-80.21967102231221	-3198.8724222208157	-26.802135814767365	-168.99065000753012	-35.76005906049092	-702.1289876251833	1249.3877996078068	52
22	0.022712868739643684	0.13336992310608964	-107.51788694124599	-3509.6313703283513	-28.746903481648026	-1010.6687994475335	-33.95990473174994	-938.1049729861057	1338.0806277399545	68
23	0.016598850660723606	0.47620522178355656	-77.87132948298223	-3148.792220917297	-43.95172233079583	-175.66593886803315	-34.567625867239755	-696.1697674932695	1227.328795827662	50
24	0.003412697893154653	0.1546838165234765	-308.67940471720107	-4657.683759419535	-14280.64673074249	-289.9662476126066	-38.0967505111771	-3915.014578600602	5462.14258436744	84
25	0.01769275055719865	0.018190610413944725	-145.85703540473935	-7594.501559128644	-29.03056895887071	-819.8653876909726	-35.44787239867173	-1724.9404847163798	2949.403614524194	77
26	0.07483624274817327	0.03505837059252771	-80.52173922706697	-3155.9967332764786	-26.792152170034974	-173.75769713703272	-35.3060821131141	-694.4748807847454	1231.8667466005784	49
27	0.016814106506939704	0.0010097534628492632	-104.86082112762648	-3131.9960321353014	-22488.9552102641	-171.93314900296502	-36.01578988613096	-5186.752200483225	8730.319210488733	85
28	0.001873118892032499	0.12465883787843703	-132.6642953168035	-3111.0888137321926	-468315093.53798807	-292.11019684827494	-51.0150606320688	-93663736.0832709	187325678.73086476	101
29	0.03540332497610842	0.1139270454632782	-87.81273396469699	-3192.751259448269	-30.26816877378946	-319.27738080502183	-34.464093981661776	-732.9147273946879	1234.471034451868	58
