	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
10	18	0.14247516352026016	17	1.5317552398482512	0.008719300172377112	6.6812080802976785	poly	-365.1728380780689	-3111.456050751855	-2664896.5194363566	-93.78438526145621	-40.45997978894838	-533701.4785380474	1065598.1365672518	58
11	18	0.7053438448376642	19	2.105812010532415	2.2608228203664384	0.04600319237966473	poly	-44.401179665466714	-3110.90247127949	-158.92375141788136	-93.55015244284192	-39.26677654126506	-689.408866269389	1211.512525369924	36
12	11	0.12462304343612073	7	0.6379357909256033	0.5367941872050799	0.032330873999382885	poly	-182.6516282949231	-3111.361926236817	-121748.22966613354	-93.74861195064045	-39.6339574686301	-25035.125158016912	48370.586646754506	42
13	8	0.6106842129979629	10	0.6757772157031918	0.06201298405203427	0.7490345993658044	rbf	-52.515227497078925	-3111.751439620282	-25.907993425802832	-94.32018301917293	-43.06385974507056	-665.5117406614814	1223.3272255100726	26
14	5	0.33295851660208664	9	3.962819651860829	0.09810168037076332	0.0009680044476852044	poly	-360.97018034662995	-3111.6147849830145	-1493708.0207322382	-93.90207390240889	-41.232126598205184	-299463.1479796137	597123.5364937895	49
15	9	0.185427639181401	6	0.1205900898851218	3.1819027317917037	0.002414434133743	rbf	-50.97128673050746	-3110.8361851554405	-24.84182179486362	-94.13024053178144	-42.025168515538326	-664.5609405456264	1223.3509191994256	9
16	18	0.25032590210394023	5	2.0772870702076363	0.001892379697457004	0.006100327370063372	poly	-368.7027134689872	-3111.4571418168243	-2771090.7918739957	-93.76520262734289	-40.55630272340932	-554941.0546469265	1108075.4607597443	60
17	14	0.5467632009552702	20	4.389905956682511	1.1016927207690121	0.00010857163459957925	rbf	-42.91810763484431	-3111.23077918584	-23.510577190484337	-93.3457337003217	-36.81148462580263	-661.5633364674585	1225.0624427486741	2
18	10	0.2904933654556075	10	0.26658588583039516	1.7913691127021907	0.010429005146226399	rbf	-52.093778079621046	-3111.4783591551036	-25.55385203124859	-94.25642824449751	-42.63347523923458	-665.203178549941	1223.347038601103	14
19	19	0.1534613052673549	14	0.2889757162366467	0.43314528203892083	0.00045958933708565853	rbf	-51.80938999115011	-3111.616018906712	-25.541671594499707	-94.1949892814349	-42.21623005166573	-665.0756599650924	1223.480083833933	13
20	17	0.147748718790585	11	2.3310277857272985	0.08961726487018026	0.0012673551296474546	rbf	-49.5115316803803	-3111.317242122746	-25.07221498953712	-93.79256843969837	-38.924512102421275	-663.7236138669566	1224.0132331292807	7
21	12	0.33311263543403463	12	0.33578629602543053	0.12857104212291368	8.362356196246699	poly	-307.3567121674093	-3111.4358332969023	-1334734.5866481585	-93.80967504000762	-40.184381117297555	-267657.47464995604	533539.7987087757	48
