	split 0	split 1	split 2	split 3	split 4	mean
RMSE	0.3929864538956495	0.2988839907297542	0.40169618828374687	0.3537707351618106	0.6186845440247685	0.4132043824191459
pearsonr	0.8068489587614622	0.7900409362008862	0.7864279326192238	0.7605361345199755	0.7445859629594498	0.7776879850121995
