	param_model_config__model_params__add_norm_dropout	param_model_config__model_params__attn_dropout	param_model_config__model_params__learning_rate	param_model_config__model_params__num_attn_blocks	param_model_config__model_params__num_heads	param_model_config__model_params__transformer_activation	param_selector_estimator_config__n_components	split6_test_score	mean_test_score	std_test_score	rank_test_score
36	0.07775020212502136	0.1454743322705116	0.00015268968682166715	2	3	LeakyReLU	247	-0.31023973362072393	-89.50481984982856	100.172469761833	29
37	0.1924525253691437	0.2682116614932516	0.002245790629128002	4	3	Tanh	43	-0.3199878389893749	-89.47479344034508	100.11016730736604	3
38	0.08792468883819703	0.05352504419108965	0.001373720343460703	4	2	Tanh	113	-0.30594013256112434	-89.5094135815981	100.17331365610083	54
39	0.16901791620590528	0.06222686051337628	0.00015321538549715953	3	4	LeakyReLU	106	-0.3082520095708788	-89.50245144493647	100.171459453846	21
40	0.08131355775190452	0.2464304669754601	0.0002552804814999663	1	2	Tanh	204	-0.30166385598637313	-89.49803891609801	100.18251805107415	11
41	0.05326206436529221	0.19289518269922296	0.0013288663742539962	1	3	LeakyReLU	264	-0.3022452348255972	-89.50636384358643	100.17345399219629	39
42	0.07731317698909551	0.18361015675224504	0.008728025123231191	2	6	GEGLU	89	-0.31092869930742767	-89.50011088947967	100.16722627586894	14
43	0.0944294375981367	0.14779009716494684	0.001336416053078736	5	1	LeakyReLU	174	-0.30439732387837315	-89.50896192157816	100.17306848838128	53
44	0.09016133183540626	0.05562825205568958	0.0003091852058642544	3	6	Tanh	79	-0.30532804478217734	-89.50626154248148	100.17136058563901	37
45	0.2238530341699838	0.10491835377717025	0.007281860651383083	2	4	Tanh	205	-0.3194887403765506	-89.50891078787951	100.16956486217302	52
46	0.08036097557374666	0.2427468393464612	0.0003503634909180612	3	1	Tanh	82	-0.30582753911473737	-89.50544033185469	100.1744635263181	31
47	0.05495687008423353	0.05439429565356054	0.007885996720273347	5	6	GEGLU	41	-0.30832663395277693	-89.4779683886979	100.17459600974585	4
48	0.2810531059245775	0.10078831044764154	0.006574389521252353	3	1	Tanh	94	-0.30385564327233305	-89.50597011217036	100.17476165059328	35
49	0.07638250664249654	0.05111308210201609	0.00013549840149078	3	4	Tanh	166	-0.3099301244965278	-89.50730472559415	100.17351038151196	47
50	0.21851221693798067	0.14899269679431346	0.0006269091115416346	5	6	LeakyReLU	21	-0.3042103605451214	-89.50650787337263	100.16891173050311	40
51	0.05957490360691982	0.08537091961763082	0.0009372255337076554	2	3	Tanh	176	-0.30402296898958747	-89.50734498000499	100.1698583824073	48
52	0.07960779136094968	0.05519097038698975	0.0006242539916968565	6	6	Tanh	184	-0.3044517948189395	-89.50442923740329	100.173655617279	27
53	0.09724862342762067	0.12934284386292394	0.0023360441406204465	5	1	LeakyReLU	132	-0.3089678131049527	-89.50660847451347	100.17231255727938	42
54	0.053622085396877156	0.2070282885674118	0.00012703219146086256	4	3	GEGLU	223	-0.3142951878958846	-89.51055473801513	100.17224186007076	57
55	0.06728534786982912	0.09242273148224933	0.008044569157794728	6	4	LeakyReLU	175	-0.30389768406529666	-89.50428149306087	100.1741559903882	26
56	0.16610849259349078	0.07888235256313943	0.0065976014746371905	3	3	GEGLU	173	-0.3152807758240571	-89.50119484235981	100.17812936619178	17
57	0.12481255778280076	0.11536590400574884	0.006280612257679104	1	3	GEGLU	272	-0.3069713500136006	-89.48635799261555	100.14939343848134	7
58	0.06069506600384406	0.22239416656349367	0.00029900707201554447	1	6	GEGLU	164	-0.30772842753338897	-89.50107591194828	100.17375420321389	16
59	0.20986959092163127	0.05023566417795992	0.005197464704645246	5	4	GEGLU	217	-0.3052451904834929	-89.49477279853502	100.16130727127508	10
