	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	398	0.0017062829878430163	9	-47.353832	-3111.6096	-24.626612	-93.353966	-36.36773	-662.66235	1369.251	195
1	0.8004481854639751	0.45305055346283163	0.02234843752377777	5.49894250743004	118	0.2986797869222453	9	-42.07752	-3111.5364	-24.885223	-92.907745	-37.09991	-661.70135	1369.7457	63
2	0.7523764532594154	0.42308809983893503	0.023707516845318268	9.186341749476522	94	0.0024204256407323035	10	-46.90306	-3111.6875	-25.103033	-93.42909	-36.288902	-662.6823	1369.2822	197
3	0.9724824078756087	0.22200621499670528	0.06044107157955396	9.55116550372281	362	0.0004968337116743803	8	-45.301277	-3111.5254	-25.945751	-93.426956	-33.727882	-661.9855	1369.5856	86
4	0.9636513499546925	0.7525302842203259	0.04797063502092494	7.753688731918314	307	0.0074303870870243245	8	-48.294346	-3111.6143	-27.540709	-93.130356	-37.57533	-663.63104	1368.6936	280
5	0.7930547609650072	3.1071470016590133	0.17282343335636097	4.138807380892437	283	0.22473565355202207	9	-46.95081	-3111.7493	-28.965101	-92.762794	-34.65617	-663.01685	1369.1124	239
6	0.7255978708850649	2.9058641299553747	0.022863783135409186	5.075586392917604	117	0.0017411531294131326	3	-41.715996	-3111.7686	-25.049139	-93.12824	-37.315216	-661.7954	1369.824	72
7	0.7481404331952141	2.349555591668014	0.08627048905323088	4.716926462024511	279	0.1493757136599663	3	-45.557198	-3111.4832	-27.732176	-92.49581	-30.411098	-661.5359	1369.8086	46
8	0.8964475491653057	2.169632813851388	0.03587805487837893	6.709418817704549	117	0.001087785044617476	2	-46.104343	-3111.7422	-25.204647	-93.04807	-35.326035	-662.28503	1369.5344	126
9	0.8669043066867064	2.25355643463159	0.10400670833592895	7.161660315583974	192	0.6635494476750942	7	-45.122696	-3111.5627	-26.891083	-93.25343	-35.575718	-662.48114	1369.319	165
10	0.9815965624246856	0.8533219040436901	0.0699073915986927	6.016721748680499	300	0.0003754153817401947	9	-46.617	-3111.784	-26.554794	-92.96017	-34.69343	-662.52185	1369.4203	175
11	0.8636933281192898	3.3423780159893326	0.12331058033348657	5.793018346865497	335	0.007111898938872145	8	-40.311222	-3111.7917	-25.621216	-93.08075	-37.456833	-661.65234	1369.9158	58
12	0.919557987111286	2.071703573097981	0.07724857183263156	5.517311401067938	247	0.1390806693696889	2	-39.41051	-3111.704	-25.335737	-93.03203	-36.165024	-661.12946	1370.1642	24
13	0.9099601503256068	4.002314433834488	0.04782392603033652	5.145672665469492	156	0.3541243638904195	3	-44.51123	-3111.7864	-25.096249	-93.09107	-35.56027	-662.00903	1369.715	90
