	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__estimator__l1_ratio	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
48	10	0.4783750704193396	14	0.7875849579888772	0.33459701739152903	0.5*median	-38.08987963194389	-226.42372710673118	-2.4463042202240244	-180.10583689553408	-0.3310860770976566	-89.47936678630617	95.0052253626683	48
49	15	0.20440643623366878	18	0.823340112173688	0.3751626813624478	mean	-38.09942703091816	-226.38919159236437	-2.450040730916839	-180.0939836297078	-0.3150728295538528	-89.4695431626922	94.99429619857483	37
50	12	0.11409157088140078	12	0.6089971844808845	0.6716282631934002	mean	-38.07561276424003	-226.3476169369905	-2.4287521523635744	-180.060576038702	-0.3506267989458444	-89.45263693824839	94.97574166486459	24
51	13	0.38568355727010967	17	0.6497662310974583	0.4344376672063329	1.5*median	-38.09828082771318	-226.43331201240227	-2.449521735910774	-180.1206943608322	-0.32302337483056875	-89.48496646233778	95.01083802910942	54
52	5	0.13053111584965574	4	0.5433785983218853	0.36147578372672085	1.5*mean	-37.75582649612022	-225.90264096980997	-2.462880722550185	-179.81203400012626	-0.3186957724834775	-89.25041559221802	94.83444219726638	7
53	9	0.7525444487996779	10	0.6635410260517224	0.6414202885620867	1.5*mean	-38.059215228485435	-226.2773473486236	-2.453736233599356	-180.0001573242013	-0.38285733952418854	-89.43466269488677	94.9351055913256	18
54	9	0.1513273754234445	16	0.48795887386813097	0.869304196935275	1.5*mean	-38.09465180644706	-226.34937412275542	-2.4057977583664307	-180.09300141932667	-0.3412890495932982	-89.45682283129779	94.9863352361356	26
55	6	0.19861555088982807	6	0.47142354649584073	0.8319671255553305	mean	-37.98572918008722	-226.33770635512334	-2.4851293760400193	-179.8417573725631	-0.39818091504282266	-89.4097006397713	94.92164369403005	15
56	14	0.25920833960408585	3	0.6148781483984977	0.31457090266422477	0.5*mean	-37.20533374817641	-224.02798789251904	-2.472586138634434	-179.3205300919936	-0.3144934582377833	-88.66818626591225	94.25985894416894	1
57	13	0.48850199043690107	5	0.6116469278676581	0.33211921350904483	mean	-37.73582559187703	-225.8618992322834	-2.475989193360697	-179.81858974307121	-0.325109517026324	-89.24348265552372	94.82252423485838	6
58	5	0.14100189541567237	11	0.8932121555382833	0.641642891249126	1.5*mean	-38.063977848128665	-226.3943944315163	-2.4453236756660632	-180.0820552743142	-0.31989257823677447	-89.4611287615724	94.99731471375827	30
59	4	0.116926396174984	17	0.4761069461253459	0.6937438713648548	0.5*mean	-38.0967980890453	-226.38041981933145	-2.4304007525246174	-180.10468209022724	-0.33905239520228564	-89.47027062926618	94.99319152971962	39
