	param_model_config__model_params__add_norm_dropout	param_model_config__model_params__attn_dropout	param_model_config__model_params__learning_rate	param_model_config__model_params__num_attn_blocks	param_model_config__model_params__num_heads	param_model_config__model_params__transformer_activation	param_selector_estimator_config__n_components	split6_test_score	mean_test_score	std_test_score	rank_test_score
0	0.05732570376904585	0.20223894343927362	0.0007530407234027137	5	2	Tanh	73	-2.763257289336693	-3.077492348481477	1.1751521733825285	13
1	0.12272061406736268	0.056890098256599096	0.0003442531796114806	5	1	LeakyReLU	50	-2.718152730301505	-3.112767974427542	1.1565857934095187	20
2	0.056270199529155115	0.08378974384425993	0.0065945786988649505	5	1	LeakyReLU	233	-2.412967571165535	-2.8868233659933393	1.2844686709871416	1
3	0.05228117858286003	0.14665196799837857	0.007948020906836665	1	2	Tanh	88	-3.036637925189285	-3.144611347721328	1.1557969160419106	22
4	0.25492321441597454	0.06347401571911221	0.0011138460302090533	1	4	LeakyReLU	307	-3.664769114028087	-3.5784812146768075	1.0400720268205996	33
5	0.11559857407082302	0.07217280426658156	0.000958366839328984	5	6	Tanh	283	-2.721466127089989	-3.105571875658558	1.2487143177514892	18
6	0.22438661101689097	0.19819560631881775	0.0004246091556540976	1	6	GEGLU	117	-3.461647478140907	-3.553489173744925	1.0037406610207558	32
7	0.08716852832894144	0.08297909866514314	0.006950036417604084	4	2	Tanh	235	-2.4957484744034066	-2.9249176230337617	1.284298492627303	2
8	0.2536906169462746	0.06908577875561835	0.003035552481913975	3	4	Tanh	452	-2.761246042182994	-3.1185872629544846	1.210331263208976	21
9	0.15581651703151553	0.12760571300039036	0.0006757280650551235	1	6	GEGLU	157	-3.0129796388356036	-3.409409404372873	1.0244626128264707	30
10	0.1782321881015837	0.12793523938465307	0.0024678623195866257	5	6	GEGLU	449	-3.8306905263824578	-3.3193104189057308	1.264710404876695	26
11	0.0658570582002938	0.15998624713885623	0.0013026479347243666	3	3	Tanh	93	-2.606844399098589	-2.9745863927280682	1.2411326065534856	7
12	0.11155969858219383	0.1629120605679585	0.0021058120105324164	6	6	LeakyReLU	385	-2.8006507629974835	-3.1105393079225725	1.2257620310295798	19
13	0.053681007822855925	0.059341699807832854	0.003960864043837765	6	6	GEGLU	247	-3.072173495393394	-3.0898762010244605	1.2391713026558155	14
14	0.20438746002494537	0.27494980247726336	0.0003280267050763314	1	6	Tanh	264	-3.5950884239438072	-3.9304241610607833	0.8063752312668878	43
15	0.1138735138733324	0.06089350127219557	0.003962819651860829	3	6	GEGLU	399	-2.52298527200777	-3.012682173820786	1.2403654656257639	8
16	0.2098281623847253	0.2689928141740365	0.00012059008988512184	5	2	LeakyReLU	232	-3.8016004605864246	-3.9989218890069607	0.8006297187296226	52
17	0.2084349484513364	0.1807560924257865	0.00019692241077723846	4	6	GEGLU	381	-3.7839155292109496	-3.9851988209377027	0.8253497350165645	47
18	0.09480362860595991	0.21452323384636335	0.0007168192605234181	4	6	LeakyReLU	357	-2.8302334173351045	-3.322908952805052	1.1086123727576391	27
19	0.21777563792880114	0.19532858136771092	0.00010334430538642801	5	3	GEGLU	280	-3.769250017365193	-3.9862505727513535	0.8089893698086948	48
20	0.13191490724721527	0.14856194427732658	0.004538437823448572	1	4	GEGLU	338	-2.490018602278059	-2.9612612542586527	1.253226987151109	5
21	0.14156540722126018	0.11136561492232509	0.003946052093516697	5	4	Tanh	95	-2.5269719739373495	-2.9632624059111627	1.3150974193431284	6
22	0.05174600016882265	0.17023520715406262	0.0009466639576437899	3	2	GEGLU	319	-2.9253856456409233	-3.1685190398049334	1.1807348362859251	23
23	0.11977317909271161	0.08010290795815837	0.0011338917149486263	1	2	GEGLU	211	-3.129212642420845	-3.595912255695672	0.9781769653615066	35
24	0.11029273991814163	0.18140171753916257	0.004905579491298163	3	3	Tanh	486	-2.4446521221954174	-3.3237801213071405	1.2249585570864168	28
25	0.21261219791184108	0.13388463372028442	0.00021351742219639607	5	2	LeakyReLU	304	-3.812798651017636	-4.00895473451508	0.7995759390227707	53
26	0.2126256790739972	0.05417574923334627	0.00010385633916693987	1	3	LeakyReLU	226	-3.7950915712715325	-3.994580600911192	0.7945448927992702	51
27	0.052121345485181395	0.12802105488098917	0.002473955049061457	1	4	GEGLU	455	-3.117405178620395	-3.871500475283676	0.8849618072253623	41
28	0.05106754963488096	0.08546824429097223	0.0001196616145802746	5	6	GEGLU	99	-3.2848968643817473	-3.580758324958606	0.9583663185488591	34
29	0.09195899203177987	0.07726535529818784	0.00016394631106893086	5	3	Tanh	226	-3.38368247564936	-3.9130350626328414	0.8423179338214956	42
30	0.256538076100726	0.23392336442845585	0.0006277640799061371	2	1	GEGLU	466	-3.8190550048056044	-4.013330684250908	0.7942625765981305	55
31	0.08931708185510001	0.1882428993506146	0.00023181472837610013	6	4	GEGLU	111	-3.2335383713808583	-3.3110515608787123	1.1936554142800953	25
32	0.07135527226444588	0.16037231456739398	0.0010460513080421906	2	3	Tanh	430	-3.3444364377098115	-3.3641154594294163	1.0619134209375425	29
33	0.09436983512856274	0.09849265978320096	0.00025856617624559874	1	3	LeakyReLU	310	-3.8141313872965346	-4.019258265802796	0.7908923958351133	59
34	0.06288163892702031	0.22003745293478771	0.000298450171830447	1	3	GEGLU	456	-3.815557653393954	-4.01588551274357	0.792929252090733	56
35	0.09922509545665453	0.16027588225036388	0.0015532530892165782	6	1	Tanh	296	-2.4133702631347465	-3.442607130134209	1.068399707526478	31
36	0.27246818593954103	0.14744519500132722	0.00037597579319873837	5	1	GEGLU	141	-3.784964139425087	-3.9921489861190453	0.8090945005895241	50
