	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
90	0.7935370668469917	5.193982189193039	0.0007852845158601909	poly	175	-39.7531933238207	-225.72297063653272	-22.717694279018115	-179.3025342575364	-24.223472018387984	-98.34397290305918	86.51677275741329	95
91	1.9445978109396063	0.013340519261413507	0.022617259640108515	poly	237	-1975628015.0634322	-224.89442969901503	-2.5416036563620352	-179.836404826623	-0.3075009865445768	-395125684.52867424	790251165.2673842	193
92	0.4840834675070366	0.7069370280702308	1.5888971220451438	poly	152	-173577966.4996173	-224.45236898678218	-2.5887165694607135	-179.64044278942276	-0.6022993317205858	-34715674.756689	69431145.87152348	137
93	9.546150305362753	0.3187696472961451	0.03198352691675825	poly	154	-594564353.9206978	-224.3173432304629	-2.5492157008204877	-179.71698580569728	-0.3753050039110228	-118912952.17590952	237825700.8724115	159
94	0.7041413810564995	0.7068168453639314	0.002365984617210505	rbf	153	-38.06750939935526	-226.39733521264026	-2.4572506076774006	-180.10344026154044	-0.5528620900265957	-89.515679514248	94.95598685691029	70
95	1.2131812117292209	0.009259722556001338	0.015345581220059966	rbf	229	-38.119658919665696	-226.47199096086976	-2.458287441854742	-180.17923771447485	-0.3030265508518427	-89.50644031754338	95.0329937442241	47
96	0.1143775391565687	8.780316200010056	0.00027128333055541045	rbf	205	-61.62028591219625	-227.01627854916967	-52.05532577005456	-181.91977034459126	-52.16862467373474	-114.95605704994928	74.54542277492745	108
97	0.1399129164097045	0.04018223799085187	0.033102116926190486	rbf	156	-38.119333313101265	-226.47171437299713	-2.4579695533860084	-180.17861686550737	-0.3024537331393776	-89.50601756762623	95.03299652999688	42
98	1.3775893398932675	1.6202081594150317	5.652323718430383	poly	180	-7564382.543603207	-221.91665360226108	-2.984617156068504	-179.22395125449967	-1.6806041889682173	-1512957.6698858817	3025712.438187618	125
99	3.0101522672112018	3.907980322164701	2.4969915168290875	rbf	241	-38.14195765744653	-226.0061053456324	-10.085739765698248	-179.6718599225887	-10.463141135122106	-92.87376076529759	91.54132193831602	92
100	0.21812377642162128	0.021316235796643622	0.009657474639100688	rbf	247	-38.11994539105125	-226.47234278782355	-2.458615177316735	-180.17941931629503	-0.30286435526401173	-89.50663740555012	95.0330692409165	50
101	7.71876819361812	4.890557733131594	6.3663298651761195	poly	167	-584.8623730539451	-222.63537543647507	-18.662939667601435	-178.12343241939192	-19.64866364662413	-204.78655684480754	207.07736185555132	118
102	0.5314443284641581	3.3045654269439133	0.020350829783879542	poly	172	-79325.50811975481	-222.22159789708448	-6.805982238628547	-178.57530024624177	-6.66025411860165	-15947.954250851073	31688.898298230255	121
