	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__alpha	param_regressor__regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	0.7935859334260503	poly	0.7760820991426709	0.022177281935498117	-42.73055154387618	-3111.7172878627302	-444.2425533213659	-92.9213225471627	-33.82207094464385	-745.0867572439557	1192.9768439802885	23
1	0.41307178405732536	0.0020861916134275686	poly	0.0016325125214692508	0.006209174227818484	-108.19921831133303	-3111.91979796245	-1286710.43322726	-91.44353096670135	-32.40610971186718	-258010.88037684248	514351.11979574646	49
2	0.9994590426751936	0.24897169764256202	poly	0.009492473080776375	0.014482611326903276	-155.21857675724306	-3111.7932770105904	-8891805.831994262	-93.36727652965664	-31.041515145141243	-1779039.4505279406	3556383.383108312	57
3	2.2318286374355	0.22992509055725158	rbf	0.0042696481004083795	0.02166126560194832	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
4	7.284706174508087	0.00013319751967982531	poly	0.005662638988777596	0.32728843155883136	-44.09543014671469	-3112.0372811586785	-7087841.17293464	-94.07935522659962	-32.13182545863421	-1418224.7033653262	2834808.481826347	55
5	0.22289766972186587	0.8991197923004112	rbf	0.0024740862612179474	0.03517934068104829	-150.4657231383472	-3109.0084430626775	-1208662.199458524	-123.11648962396283	-43.71165250447696	-242417.70035337066	483123.6510084442	45
6	3.168252003710077	0.22134321023770606	rbf	0.0019807263461956636	0.02665793187226654	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
7	1.6881340876442121	5.70481702253633	poly	0.012048387628070626	0.29882226839951503	-46.072084220797954	-3111.932134754799	-51382444.070345215	-178.88144601056652	-30.234486931873082	-10277162.238099426	20552640.94962118	60
8	3.4458392459817504	0.003715124617986915	poly	0.002640079019149757	0.0017648312243200336	-110.59068853222666	-3111.9167466028357	-1230958.8875986824	-91.60885205590448	-32.44838948624473	-246861.0904550719	492050.3020537773	47
9	1.2429974934909387	0.0035566916037075296	poly	0.012419580099367496	0.022712868739643684	-142.00803750509334	-3111.7837270687137	-11361790.933027325	-93.22201115865492	-31.03591580597776	-2273033.796543773	4544378.719202192	58
10	2.7456694089180953	0.011613393605749771	poly	0.22100302755107729	0.010332526426602177	-47.16619594857487	-3111.720098354164	-1456.2193821266326	-94.52563533824113	-35.1685100659444	-948.9599643667113	1209.392273780909	29
11	0.39872930173748916	0.033096016121349034	rbf	0.07483624274817327	0.03505837059252771	-58.949897777733796	-3112.4524903664465	-1759.3287330833236	-91.95421323646265	-34.06014651070859	-1011.3490961949349	1239.4800430284934	32
12	0.6757280650551232	0.00010165632440029667	poly	0.019878950961872335	0.20390894855858127	-53.16842413544706	-3112.135443329195	-354.9721395741568	-94.33107496598551	-43.71165250447696	-731.6637469018522	1195.6896743253517	22
13	2.340226257800386	0.48236115293568627	rbf	0.1041101659846105	0.0014353408214035335	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
