	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
72	1.302072755178872	0.020494833628720566	0.0001500951577359908	rbf	-49.76117594601285	-3111.947108482821	-25.263554554167712	-93.96654629413683	-41.29931746084777	-664.4475405475971	1223.9617561477367	14
73	1.4875180634852598	0.2143759682904616	0.13813015587977903	rbf	-53.02229231140115	-3112.0625102052572	-26.510650767154292	-94.37984810783855	-43.56212139995077	-665.9074845583203	1223.281535028374	49
74	0.4721375682498507	8.72727420702644	0.0003789398274681275	poly	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502402	-777.477852683688	1166.024654259812	117
75	0.5695498660895028	0.004772216714184815	0.005947261056079276	rbf	-53.10278027652528	-3112.1043813132032	-26.608296391597175	-94.45698427695534	-43.646601570846066	-665.9838087658254	1223.2642042433022	83
76	5.663231474192114	0.02037861131737699	2.785755421670936	rbf	-53.02799261790734	-3112.0640848870617	-26.518308341537505	-94.38806287883041	-43.57005340497673	-665.9137004260627	1223.279218413719	53
77	0.7303971788184178	0.005244088345073505	0.1216893099050496	poly	-5096.724803746939	-3111.9093057489667	-6264234.065282296	-94.42654828437952	-455.55883554179496	-1254598.5369551238	2504818.430825954	187
78	8.64622240151164	0.041789825813060746	0.0006312004607620755	rbf	-43.61806986475036	-3111.6659115172374	-25.61567473822729	-92.99077652148073	-36.48709049880282	-662.0755046280998	1225.0128298803888	3
79	0.27750624948811686	0.00646233982538273	4.388010202537054	rbf	-53.140681615933396	-3112.122724798208	-26.647110413000895	-94.48696512911222	-43.68530797943546	-666.016557987138	1223.2569451990685	88
80	0.1860926681753557	7.007689549849859	0.04477410675917157	poly	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502387	-777.477852683688	1166.024654259812	117
81	2.226441748076578	0.7396855688902312	0.27818370571776213	rbf	-52.80599676476359	-3111.9519296111853	-26.27707095769809	-94.17656141832892	-43.34203940092497	-665.7107196305802	1223.324790553016	31
82	1.115362476290238	0.0023459957044429007	0.0003390752495874459	poly	-50.20182405692859	-3112.1105764584318	-96.57171283893236	-94.18313504662	-42.88662667715561	-679.1907750156137	1216.6583530562	110
83	4.845509044333049	9.176076719588933	0.28843254801895035	rbf	-192.5941605345356	-3109.5142776875723	-191.46514118422425	-201.94163710708386	-191.87404690502402	-777.477852683688	1166.024654259812	117
84	7.885996720273348	0.0023182867869160277	0.03481435708106272	poly	-5207.795879857219	-3111.9097286410197	-6280503.9661094025	-94.4271985228473	-461.05976287905224	-1257875.8317358606	2511314.7574369367	194
85	8.456273616350606	0.03672322412014959	3.504600989708913	rbf	-53.02284077513102	-3112.0623672950956	-26.51254514506707	-94.38309484026828	-43.56477460633436	-665.9091245323792	1223.2806515374152	52
86	0.8698119890092312	0.0010533381544786994	9.909266465649212	rbf	-53.09823145062825	-3112.101690633766	-26.600648465820715	-94.45224255438586	-43.64358504352764	-665.9792796296257	1223.265133459346	81
87	0.13549840149077996	2.590375523261521	0.1390996986299137	rbf	-54.456259788579715	-3110.158918517928	-34.110810007664725	-93.43925697530227	-46.644610604311644	-667.7619711787573	1221.3593978601036	99
88	4.428169367616458	0.273871325783549	0.009840370602173742	rbf	-52.96200140026818	-3112.03049745163	-26.442282938914378	-94.32524156437341	-43.49898236322178	-665.8518011436815	1223.2934473968028	42
89	3.166788338353749	0.0027363606277205016	0.30209492173993957	poly	-5191.468387023209	-3111.9096687586534	-6281291.2127152905	-94.42751215402102	-460.13842847850736	-1258029.831342341	2511631.377100065	195
90	0.15688256738637793	0.01564291597554347	0.02689120601918318	poly	-4722.112718957959	-3111.9078104694177	-6108052.659173886	-94.4292798304111	-436.95944150659875	-1223283.6136849301	2442385.1240891586	175
