	best_combo	RMSE	pearsonr
0	{'model_config__colsample_bytree': 0.9490508732576748, 'model_config__gamma': 0.21712482809742123, 'model_config__learning_rate': 0.022560749749812765, 'model_config__min_child_weight': 3.494976244248657, 'model_config__n_estimators': 177, 'model_config__reg_alpha': 0.4633671695781121, 'model_config__reg_lambda': 3.67792285448358, 'model_conifg__max_depth': 2}	47.281406	0.8625936210619322
1	{'model_config__colsample_bytree': 0.8059349394182376, 'model_config__gamma': 0.438542167075879, 'model_config__learning_rate': 0.08918625100048112, 'model_config__min_child_weight': 9.451413287903563, 'model_config__n_estimators': 366, 'model_config__reg_alpha': 0.8715404730450724, 'model_config__reg_lambda': 0.281026579005272, 'model_conifg__max_depth': 3}	29.122488	0.427277264919603
2	{'model_config__colsample_bytree': 0.7669453048483169, 'model_config__gamma': 0.4973955016519631, 'model_config__learning_rate': 0.19067795259716805, 'model_config__min_child_weight': 5.420559040633515, 'model_config__n_estimators': 388, 'model_config__reg_alpha': 0.04344958741551562, 'model_config__reg_lambda': 0.1766280002292613, 'model_conifg__max_depth': 6}	3689.0496	0.021528376551311866
3	{'model_config__colsample_bytree': 0.645284214024391, 'model_config__gamma': 3.0578995719037687, 'model_config__learning_rate': 0.19386627805434312, 'model_config__min_child_weight': 2.3417114488080086, 'model_config__n_estimators': 383, 'model_config__reg_alpha': 0.025454860556986307, 'model_config__reg_lambda': 0.2716649786003897, 'model_conifg__max_depth': 3}	11.6877985	0.5804669206786867
4	{'model_config__colsample_bytree': 0.8224594311363611, 'model_config__gamma': 0.12228906446810597, 'model_config__learning_rate': 0.06340890199269919, 'model_config__min_child_weight': 3.519353687449402, 'model_config__n_estimators': 168, 'model_config__reg_alpha': 0.1497969077465002, 'model_config__reg_lambda': 0.016067689528529227, 'model_conifg__max_depth': 10}	30.176916	0.35412394336049563
5	{'model_config__colsample_bytree': 0.7669453048483169, 'model_config__gamma': 0.4973955016519631, 'model_config__learning_rate': 0.19067795259716805, 'model_config__min_child_weight': 5.420559040633515, 'model_config__n_estimators': 388, 'model_config__reg_alpha': 0.04344958741551562, 'model_config__reg_lambda': 0.1766280002292613, 'model_conifg__max_depth': 6}	107.50325	0.36802845566719017
6	{'model_config__colsample_bytree': 0.645284214024391, 'model_config__gamma': 3.0578995719037687, 'model_config__learning_rate': 0.19386627805434312, 'model_config__min_child_weight': 2.3417114488080086, 'model_config__n_estimators': 383, 'model_config__reg_alpha': 0.025454860556986307, 'model_config__reg_lambda': 0.2716649786003897, 'model_conifg__max_depth': 3}	20.931477	0.8176287701468994
