	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
12	6	0.27957986769158044	8	651	-2.566198040973276	-2.6123577084803866	-5.254729495806336	-3.0438964070613586	-2.819984965171061	-3.2594333234984836	1.0119347652590172	18
13	15	0.37378798094705046	5	919	-2.587141538958841	-2.5921514911189636	-5.247126156934944	-3.006947397678181	-2.787542236505055	-3.2441817642391966	1.0132552864801554	9
14	4	0.22541269217047344	2	519	-2.557080728296208	-2.6289506395811917	-5.238008392433645	-3.0671527888298002	-2.7340726481307946	-3.2450530394543278	1.0116826149052893	10
15	14	0.2878014501489614	2	623	-2.461109784488929	-2.6167926422618293	-5.245654678015097	-3.003051080346106	-2.8626300492273673	-3.2378476468678654	1.0213949063073477	6
16	12	0.8061637563408413	18	883	-2.557029797533765	-2.6416486044164347	-5.257691635270084	-3.054109788479366	-2.9047113546666363	-3.2830382360732573	1.0033209279886088	29
17	5	0.31912082340829934	19	521	-2.618525805199044	-2.716004737115115	-5.249682728644391	-3.1469447912150006	-2.8784247893996002	-3.32191657031463	0.9803540342634436	49
18	10	0.33335440706481845	16	772	-2.548442784096319	-2.650510050435415	-5.260120650784832	-3.1027040893871574	-2.9125479235305662	-3.294865099646858	1.0017645792193188	42
19	15	0.12366942622515488	10	893	-2.5631700322470383	-2.640201411999926	-5.266000722728182	-3.1167822172675748	-2.9553083395732314	-3.308292544763191	0.9995447648862315	45
20	15	0.48375885085447123	15	624	-2.5410338386044042	-2.6815897687229118	-5.253659943977976	-2.9991826906420496	-2.8937752221634994	-3.273848292822168	1.0027300823044925	22
21	7	0.4818522090824013	16	815	-2.564904886561594	-2.6077674885046593	-5.251890034249839	-2.989011402327711	-2.863571862642803	-3.2554291348573208	1.0106112999998984	15
22	6	0.4457782270011809	12	956	-2.5933377026291113	-2.625753906529121	-5.257925575193706	-3.0609410367208	-2.914447176520124	-3.2904810795185724	0.9992796478929831	37
23	13	0.9225098235489568	12	995	-2.5063600824033054	-2.6290792528182667	-5.266579361675608	-3.0118163884397586	-2.8943751816093855	-3.261642053389265	1.018592949170137	19
24	10	0.4562819829753127	8	631	-2.5301630442929994	-2.6180833985585847	-5.2564531406138375	-2.974320214388121	-2.81974359095008	-3.2397526777607246	1.0201894846660682	7
25	15	0.340845523137088	9	554	-2.566241420204066	-2.6700026696829413	-5.243457472697039	-3.065161036520454	-2.8863221436332127	-3.2862369485475424	0.9937461282946146	31
26	9	0.6293539579471764	13	975	-2.5706138327374086	-2.629397975921275	-5.268377986817757	-3.046231446746683	-2.8844239292450062	-3.2798090342936264	1.0090873825794162	26
27	10	0.3176314440286965	16	697	-2.561857490706822	-2.6108445779898317	-5.249522984549441	-3.0819004126773804	-2.888311419032605	-3.278487376991216	1.003510874873198	24
28	7	0.14638662580602993	10	529	-2.567527721457329	-2.6338619309961957	-5.255612462562332	-3.1426769242136534	-2.844518859083248	-3.2888395796625516	1.0036200988953816	35
29	13	0.3310409246532608	3	512	-2.4432844407741845	-2.61292013330627	-5.246753162020886	-3.0040899891938824	-2.807499730813361	-3.222909491221717	1.0292028646869875	4
30	9	0.2888220167263865	11	610	-2.5501905603741153	-2.682700355690513	-5.250780171707878	-3.033973387158717	-2.8953172515498005	-3.282592345296205	0.9981822958124333	28
31	7	0.4730627693599007	7	734	-2.5214216496002604	-2.5891412108864436	-5.2622858041133815	-3.042365922401209	-2.8178955699667556	-3.24662203139361	1.0243655601914003	11
32	4	0.17255924759088329	18	938	-2.6198462178920474	-2.6505402614588345	-5.259003637210323	-3.172402054451072	-2.973483152510208	-3.335055064704497	0.9837532789780964	54
33	15	0.18904407593690284	16	921	-2.593626631989078	-2.6392221683610577	-5.26601089484511	-3.1159936483675295	-2.9493991807041495	-3.3128505048533845	0.9956649146201049	47
34	12	0.6944318642240471	5	975	-2.5679689804094603	-2.5834377177203645	-5.260405831946257	-2.9642932918583904	-2.839179071614545	-3.2430569787098036	1.0199376772644975	8
35	15	0.11728759200452075	7	876	-2.58002816422604	-2.6355884760353203	-5.252730739721222	-3.148720661765507	-2.9254971508409406	-3.3085130385178063	0.9935527084576716	46
36	4	0.2980126425536631	12	976	-2.5297872858187804	-2.673851003215524	-5.259406863683414	-3.0524868511769516	-2.9500961216863537	-3.293125625116205	1.0008021429292902	40
37	11	0.11004568081776996	13	576	-2.650952747376779	-2.7130345123403563	-5.269483673742962	-3.1914598379512644	-2.913880600858809	-3.347762274454034	0.979195562065817	59
38	7	0.24660481829688163	10	730	-2.5818150456265863	-2.6434843037929205	-5.260378334178831	-3.0515299785179595	-2.8682493049628515	-3.2810913934158292	1.0036178593865244	27
39	14	0.40529453845161223	17	889	-2.5650101244355206	-2.628641117367382	-5.25100417787377	-3.0828316977845867	-2.947293611537284	-3.2949561457997083	0.9968737968445633	43
40	6	0.649116298687579	2	545	-2.496376282186613	-2.6128884791339706	-5.248867239343497	-2.958475822464465	-2.797672248509981	-3.222856014327705	1.0252056183670362	3
41	11	0.3501642892173135	15	545	-2.5760212230886577	-2.701966125285224	-5.238609163885763	-3.062972483197109	-2.860620648039853	-3.288037928699322	0.9887887618625042	33
42	12	0.6056617559343601	3	595	-2.4705854401659564	-2.5945575094426965	-5.255697668165579	-2.8798475035440485	-2.816436433257322	-3.2034249109151203	1.0367313145667958	2
43	3	0.16618034849860697	19	765	-2.6134696081799715	-2.7224604082230406	-5.2682147397614605	-3.161529696726696	-2.965521453080709	-3.3462391811943752	0.9797045304199571	58
44	12	0.9443645612957102	12	501	-2.5346604965964006	-2.6690766692849173	-5.260586482716605	-3.04677374372868	-2.8240389033144977	-3.26702725912822	1.0112304045213454	21
45	3	0.9648631773837126	18	994	-2.5750795845741625	-2.6204112850630352	-5.261044721155425	-3.0496215069508597	-2.9348064161699567	-3.2881927027826876	1.002836528119783	34
46	4	0.27639472018995764	19	564	-2.641501962487638	-2.6980355945637804	-5.255974040851291	-3.1397371165654415	-2.917065312207088	-3.3304628053350482	0.978723506786401	52
