	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.0016804793969486251	0.20140453716370432	-2.7551250719790223	-4.3909018910751385	-5.459447552072721	-3.9458596115978706	-2.881531658135396	-3.8865731569720294	1.0022055080596637	92
1	0.019731821954529112	0.13718024761746403	-2.5642196504419075	-2.613071888172018	-5.961496937896446	-9.025200592678457	-2.753409994904915	-4.583479812818749	2.5665887560946294	106
2	0.7748509861975081	0.038980498747312416	-2.650506755176098	-2.5679754022407297	-5.323285116567243	-3.118414389147936	-2.965639175942845	-3.3251641678149704	1.0191161334943748	39
3	0.03022952868785433	0.0016325125214692508	-2.409280405900568	-9.115904277959553	-5.478506257121616	-3.8343942475397434	-2.8323286491951163	-4.7340827675433195	2.432502425954088	108
4	0.006209174227818484	0.029976031307006615	-2.7399811049809335	-3.9117277341108103	-5.45291509675273	-3.730163090410607	-2.865496996972774	-3.740056804645571	0.9724668204829892	60
5	0.10153368026448513	0.236831806096408	-2.6230801522472103	-2.4309643609130247	-5.3429261349108	-3.0167443314686646	-2.85034901319142	-3.2528127985462243	1.0637929534241535	32
6	0.013347271330883557	0.0015660007255856795	-2.651339422638846	-4.181687215010432	-5.461642364097185	-5.151272048213103	-2.8335721675128753	-4.0559026434944885	1.1540060387362818	98
7	0.007099895856262438	0.4865862874958168	-2.629881400661263	-2.513598475497441	-6.113802051420405	-6.273657107762094	-2.7354709811829423	-4.053282003304829	1.749807361089399	97
8	0.0042696481004083795	0.02166126560194832	-2.788241992344201	-3.9859374911608407	-5.459223422934069	-3.786211074348838	-2.844631249458789	-3.7728490460493473	0.97164634475379	70
9	0.5636485685665003	0.0011845635270101222	-2.422796068179612	-2.2542759212948296	-5.319740478883072	-2.964267836592527	-2.7371226714348103	-3.1396405952769704	1.1174388992662705	1
10	0.05945209197180284	0.6410810795593402	-2.7271362658740848	-2.4914602215974733	-5.397513754124294	-3.062063929850945	-2.9304630693108606	-3.321727448151532	1.0556783682999022	38
11	0.004790386505402572	0.04172268369255274	-2.7608972486323284	-3.9805098253480273	-5.450353620876422	-3.719020808924599	-2.8531654077186586	-3.752789382300007	0.9724088195092313	64
12	0.4850490871909631	0.0024740862612179474	-2.4266007231999267	-2.2555178029850755	-5.322792934890946	-2.9668682126481993	-2.7346355991559377	-3.141283054576017	1.1180446291363428	2
