	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
21	tanh	0.022217257776388315	54	constant	0.0002761590822711846	0.7477443706887075	0.46581377448586947	-2.6987010440621058	-2.8490799021568933	-5.464351044187	-3.1856256569024692	-3.0057052961888986	-3.4406925886994735	1.024697384792179	20
22	tanh	0.000664929773242728	51	adaptive	0.005667634827500586	0.9091321086923819	0.2382730226270098	-2.1842049248327937	-2.2925817071539347	-5.415339083312397	-2.9857633274333026	-2.8675277610605896	-3.1490833607586035	1.1752827291981	2
23	tanh	0.053693126061590796	102	constant	0.001479788354911653	0.574203985178739	0.37411532450828555	-2.1253075706868083	-2.6718459615390397	-5.481095760935866	-2.9750970814358877	-2.784918453482579	-3.207652965616036	1.1713146076225327	3
24	tanh	0.004458023591506548	117	constant	0.000842895227779485	0.6740558111186465	0.469902789081159	-2.7449375649315426	-2.529723692065526	-5.780522396632389	-3.3571580551645304	-3.04221063494635	-3.490910468748068	1.1782953468635189	26
25	relu	0.00010583992297406652	35	constant	0.00013404313340691673	0.5672688364959036	0.1162332576695535	-3.4294629439752993	-3.3955664457272445	-4.839841729900399	-8.34144723024728	-3.6972358204349995	-4.740710834057045	1.8757800557694526	49
26	tanh	0.0009612800602632719	118	constant	0.0013599809006000386	0.5968435715817716	0.10825355062814125	-2.2986097162543353	-2.6368657038826098	-5.326779417662368	-3.0600164640879717	-2.999348186303101	-3.2643238976380773	1.066956802510441	8
27	tanh	0.06637188930314548	60	constant	0.0003042326590786118	0.5047609581222556	0.6814482281956632	-2.9008352896750704	-3.029758880618665	-5.529616676554997	-3.170159745490295	-3.1848997259789145	-3.5630540636635883	0.988703455609077	30
28	relu	0.000535435524891306	115	constant	0.0005025775698361402	0.5844392317733335	0.738856880491466	-3.0591465371288713	-2.997605700686915	-6.547259771508769	-3.6536349095510445	-3.310642326715073	-3.9136578491181346	1.3368948990809157	43
29	relu	0.0006528082898505001	103	invscaling	0.00017428694468009463	0.9098210544297072	0.1213074866659362	-5.078652491469805	-3.5426262426023007	-5.895934554200235	-3.598244224394713	-3.3630325221358626	-4.295698006960583	1.0096730658591473	47
30	relu	0.000936260515781424	111	constant	0.00023181472837610013	0.8132098721834415	0.4687145446591814	-3.2415569813228005	-2.708622144753126	-38.311063036360686	-3.1119327900114286	-4.927646805948286	-10.460164351679266	13.946128595242651	58
31	relu	0.00402694114944287	63	constant	0.0029797245498353847	0.5720910847786262	0.23475575327189876	-2.3858480414571757	-2.357717959650625	-5.596311270016205	-3.4801557680011377	-3.490138419177655	-3.46203429166056	1.177620300139044	22
32	tanh	0.0015105835674585663	72	adaptive	0.009038653563119031	0.59309651384236	0.43320091049979415	-2.61886477060303	-2.1741789070417568	-5.470536923792673	-3.235421777962249	-2.9386530168035447	-3.287531079240651	1.1468751885645567	10
33	relu	0.0012836828733865106	75	constant	0.0007982835976431702	0.624342733794857	0.45126482378289645	-2.57391127237904	-2.677828128039389	-6.7257275491754465	-3.121104718615339	-3.1675368674919793	-3.6532217071402386	1.5540678267705703	35
34	tanh	0.00014298112869190447	89	invscaling	0.0011935803962069584	0.7421072835307523	0.4582387396795792	-3.11288574630241	-3.108550911263558	-5.432011812427198	-3.6851568541279014	-3.499944899404785	-3.767710044705171	0.8615914578653914	38
35	relu	0.06899661450889218	97	adaptive	0.00221176222727623	0.8204219540516277	0.5595152005770214	-2.6808914424513217	-3.1063991427418385	-33.10834099369562	-8.789733626608635	-2.9076137877561465	-10.118595798650713	11.719922085049772	57
36	tanh	0.0002755056400161253	25	constant	0.0007067259944100958	0.7671367982339925	0.12774000170682603	-2.452368184003426	-2.459431333088293	-5.4808919714273845	-3.283250641562202	-2.76417105414877	-3.288022636846015	1.1373654719921211	11
37	relu	0.00041984198557241237	57	adaptive	0.00034290665670251965	0.5832031166897227	0.6672498838257656	-3.084328641708572	-2.716099551666698	-5.521431735861275	-3.4285029885856595	-6.538036193993188	-4.2576798223630785	1.4991898496402105	46
38	relu	0.0005485054319842828	90	constant	0.00015268968682166715	0.903024493346724	0.42359315949150933	-3.1780776410270155	-2.9928086179985827	-5.382901829810591	-3.488334244499156	-3.1192419944955088	-3.6322728655661707	0.890373921189187	33
39	tanh	0.00010751043071795431	92	invscaling	0.003195012641213955	0.9218697114534495	0.5729792428718196	-2.0599344644469917	-2.7981997498958564	-5.465081308964503	-3.445702909887417	-3.4327931142323056	-3.440342309485415	1.1329189404257547	19
40	relu	0.022712354845737803	106	invscaling	0.004513907528953857	0.7613174167753486	0.3025609681049053	-3.444689514347696	-2.4941953184283654	-5.502611969704962	-2.9057162931531244	-3.1614796399166503	-3.50173854711016	1.0481327257732629	27
41	relu	0.00013003690662422094	38	invscaling	0.0005577822704854758	0.805895842623352	0.1854660584392249	-3.1410846676045665	-2.350178671590101	-5.468006324727747	-7.789367827019578	-3.8137156749857595	-4.51247063318555	1.9336787821223005	48
42	relu	0.00019862894801325013	87	constant	0.0004178199117374892	0.8393239386424287	0.479842160213412	-10.369264800436028	-2.7266605420558476	-6.245559429297294	-3.2641114713060184	-3.3918658677698033	-5.199492422172998	2.8617796322893705	53
43	tanh	0.0007470175147142071	93	adaptive	0.00045271220028535343	0.5158730013410582	0.6274629630920423	-2.6851581118866292	-2.6148968165762647	-5.311772071034762	-3.083854111929038	-3.3208822249924044	-3.4033126672838194	0.9887781714070933	16
