	param_regressor__regressor__alpha	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.002196046158480499	325	-40.981527453564304	-3155.4636369946666	-38294.39910275905	-110.23935367063916	-34.64310388939656	-8327.145344953464	15031.475228807221	199
1	0.026796454274089585	511	-44.94380247794589	-3111.714154957181	-32.74686701217088	-93.00348902132073	-38.987930788255234	-664.2792488513747	1223.9029692165739	4
2	1.7339689834274716	648	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
3	0.0239337360822717	323	-43.95661730510657	-3111.5592326008173	-73.2136867410413	-93.48845634517242	-37.63888618511523	-671.9713758354505	1219.9608529478828	157
4	0.1752173384130308	666	-51.71706750114144	-3111.883608661588	-25.817539622794914	-93.861294199044	-42.60787157429826	-665.1774763117734	1223.5588087694086	29
5	0.07543627532102296	692	-48.02959470982629	-3111.7247238558775	-36.924150547881716	-93.17751302759889	-40.81876840946561	-666.1349501101299	1222.9611894017698	140
6	0.1729954055957588	368	-51.813173710820784	-3111.9793019690605	-25.79550282067582	-93.9124475556685	-42.49947093459184	-665.1999793981635	1223.5960018485375	30
7	7.757637369788903	691	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
8	0.05075976981784486	375	-46.790770325022145	-3111.814172727167	-37.43136927145911	-93.2859800561458	-39.678565994279566	-665.8001716748147	1223.1766224746236	47
9	1.0448623233301233	306	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
10	11.813008490495449	344	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
11	0.035396700925460406	612	-45.75584010652319	-3111.7801018030896	-49.646581838526075	-93.15901640071684	-39.521866631835024	-667.9726813561381	1222.0504774401113	154
12	14.761220350075702	737	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
13	2.297501301907585	489	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
14	17.940931211225134	612	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
15	0.006015272822813326	338	-44.32359803780298	-3125.2105719344763	-942.2318243474095	-92.91136766335359	-35.75504655317364	-848.0864817072431	1189.1479348179791	182
16	11.756497896152519	437	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
17	0.1021992028080577	495	-49.0695799530026	-3111.905008082665	-25.92507936281322	-93.48479359740467	-41.57493692392572	-664.3918795839623	1223.962233606522	7
18	2.2891588474871623	732	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
19	0.007339670629259654	700	-86.50549605014031	-3125.533869798211	-200.4359758646171	-109.47436692331236	-38.83112583274197	-712.1561668938045	1207.8311318761228	173
20	0.008262932712491556	649	-45.306764133101524	-3113.4561737237664	-39.56753619023494	-92.6672401885005	-39.13793405851952	-666.0271296588246	1223.8779307246025	139
21	0.5592742813230863	552	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
22	0.1372090815973864	310	-50.86382170739169	-3111.951877298046	-25.82148821414447	-93.66589152321619	-41.951257937507954	-664.8508673360612	1223.7563640301055	19
23	0.01729776033227042	748	-42.04009700295174	-3113.038112216931	-341.77132469682243	-92.38793387170976	-36.81069241959987	-725.209632041603	1199.1519337955554	175
24	2.762664129436815	451	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
25	0.00636777228307074	524	-109.61298055206106	-3116.793110505381	-135.52350726877984	-92.94015479537306	-38.943289532763444	-698.7626085308716	1209.4287458953854	167
26	0.01721492209311807	719	-40.05453186461484	-3113.146946276985	-268.4389316799604	-92.59938372480464	-37.59167477931947	-710.3662936651369	1204.3449803672784	172
27	0.2818629648952095	679	-52.743476295043	-3111.997752202952	-26.259190686875485	-94.28813996719441	-43.31906259822866	-665.7215243500589	1223.343163933283	43
28	0.877520170086593	319	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
29	13.286168437615048	575	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
30	1.6615037197879037	586	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
31	26.027988559029865	629	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	56
32	0.006425453422567465	683	-97.10518675746546	-3129.0252488605443	-130.08298674676143	-101.90445997182941	-39.464661499322105	-699.5165087671846	1215.111127183288	168
33	0.0221133459976255	383	-44.832056396574046	-3111.751067166168	-84.21649533572798	-93.27921995437673	-37.42395969741873	-674.3005597100531	1218.9169271845756	160
